Tr,Pr,PR_liq_alpha_01Mpa
0.566618099,0.047169811,2.31191276
0.582807188,0.047169811,2.154826747
0.598996277,0.047169811,2.026897253
0.615185365,0.047169811,1.921140581
0.631374454,0.047169811,1.831876311
0.647563542,0.047169811,1.755725344
0.663752631,0.047169811,1.68994453
0.679941719,0.047169811,1.632402742
0.696130808,0.047169811,1.581707528
0.712319896,0.047169811,1.536605946
0.728508985,0.047169811,1.554226369
0.744698073,0.047169811,1.496963324
0.760887162,0.047169811,1.444020941
0.777076251,0.047169811,1.395012995
0.793265339,0.047169811,1.349210818
0.809454428,0.047169811,1.306404248
0.825643516,0.047169811,1.266496001
0.841832605,0.047169811,1.228802026
0.858021693,0.047169811,1.192891575
0.874210782,0.047169811,1.159805336
0.89039987,0.047169811,1.128362139
0.906588959,0.047169811,1.098983887
0.922778048,0.047169811,1.07069804
0.938967136,0.047169811,1.044569203
0.955156225,0.047169811,1.018974043
0.958394042,0.047169811,1.014422874
0.96163186,0.047169811,1.010109844
0.964869678,0.047169811,1.004658002
0.968107496,0.047169811,1.000871923
0.971345313,0.047169811,0.99596097
0.974583131,0.047169811,0.991347092
0.977820949,0.047169811,0.987053879
0.981058766,0.047169811,0.981627599
0.984296584,0.047169811,0.97803242
0.987534402,0.047169811,0.973321462
0.99077222,0.047169811,0.96899785
0.994010037,0.047169811,0.963544518
0.997247855,0.047169811,0.960057084
1.000485673,0.047169811,0.955459848
1.00372349,0.047169811,0.95132276
1.006961308,0.047169811,0.947673374
1.010199126,0.047169811,0.942913316
1.013436944,0.047169811,0.938663589
1.016674761,0.047169811,0.934953035
1.019912579,0.047169811,0.930133066
1.036101667,0.047169811,0.911567579
1.052290756,0.047169811,0.892095308
1.068479845,0.047169811,0.875093351
1.084668933,0.047169811,0.856325749
1.100858022,0.047169811,0.841300468
1.11704711,0.047169811,0.825269347
1.133236199,0.047169811,0.809482739
1.149425287,0.047169811,0.795344979
1.165614376,0.047169811,0.781849069
1.181803464,0.047169811,0.76769583
1.197992553,0.047169811,0.754067878
1.214181642,0.047169811,0.742282357
1.23037073,0.047169811,0.730750696
1.246559819,0.047169811,0.717520542
1.262748907,0.047169811,0.706847332
1.278937996,0.047169811,0.696762277
1.295127084,0.047169811,0.684884133
1.311316173,0.047169811,0.675808238
1.327505261,0.047169811,0.663242752
1.34369435,0.047169811,0.65584456
1.359883439,0.047169811,0.642803916
1.376072527,0.047169811,0.633115989
1.392261616,0.047169811,0.6281794
1.408450704,0.047169811,0.615633619
1.424639793,0.047169811,0.609987922
1.440828881,0.047169811,0.598080842
1.45701797,0.047169811,0.590453998
1.473207058,0.047169811,0.583194037
1.489396147,0.047169811,0.577256923
1.505585236,0.047169811,0.568008776
1.521774324,0.047169811,0.561867214
1.537963413,0.047169811,0.553975971
1.554152501,0.047169811,0.545030302
1.57034159,0.047169811,0.535791002
1.586530678,0.047169811,0.533741271
1.602719767,0.047169811,0.526677483
1.618908855,0.047169811,0.522017149
0.566618099,0.471698113,2.329304466
0.582807188,0.471698113,2.168303308
0.598996277,0.471698113,2.037436901
0.615185365,0.471698113,1.92922261
0.631374454,0.471698113,1.837993937
0.647563542,0.471698113,1.760370016
0.663752631,0.471698113,1.693204366
0.679941719,0.471698113,1.634558927
0.696130808,0.471698113,1.582955633
0.712319896,0.471698113,1.536984334
0.728508985,0.471698113,1.495824339
0.744698073,0.471698113,1.458676006
0.760887162,0.471698113,1.424790302
0.777076251,0.471698113,1.39372318
0.793265339,0.471698113,1.3649694
0.809454428,0.471698113,1.338162223
0.825643516,0.471698113,1.312867758
0.841832605,0.471698113,1.288808474
0.858021693,0.471698113,1.265618977
0.874210782,0.471698113,1.242905273
0.89039987,0.471698113,1.220258035
0.906588959,0.471698113,1.197023031
0.922778048,0.471698113,1.12264029
0.938967136,0.471698113,1.091735135
0.955156225,0.471698113,1.062812899
0.958394042,0.471698113,1.057240218
0.96163186,0.471698113,1.051731331
0.964869678,0.471698113,1.046277403
0.968107496,0.471698113,1.040864022
0.971345313,0.471698113,1.035584824
0.974583131,0.471698113,1.030307406
0.977820949,0.471698113,1.025120946
0.981058766,0.471698113,1.019998353
0.984296584,0.471698113,1.014906157
0.987534402,0.471698113,1.009870861
0.99077222,0.471698113,1.004920075
0.994010037,0.471698113,0.999941612
0.997247855,0.471698113,0.99509813
1.000485673,0.471698113,0.990271469
1.00372349,0.471698113,0.985557596
1.006961308,0.471698113,0.980826159
1.010199126,0.471698113,0.976172678
1.013436944,0.471698113,0.971536628
1.016674761,0.471698113,0.966934496
1.019912579,0.471698113,0.962383397
1.036101667,0.471698113,0.940452831
1.052290756,0.471698113,0.919557557
1.068479845,0.471698113,0.899513951
1.084668933,0.471698113,0.880535903
1.100858022,0.471698113,0.862157189
1.11704711,0.471698113,0.84469465
1.133236199,0.471698113,0.828032761
1.149425287,0.471698113,0.811832323
1.165614376,0.471698113,0.796455338
1.181803464,0.471698113,0.781435166
1.197992553,0.471698113,0.767150606
1.214181642,0.471698113,0.75330323
1.23037073,0.471698113,0.739924497
1.246559819,0.471698113,0.727246073
1.262748907,0.471698113,0.714671442
1.278937996,0.471698113,0.702566418
1.295127084,0.471698113,0.69103274
1.311316173,0.471698113,0.67950907
1.327505261,0.471698113,0.668621623
1.34369435,0.471698113,0.658035929
1.359883439,0.471698113,0.647684733
1.376072527,0.471698113,0.637846714
1.392261616,0.471698113,0.628018446
1.408450704,0.471698113,0.618422965
1.424639793,0.471698113,0.609305003
1.440828881,0.471698113,0.600012487
1.45701797,0.471698113,0.591197244
1.473207058,0.471698113,0.582610575
1.489396147,0.471698113,0.574461685
1.505585236,0.471698113,0.566438832
1.521774324,0.471698113,0.558164746
1.537963413,0.471698113,0.550353496
1.554152501,0.471698113,0.542614453
1.57034159,0.471698113,0.535108529
1.586530678,0.471698113,0.528009867
1.602719767,0.471698113,0.52083622
1.618908855,0.471698113,0.513718431
0.566618099,0.943396226,2.349446202
0.582807188,0.943396226,2.183792686
0.598996277,0.943396226,2.049668696
0.615185365,0.943396226,1.938535547
0.631374454,0.943396226,1.845145797
0.647563542,0.943396226,1.765600094
0.663752631,0.943396226,1.696937092
0.679941719,0.943396226,1.637093276
0.696130808,0.943396226,1.58439915
0.712319896,0.943396226,1.537583317
0.728508985,0.943396226,1.495580993
0.744698073,0.943396226,1.457723175
0.760887162,0.943396226,1.423333741
0.777076251,0.943396226,1.391761842
0.793265339,0.943396226,1.362685563
0.809454428,0.943396226,1.335588993
0.825643516,0.943396226,1.310239629
0.841832605,0.943396226,1.286210621
0.858021693,0.943396226,1.26325856
0.874210782,0.943396226,1.241138459
0.89039987,0.943396226,1.219445495
0.906588959,0.943396226,1.1979457
0.922778048,0.943396226,1.176171279
0.938967136,0.943396226,1.153569685
0.955156225,0.943396226,1.12925404
0.958394042,0.943396226,1.124045374
0.96163186,0.943396226,1.118687903
0.964869678,0.943396226,1.113157975
0.968107496,0.943396226,1.10739515
0.971345313,0.943396226,1.10136072
0.974583131,0.943396226,1.094995361
0.977820949,0.943396226,1.088206252
0.981058766,0.943396226,1.080867819
0.984296584,0.943396226,1.072722697
0.987534402,0.943396226,1.063377875
0.99077222,0.943396226,1.051786585
0.994010037,0.943396226,1.033580978
0.997247855,0.943396226,1.013881502
1.000485673,0.943396226,1.011417691
1.00372349,0.943396226,1.008059501
1.006961308,0.943396226,1.004282723
1.010199126,0.943396226,1.00024193
1.013436944,0.943396226,0.996053259
1.016674761,0.943396226,0.991794427
1.019912579,0.943396226,0.987457637
1.036101667,0.943396226,0.965573634
1.052290756,0.943396226,0.943977143
1.068479845,0.943396226,0.923017464
1.084668933,0.943396226,0.902807901
1.100858022,0.943396226,0.883350514
1.11704711,0.943396226,0.864618711
1.133236199,0.943396226,0.84660714
1.149425287,0.943396226,0.82927836
1.165614376,0.943396226,0.81260048
1.181803464,0.943396226,0.796510904
1.197992553,0.943396226,0.781028263
1.214181642,0.943396226,0.766044505
1.23037073,0.943396226,0.751644654
1.246559819,0.943396226,0.737651216
1.262748907,0.943396226,0.724172883
1.278937996,0.943396226,0.711109664
1.295127084,0.943396226,0.69848197
1.311316173,0.943396226,0.686228597
1.327505261,0.943396226,0.674343028
1.34369435,0.943396226,0.662831731
1.359883439,0.943396226,0.651647422
1.376072527,0.943396226,0.640770385
1.392261616,0.943396226,0.630134505
1.408450704,0.943396226,0.619817584
1.424639793,0.943396226,0.609882521
1.440828881,0.943396226,0.600050662
1.45701797,0.943396226,0.590525898
1.473207058,0.943396226,0.581293796
1.489396147,0.943396226,0.572314411
1.505585236,0.943396226,0.563389815
1.521774324,0.943396226,0.55481231
1.537963413,0.943396226,0.546344588
1.554152501,0.943396226,0.538135241
1.57034159,0.943396226,0.530037423
1.586530678,0.943396226,0.522187249
1.602719767,0.943396226,0.514398695
1.618908855,0.943396226,0.506964229
0.566618099,1.886792453,2.391862032
0.582807188,1.886792453,2.216644946
0.598996277,1.886792453,2.074954642
0.615185365,1.886792453,1.958224024
0.631374454,1.886792453,1.860405257
0.647563542,1.886792453,1.777097219
0.663752631,1.886792453,1.705286623
0.679941719,1.886792453,1.642739121
0.696130808,1.886792453,1.587873261
0.712319896,1.886792453,1.539060018
0.728508985,1.886792453,1.495431273
0.744698073,1.886792453,1.456201607
0.760887162,1.886792453,1.420518901
0.777076251,1.886792453,1.387996503
0.793265339,1.886792453,1.358057793
0.809454428,1.886792453,1.330311206
0.825643516,1.886792453,1.304446902
0.841832605,1.886792453,1.280220056
0.858021693,1.886792453,1.257303886
0.874210782,1.886792453,1.235538101
0.89039987,1.886792453,1.21465277
0.906588959,1.886792453,1.194460634
0.922778048,1.886792453,1.174810583
0.938967136,1.886792453,1.155500388
0.955156225,1.886792453,1.136423466
0.958394042,1.886792453,1.132635242
0.96163186,1.886792453,1.128811847
0.964869678,1.886792453,1.12500981
0.968107496,1.886792453,1.121206241
0.971345313,1.886792453,1.117404724
0.974583131,1.886792453,1.113608719
0.977820949,1.886792453,1.109774018
0.981058766,1.886792453,1.105976513
0.984296584,1.886792453,1.10214931
0.987534402,1.886792453,1.098320451
0.99077222,1.886792453,1.094472067
0.994010037,1.886792453,1.090630961
0.997247855,1.886792453,1.086779799
1.000485673,1.886792453,1.082923469
1.00372349,1.886792453,1.079046408
1.006961308,1.886792453,1.075154355
1.010199126,1.886792453,1.071272221
1.013436944,1.886792453,1.067366004
1.016674761,1.886792453,1.06344191
1.019912579,1.886792453,1.059505831
1.036101667,1.886792453,1.039534446
1.052290756,1.886792453,1.018880993
1.068479845,1.886792453,0.996950631
1.084668933,1.886792453,0.972899652
1.100858022,1.886792453,0.946870109
1.11704711,1.886792453,0.921481468
1.133236199,1.886792453,0.898510464
1.149425287,1.886792453,0.877598055
1.165614376,1.886792453,0.858124753
1.181803464,1.886792453,0.839637754
1.197992553,1.886792453,0.821977723
1.214181642,1.886792453,0.805023627
1.23037073,1.886792453,0.788630068
1.246559819,1.886792453,0.77273806
1.262748907,1.886792453,0.757430297
1.278937996,1.886792453,0.742480235
1.295127084,1.886792453,0.728062141
1.311316173,1.886792453,0.714026235
1.327505261,1.886792453,0.700541551
1.34369435,1.886792453,0.687274666
1.359883439,1.886792453,0.674430417
1.376072527,1.886792453,0.661945983
1.392261616,1.886792453,0.649785506
1.408450704,1.886792453,0.637956189
1.424639793,1.886792453,0.626447873
1.440828881,1.886792453,0.615214756
1.45701797,1.886792453,0.604284763
1.473207058,1.886792453,0.593592612
1.489396147,1.886792453,0.583202425
1.505585236,1.886792453,0.573031916
1.521774324,1.886792453,0.563086452
1.537963413,1.886792453,0.553383461
1.554152501,1.886792453,0.54392133
1.57034159,1.886792453,0.534637676
1.586530678,1.886792453,0.525563503
1.602719767,1.886792453,0.516676356
1.618908855,1.886792453,0.507979853
0.566618099,2.358490566,2.413777154
0.582807188,2.358490566,2.233712987
0.598996277,2.358490566,2.088445068
0.615185365,2.358490566,1.968774891
0.631374454,2.358490566,1.868472762
0.647563542,2.358490566,1.783170748
0.663752631,2.358490566,1.709857888
0.679941719,2.358490566,1.645905663
0.696130808,2.358490566,1.589826458
0.712319896,2.358490566,1.540031004
0.728508985,2.358490566,1.49558888
0.744698073,2.358490566,1.455580478
0.760887162,2.358490566,1.419281581
0.777076251,2.358490566,1.386186543
0.793265339,2.358490566,1.355751248
0.809454428,2.358490566,1.327663789
0.825643516,2.358490566,1.3014979
0.841832605,2.358490566,1.277020742
0.858021693,2.358490566,1.253994281
0.874210782,2.358490566,1.232140537
0.89039987,2.358490566,1.211367939
0.906588959,2.358490566,1.191374544
0.922778048,2.358490566,1.172112524
0.938967136,2.358490566,1.153417028
0.955156225,2.358490566,1.135140427
0.958394042,2.358490566,1.131533628
0.96163186,2.358490566,1.127935746
0.964869678,2.358490566,1.124348196
0.968107496,2.358490566,1.12080078
0.971345313,2.358490566,1.117237445
0.974583131,2.358490566,1.113688299
0.977820949,2.358490566,1.110154498
0.981058766,2.358490566,1.106610357
0.984296584,2.358490566,1.103084489
0.987534402,2.358490566,1.099577837
0.99077222,2.358490566,1.096091279
0.994010037,2.358490566,1.092600443
0.997247855,2.358490566,1.089107223
1.000485673,2.358490566,1.085637837
1.00372349,2.358490566,1.082168806
1.006961308,2.358490566,1.078701731
1.010199126,2.358490566,1.075261438
1.013436944,2.358490566,1.071825276
1.016674761,2.358490566,1.068371905
1.019912579,2.358490566,1.064948109
1.036101667,2.358490566,1.047898842
1.052290756,2.358490566,1.030973034
1.068479845,2.358490566,1.014060152
1.084668933,2.358490566,0.996934682
1.100858022,2.358490566,0.97917969
1.11704711,2.358490566,0.960339812
1.133236199,2.358490566,0.940070182
1.149425287,2.358490566,0.918610263
1.165614376,2.358490566,0.896816523
1.181803464,2.358490566,0.875524769
1.197992553,2.358490566,0.855181691
1.214181642,2.358490566,0.835858083
1.23037073,2.358490566,0.81740438
1.246559819,2.358490566,0.799784893
1.262748907,2.358490566,0.782899705
1.278937996,2.358490566,0.766640882
1.295127084,2.358490566,0.750888271
1.311316173,2.358490566,0.735721335
1.327505261,2.358490566,0.720998769
1.34369435,2.358490566,0.706805938
1.359883439,2.358490566,0.692978915
1.376072527,2.358490566,0.679506793
1.392261616,2.358490566,0.666523169
1.408450704,2.358490566,0.653824314
1.424639793,2.358490566,0.641358435
1.440828881,2.358490566,0.629319359
1.45701797,2.358490566,0.617724097
1.473207058,2.358490566,0.606163349
1.489396147,2.358490566,0.595065177
1.505585236,2.358490566,0.584090911
1.521774324,2.358490566,0.573561223
1.537963413,2.358490566,0.56318442
1.554152501,2.358490566,0.553044268
1.57034159,2.358490566,0.543116676
1.586530678,2.358490566,0.533406322
1.602719767,2.358490566,0.523928953
