Tr,Pr,PR_liq_alpha_1Mpa
0.388098318,0.01984127,0.790907151
0.420439845,0.01984127,0.81460966
0.452781371,0.01984127,0.836798621
0.485122898,0.01984127,0.857793439
0.517464424,0.01984127,0.878010828
0.549805951,0.01984127,0.897373491
0.582147477,0.01984127,0.915843255
0.614489004,0.01984127,1.211479676
0.64683053,0.01984127,1.174287018
0.679172057,0.01984127,1.140160384
0.711513583,0.01984127,1.10850239
0.74385511,0.01984127,1.077041558
0.776196636,0.01984127,1.048576072
0.808538163,0.01984127,1.022452666
0.84087969,0.01984127,0.999038912
0.873221216,0.01984127,0.976930394
0.905562743,0.01984127,0.953559787
0.918499353,0.01984127,0.947587595
0.931435964,0.01984127,0.939747714
0.937904269,0.01984127,0.933389224
0.944372574,0.01984127,0.931605733
0.957309185,0.01984127,0.924915617
0.970245796,0.01984127,0.917681978
0.983182406,0.01984127,0.907452832
0.996119017,0.01984127,0.904113643
1.002587322,0.01984127,0.898719688
1.009055627,0.01984127,0.89684308
1.021992238,0.01984127,0.886790456
1.034928849,0.01984127,0.884868686
1.047865459,0.01984127,0.878647224
1.06080207,0.01984127,0.86917118
1.067270375,0.01984127,0.868199612
1.07373868,0.01984127,0.862998793
1.086675291,0.01984127,0.856453267
1.099611902,0.01984127,0.850991533
1.131953428,0.01984127,0.83947093
1.164294955,0.01984127,0.825133716
1.196636481,0.01984127,0.80815289
1.228978008,0.01984127,0.802423017
1.261319534,0.01984127,0.788747232
1.293661061,0.01984127,0.776741214
1.326002587,0.01984127,0.766903076
1.358344114,0.01984127,0.757629216
1.39068564,0.01984127,0.744697881
1.423027167,0.01984127,0.733402446
1.455368693,0.01984127,0.715269386
1.48771022,0.01984127,0.706713608
1.520051746,0.01984127,0.696181394
1.552393273,0.01984127,0.700163632
1.584734799,0.01984127,0.68526322
1.617076326,0.01984127,0.68246611
1.649417853,0.01984127,0.670182548
1.681759379,0.01984127,0.661968906
1.714100906,0.01984127,0.651364734
1.746442432,0.01984127,0.652648324
1.778783959,0.01984127,0.632483614
1.811125485,0.01984127,0.627525436
1.843467012,0.01984127,0.626506096
1.875808538,0.01984127,0.614341335
1.908150065,0.01984127,0.602449751
1.940491591,0.01984127,0.60393527
1.972833118,0.01984127,0.599656438
