 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_cp_01	NIST_cp_01	PR_cp_1	NIST_cp_1	PR_cp_3	NIST_cp_3	PR_cp_5	NIST_cp_5	PR_cp_7	NIST_cp_7	PR_cp_10	NIST_cp_10
220	0.768884093	0.78067	2.074027991	1.9589	1.88309847	1.9321	1.811446664	1.9202	1.779816246	1.9145	1.72333382	1.9039
230	0.779688674	0.78795	2.300357379	1.9959	2.027229841	1.9586	1.931687879	1.9425	1.890564939	1.9349	1.81862316	1.9208
240	0.790373316	0.79617	0.879602132	0.99915	2.207277259	2.0011	2.075044123	1.9785	2.020074043	1.9681	1.926468655	1.9488
250	0.800922854	0.80501	0.878707785	0.96579	2.445745859	2.0663	2.252627134	2.033	2.176301299	2.0181	2.051036129	1.991
260	0.811326326	0.81424	0.879843015	0.94495	2.791332101	2.1678	2.484744339	2.1152	2.372836935	2.0925	2.198658978	2.0524
270	0.821575936	0.82371	0.882452857	0.93235	3.377417196	2.3377	2.813676293	2.2439	2.635293912	2.206	2.3794996	2.1425
280	0.831666302	0.8333	0.886152809	0.92518	4.798276761	2.6797	3.347750244	2.4674	3.019453958	2.3931	2.611010049	2.2798
290	0.841593899	0.84293	0.890668424	0.92172	1.890933049	2.5783	4.500646463	2.9683	3.679257989	2.7633	2.925849583	2.5108
300	0.851356641	0.85253	0.895798935	0.92089	1.542281986	1.8025	14.00941198	5.9775	5.304038246	3.932	3.391668432	2.9906
310	0.860953563	0.86207	0.901394425	0.92192	1.375171142	1.5246	2.824712281	3.0512	12.71711484	9.5864	4.153892648	4.446
320	0.870384583	0.87151	0.907340995	0.92433	1.278056956	1.3786	1.948992698	2.0539	2.929286416	2.875	5.112497887	7.6175
330	0.879650311	0.88083	0.913550833	0.92777	1.215678275	1.289	1.627311608	1.6992	2.038209552	2.0594	3.705285405	3.5312
340	0.888751902	0.89001	0.919955394	0.932	1.17316537	1.2294	1.459306561	1.5144	1.69581153	1.7274	2.491560355	2.4017
350	0.897690942	0.89903	0.926500607	0.93681	1.143104395	1.1875	1.356958365	1.4012	1.514542031	1.5463	1.976405635	1.948
360	0.906469356	0.9079	0.933143437	0.94206	1.121364939	1.1573	1.2890109	1.3254	1.403316138	1.4326	1.709739918	1.7065
370	0.915089332	0.91661	0.939849382	0.94763	1.105455652	1.1349	1.241417786	1.2718	1.329064032	1.3552	1.55011045	1.5574
380	0.923553262	0.92515	0.946590606	0.95345	1.093781238	1.1182	1.206886346	1.2325	1.276771369	1.2998	1.445424283	1.457
390	0.931863697	0.93352	0.953344546	0.95944	1.085271368	1.1058	1.181237957	1.203	1.238600588	1.2588	1.372513016	1.3856
400	0.940023302	0.94173	0.960092841	0.96555	1.079180524	1.0965	1.161899656	1.1805	1.210047044	1.2277	1.319579526	1.3327
410	0.948034829	0.94978	0.966820514	0.97174	1.074973239	1.0898	1.147197643	1.1632	1.188332025	1.2038	1.27999914	1.2927
420	0.955901086	0.95767	0.973515327	0.97798	1.07225494	1.085	1.135994782	1.1499	1.171645952	1.1852	1.249768494	1.2616
430	0.963624916	0.9654	0.980167279	0.98423	1.070728514	1.0818	1.127490907	1.1396	1.15875866	1.1708	1.226326769	1.2373
440	0.971209179	0.97298	0.986768202	0.99049	1.07016605	1.0798	1.121106398	1.1317	1.14880421	1.1594	1.207960036	1.2181
450	0.978656737	0.98041	0.993311441	0.99673	1.070389902	1.0788	1.11641104	1.1258	1.141155198	1.1506	1.193478131	1.2028
460	0.98597044	0.9877	0.999791595	1.0029	1.07125966	1.0787	1.113078826	1.1214	1.135345886	1.1438	1.182028967	1.1906
470	0.993153112	0.99484	1.006204305	1.0091	1.072662979	1.0792	1.110858273	1.1183	1.131023317	1.1386	1.172986613	1.1809
480	1.000207548	1.0018	1.012546079	1.0152	1.074508992	1.0804	1.10955236	1.1162	1.127915197	1.1348	1.165881086	1.1732
490	1.007136499	1.0087	1.018814155	1.0213	1.0767235	1.082	1.109004627	1.115	1.125808182	1.1321	1.160352768	1.1671
500	1.013942671	1.0154	1.025006376	1.0273	1.079245391	1.084	1.109089328	1.1145	1.124532824	1.1302	1.156121931	1.1624
