 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_cp_01	NIST_cp_01	PR_cp_1	NIST_cp_1	PR_cp_3	NIST_cp_3	PR_cp_5	NIST_cp_5	PR_cp_7	NIST_cp_7	PR_cp_10	NIST_cp_10
60	1191.746472	1127.7	1199.095185	1130.2	1215.345905	1135.7	1231.491294	1141.2	1247.536698	1146.6	1271.428065	1154.5
65	1106.898171	1102	1114.180546	1104.6	1130.26882	1110.2	1146.232439	1115.7	1162.078304	1121.1	1185.64005	1129.2
70	1030.462204	1066.6	1037.721892	1069.3	1053.741389	1075.4	1069.612794	1081.3	1085.345087	1087.2	1108.70039	1095.8
75	960.9661355	1027.8	968.2458943	1030.8	984.2872722	1037.5	1000.151818	1044	1015.851327	1050.4	1039.114129	1059.9
80	897.243698	987.7	904.5874078	991.11	920.7423973	998.54	936.6848679	1005.8	952.4304921	1012.9	975.7099677	1023.3
85	838.3488576	947.06	845.8036884	950.89	862.169282	959.23	878.2774153	967.35	894.1491928	975.25	917.5536357	986.76
90	783.4944978	905.9	791.1135273	910.23	807.7968226	919.62	824.1651291	928.7	840.2473286	937.5	863.8878426	950.23
95	186.4535786	183.16	739.8519219	868.97	756.9763262	879.58	773.7106805	889.77	790.0952787	899.59	814.0896187	913.71
100	191.5530895	188.37	691.433899	826.85	709.1477984	838.9	726.3714544	850.39	743.1624067	861.38	767.6393219	877.07
105	196.4846522	193.31	645.3223864	783.53	663.8121913	797.32	681.6742618	810.35	698.9931382	822.71	724.0976496	840.2
110	201.2647428	198.11	600.9947364	738.58	620.5059503	754.54	639.1941516	769.42	657.1880444	783.4	683.08825	802.97
115	205.9071815	202.78	557.8997961	691.43	578.7737269	710.13	598.5347844	727.31	617.3880262	743.25	644.2843205	765.27
120	210.4237076	207.35	195.1566123	190	538.1328251	663.59	559.3074891	683.68	579.2599918	702.02	607.3981073	726.96
125	214.8244029	211.8	201.4476045	196.96	498.0162471	614.14	521.1046545	638.06	542.4823732	659.42	572.172598	687.89
130	219.1180096	216.16	207.3198523	203.1	457.6609847	560.57	483.4590476	589.79	506.7283261	615.09	538.375032	647.91
135	223.3121727	220.42	212.8529612	208.82	415.835282	500.72	445.76932	537.88	471.6431349	568.52	505.7922636	606.84
140	227.4136289	224.59	218.1040649	214.24	369.9323402	429.75	407.1354751	480.62	436.8092528	519	474.2287433	564.48
145	231.428355	228.68	223.1158128	219.4	201.5201411	191.05	365.8972334	414.65	401.6851296	465.48	443.5095168	520.61
150	235.3616854	232.7	227.9210368	224.36	209.7808404	201.35	317.6730602	330.93	365.4869762	406.38	413.4947022	475.05
155	239.2184084	236.64	232.545646	229.13	217.0448102	209.66	209.1504058	172.9	326.9588639	339.39	384.1225065	427.84
160	243.0028427	240.51	237.0105075	233.74	223.6235095	216.96	214.0150653	196.19	284.3862963	261.64	355.5248704	379.65
165	246.7189021	244.31	241.3327188	238.2	229.6901987	223.58	221.3580998	207.8	246.0931892	206.47	328.3137844	332.57
170	250.3701477	248.05	245.5264942	242.53	235.35425	229.71	228.2562264	216.92	236.4370545	210.69	304.1142512	291.48
175	253.9598326	251.73	249.6038013	246.74	240.6903962	235.45	234.6613349	224.79	238.2694267	219.06	285.6704193	263.41
180	257.4909386	255.36	253.5748274	250.84	245.7525722	240.86	240.6405987	231.86	242.566398	226.95	274.7477116	250.86
185	260.9662081	258.93	257.4483287	254.85	250.581301	246.01	246.2605483	238.35	247.4860354	234.23	270.1180902	248.47
