 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_cp_01	NIST_cp_01	PR_cp_1	NIST_cp_1	PR_cp_3	NIST_cp_3	PR_cp_5	NIST_cp_5	PR_cp_7	NIST_cp_7	PR_cp_10	NIST_cp_10
60	1171.025577	1127.7	1178.171449	1130.2	1193.974006	1135.7	1209.674555	1141.2	1225.278158	1146.6	1248.511966	1154.5
65	1089.508271	1102	1096.616925	1104.6	1112.321815	1110.2	1127.905427	1115.7	1143.37434	1121.1	1166.375763	1129.2
70	1015.991198	1066.6	1023.101858	1069.3	1038.792953	1075.4	1054.339439	1081.3	1069.749923	1087.2	1092.627636	1095.8
75	949.0544815	1027.8	956.2062363	1030.8	971.9661091	1037.5	987.5528071	1044	1002.977688	1050.4	1025.833767	1059.9
80	887.5762163	987.7	894.809839	991.11	910.7234035	998.54	926.4283812	1005.8	941.9399152	1012.9	964.8736717	1023.3
85	830.6482127	947.06	838.0081715	950.89	854.166545	959.23	870.071802	967.35	885.7443919	975.25	908.8558021	986.76
90	777.5159573	905.9	785.0529065	910.23	801.5579882	919.62	817.7530328	928.7	833.6660853	937.5	857.0591425	950.23
95	186.4161392	183.16	735.3075581	868.97	752.2780088	879.58	768.8642521	889.77	785.1054764	899.59	808.8917784	913.71
100	191.5178749	188.37	688.2120948	826.85	705.7917888	838.9	722.8883929	850.39	739.5579298	861.38	763.8608337	877.07
105	196.4516689	193.31	643.2514543	783.53	661.6222828	797.32	679.3744844	810.35	696.5904291	822.71	721.5501911	840.2
110	201.2340015	198.11	599.922627	738.58	619.3252429	754.54	637.9169362	769.42	655.8231529	783.4	681.6036435	802.97
115	205.8786885	202.78	557.6922916	691.43	578.4623001	710.13	598.1362471	727.31	616.9140154	743.25	643.7118996	765.27
120	210.3974611	207.35	194.8846171	190	538.5656902	663.59	559.6582618	683.68	579.5445691	702.02	607.6023797	726.96
125	214.8003914	211.8	201.2065812	196.96	499.0815147	614.14	522.0875919	638.06	543.405602	659.42	573.0311035	687.89
130	219.0962116	216.16	207.1072773	203.1	459.2582725	560.57	484.966696	589.79	508.1802201	615.09	539.7762973	647.91
135	223.2925578	220.42	212.6668578	208.82	417.8748828	500.72	447.7005996	537.88	473.5208058	568.52	507.6337452	606.84
140	227.3961587	224.59	217.942802	214.24	372.3398774	429.75	409.3901802	480.62	439.0129648	519	476.4146394	564.48
145	231.4129842	228.68	222.9779895	219.4	201.3058358	191.05	368.3636878	414.65	404.111791	465.48	445.9483289	520.61
150	235.3483631	232.7	227.8054124	224.36	209.6316561	201.35	320.1843555	330.93	368.0172285	406.38	416.0965359	475.05
155	239.2070792	236.64	232.4510964	229.13	216.9543096	209.66	210.0733972	172.9	329.4264735	339.39	386.7966317	427.84
160	242.9934479	240.51	236.9359974	233.74	223.5868429	216.96	214.6016014	196.19	286.5106287	261.64	358.1801431	379.65
165	246.7113802	244.31	241.2772825	238.2	229.7034504	223.58	221.8913445	207.8	247.7947352	206.47	330.8707249	332.57
170	250.3644357	248.05	245.4892236	242.53	235.4141169	229.71	228.7866056	216.92	237.9747866	210.69	306.5436434	291.48
175	253.9558662	251.73	249.583837	246.74	240.7940048	235.45	235.2081311	224.79	239.6735138	219.06	288.0256094	263.41
180	257.488653	255.36	253.5713523	250.84	245.897366	240.86	241.2127752	231.86	243.8943136	226.95	277.0872152	250.86
185	260.9655386	258.93	257.4605639	254.85	250.7649668	246.01	246.8625498	238.35	248.7747234	234.23	272.4414335	248.47
190	264.389053	262.45	261.2590975	258.76	255.4284022	250.92	252.2095339	244.38	253.7888825	240.97	271.6676353	250.55
195	267.7615369	265.92	264.9736174	262.58	259.9127688	255.64	257.2957039	250.04	258.7551337	247.26	273.0206845	254.43
200	271.0851617	269.34	268.6099881	266.33	264.2384052	260.18	262.1548518	255.39	263.6059894	253.17	275.5219056	259
205	274.3619463	272.71	272.173403	270.01	268.4220707	264.56	266.8144296	260.48	268.3180057	258.75	278.6465429	263.81
210	277.5937723	276.05	275.6684878	273.61	272.4777723	268.81	271.2969988	265.34	272.8862571	264.05	282.1077007	268.66
215	280.7823971	279.33	279.099384	277.15	276.4173589	272.93	275.6213206	270.01	277.3138855	269.1	285.7431557	273.46
220	283.9294653	282.58	282.4698174	280.63	280.25096	276.94	279.8031685	274.51	281.6074686	273.95	289.4582318	278.16
225	287.0365188	285.79	285.783155	284.05	283.9873154	280.84	283.8559379	278.85	285.7748628	278.6	293.1963056	282.74
230	290.1050057	288.95	289.0424518	287.42	287.6340279	284.64	287.7911094	283.05	289.8241738	283.08	296.9229878	287.21
235	293.1362887	292.08	292.2504901	290.73	291.1977596	288.36	291.618604	287.13	293.763269	287.42	300.6172973	291.55
240	296.1316516	295.17	295.4098129	294	294.6843865	292	295.347059	291.09	297.5995576	291.61	304.2665522	295.78
245	299.092306	298.23	298.5227522	297.21	298.0991223	295.56	298.9840452	294.95	301.3399079	295.69	307.8633168	299.89
250	302.019397	301.25	301.5914528	300.38	301.4466175	299.04	302.5362398	298.71	304.9906318	299.64	311.4035229	303.91
255	304.9140081	304.24	304.6178932	303.51	304.7310413	302.46	306.0095648	302.39	308.5575053	303.49	314.8852873	307.82
260	307.7771662	307.19	307.6039032	306.59	307.9561476	305.82	309.4092996	305.97	312.0458031	307.25	318.308151	311.63
265	310.6098451	310.12	310.5511795	309.64	311.125331	309.12	312.740173	309.49	315.4603403	310.91	321.6725815	315.36
270	313.41297	313.01	313.461299	312.64	314.2416726	312.35	316.006439	312.92	318.8055143	314.5	324.979643	319.01
275	316.1874206	315.87	316.3357304	315.61	317.307979	315.54	319.2119401	316.29	322.0853452	318	328.2307752	322.57
280	318.9340341	318.69	319.175845	318.53	320.3268152	318.67	322.3601598	319.6	325.3035139	321.43	331.4276437	326.06
285	321.6536083	321.49	321.982925	321.43	323.3005326	321.76	325.4542675	322.84	328.4633957	324.79	334.5720383	329.48
290	324.346904	324.27	324.7581721	324.29	326.2312932	324.8	328.4971559	326.03	331.5680918	328.08	337.6658046	332.84
295	327.0146474	327.01	327.5027143	327.11	329.12109	327.79	331.491473	329.16	334.6204563	331.31	340.7107967	336.12
300	329.6575327	329.72	330.2176123	329.9	331.9717648	330.74	334.4396502	332.25	337.6231211	334.49	343.7088464	339.35
305	332.2762232	332.41	332.903865	332.67	334.7850241	333.65	337.3439253	335.28	340.5785176	337.6	346.6617424	342.52
310	334.8713542	335.07	335.5624148	335.4	337.5624521	336.52	340.2063636	338.26	343.4888962	340.67	349.5712167	345.64
315	337.443534	337.71	338.1941517	338.1	340.3055231	339.35	343.0288754	341.2	346.3563437	343.69	352.4389375	348.7
320	339.9933456	340.32	340.7999178	340.77	343.0156115	342.15	345.8132318	344.09	349.1827982	346.65	355.266504	351.72
325	342.5213483	342.9	343.3805105	343.41	345.6940013	344.91	348.5610779	346.95	351.970063	349.58	358.055445	354.68
330	345.028079	345.46	345.9366862	346.03	348.3418939	347.63	351.2739453	349.76	354.719819	352.45	360.8072189	357.6
335	347.5140535	348	348.4691631	348.62	350.9604156	350.33	353.9532623	352.54	357.4336349	355.29	363.5232145	360.47
340	349.9797674	350.52	350.9786239	351.18	353.5506239	352.99	356.6003634	355.28	360.1129777	358.09	366.2047534	363.31
345	352.4256974	353.01	353.4657182	353.72	356.1135134	355.62	359.2164974	357.98	362.7592209	360.84	368.8530918	366.1
350	354.8523023	355.48	355.9310651	356.23	358.6500207	358.22	361.8028351	360.65	365.3736522	363.56	371.4694239	368.85
