TITLE = "Trho sat" 

  VARIABLES = T_sat	v_liq_sat	v_vap_sat
218	0.00085223	0.068571
220	0.00085753	0.063221
222	0.00086295	0.058372
224	0.00086851	0.053968
226	0.00087419	0.04996
228	0.00088001	0.046307
230	0.00088599	0.042971
232	0.00089212	0.03992
234	0.00089841	0.037125
236	0.00090488	0.034561
238	0.00091153	0.032204
240	0.00091838	0.030034
242	0.00092544	0.028035
244	0.00093272	0.026189
246	0.00094024	0.024483
248	0.00094801	0.022903
250	0.00095605	0.021439
252	0.00096438	0.02008
254	0.00097303	0.018817
256	0.00098201	0.017641
258	0.00099136	0.016546
260	0.0010011	0.015524
262	0.0010113	0.014569
264	0.001022	0.013675
266	0.0010331	0.012838
268	0.0010449	0.012053
270	0.0010573	0.011316
272	0.0010704	0.010622
274	0.0010842	0.0099677
276	0.001099	0.0093505
278	0.0011148	0.0087669
280	0.0011318	0.008214
282	0.0011501	0.0076891
284	0.0011699	0.0071894
286	0.0011917	0.0067123
288	0.0012158	0.0062552
290	0.0012428	0.0058152
292	0.0012733	0.0053893
294	0.0013087	0.0049736
296	0.0013508	0.0045634
298	0.001403	0.0041511
300	0.0014722	0.0037232


