TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
350	5.997039508	0.350584281	5.969142144	0.263991929	5.942115066	0.168684279	5.917809716	0.075555101	5.877539131	0.10557589	5.820225436	0.53464964
360	5.747353623	0.527253012	5.712103295	0.441267113	5.676818832	0.34747087	5.645200527	0.255552524	5.592849991	0.075981031	5.509218498	0.345025671
370	5.52015307	0.660283334	5.476841366	0.57552118	5.433940095	0.482510419	5.393031746	0.393952438	5.326559278	0.218422929	5.214189476	0.190415672
380	5.320336798	0.756310266	5.266504909	0.675044455	5.212096966	0.5867017	5.162450953	0.500777821	5.07934036	0.331945298	4.935096346	0.060535286
390	5.146148288	0.830506386	5.080334645	0.753612098	5.014372941	0.669405304	4.954833711	0.586911087	4.852005342	0.427505167	4.671914792	0.0554119
400	5.002000544	0.891815302	4.923716999	0.818683166	4.842806855	0.741185059	4.770360169	0.664478912	4.645528342	0.515686653	4.424641325	0.167674292
410	4.89005116	0.950837591	4.795272163	0.884024663	4.698358397	0.812753832	4.612419566	0.741120521	4.462553903	0.604069246	4.194765351	0.283466055
420	4.811655836	1.017452037	4.698537972	0.956482197	4.583904664	0.890979218	4.480342234	0.826864269	4.301523479	0.702643849	3.983884157	0.407769351
430	4.772061453	1.095441493	4.637828639	1.039972558	4.501384798	0.981498924	4.378327653	0.924295388	4.167061831	0.812505278	3.789177638	0.547794124
440	4.774642312	1.188710561	4.613748864	1.140300816	4.453372447	1.087105853	4.308100889	1.036356296	4.058082107	0.938429647	3.615347849	0.700608811
450	1.002839531	0.025476565	4.632572774	1.255712862	4.441658231	1.209694256	4.270376295	1.165219318	3.978375549	1.078127399	3.461173854	0.867603854
460	0.794221898	0.111717094	4.698883154	1.385484825	4.472140717	1.345792422	4.271265784	1.306175155	3.929048112	1.230802996	3.326959009	1.047263359
470	0.623623189	0.184710925	4.815762933	1.530701691	4.548830903	1.493732895	4.311450629	1.459818616	3.911590448	1.394582486	3.214635983	1.235627379
480	0.484122743	0.245110903	4.991741703	1.687902425	4.673969863	1.654379241	4.395797023	1.622591317	3.929593092	1.565280738	3.126256267	1.428339232
490	0.368698547	0.295368054	5.233474798	1.857950522	4.85662483	1.822734294	4.52719278	1.793889868	3.983972422	1.741856222	3.060702429	1.624394165
500	0.273462934	0.336011409	5.551671437	2.040896653	5.100119598	2.002021419	4.713445432	1.969155045	4.079586573	1.919632036	3.018443672	1.821282769
510	0.195548223	0.367425783	5.955969519	2.243021612	5.416122865	2.189315295	4.9559637	2.152246214	4.217048863	2.098982492	3.003325061	2.013034858
520	0.130560809	0.392147159	6.464261276	2.469092103	5.810586772	2.391494191	5.265496671	2.338854633	4.401193654	2.276204003	3.014216604	2.19878107
530	0.075620896	0.411616787	7.096653676	2.732944496	6.297400477	2.611887973	5.645787348	2.534344067	4.63621588	2.448403256	3.051574066	2.375586927
540	0.032789062	0.422616173	7.881095691	3.059283276	6.894396648	2.856855348	6.110270177	2.736301904	4.923946191	2.615071552	3.119286508	2.536176308
550	0.002768705	0.429081562	8.862875213	3.489811114	7.616943914	3.147332629	6.667786814	2.951051657	5.272933432	2.768017803	3.215921146	2.677913174
560	0.030640207	0.42985991	10.11003062	4.116843376	8.498671166	3.504630195	7.331900489	3.185557437	5.6824224	2.908442944	3.343355865	2.793516293
570	0.054271038	0.427831143	2.279589491	10.56808264	9.577480484	3.984083581	8.12100419	3.450841865	6.162492363	3.024989578	3.501414147	2.876693189
580	0.071314098	0.420206996	1.153330142	8.847290825	10.91882773	4.69121914	9.058681193	3.768105146	6.71775915	3.11130772	3.693245755	2.916515949
590	0.086506693	0.411448383	0.429300292	7.702023193	12.64025239	5.868808784	10.1761672	4.178245994	7.352697645	3.16019568	3.917848982	2.905631948
600	0.095074669	0.396600605	0.058248561	6.831337892	14.99506979	8.216532472	11.52107388	4.756054427	8.077300719	3.156900569	4.175423507	2.834941687
610	0.102814063	0.381427203	0.393700774	6.117352339	18.85262534	15.17939464	13.16065588	5.657697532	8.89438674	3.092270847	4.465353682	2.696231059
620	0.109183808	0.365427568	0.624748279	5.504225615	3.981780406	226.7067301	15.18611076	7.233700529	9.813565645	2.944962992	4.789996773	2.478654471
630	0.113934629	0.348464887	0.787158594	4.969360758	1.03330522	252.6100851	17.60355527	10.43827291	10.8328497	2.697881399	5.146616971	2.178002498
640	0.113415156	0.327038311	0.89328505	4.489112002	0.156005609	38.67380093	19.11358274	18.74296832	11.94084262	2.328302415	5.535099087	1.789004415
650	0.115259966	0.308977287	0.961248971	4.058827649	0.788437866	19.48059348	12.2760677	42.08434764	13.09878574	1.817182077	5.953839352	1.310282817
660	0.112627332	0.287600183	1.003591583	3.675492079	1.15616387	13.78824572	4.851424002	55.31876698	14.22008033	1.16065129	6.397396215	0.747298269
670	0.113945931	0.271502342	1.019208088	3.326545321	1.373271531	10.71583519	2.017383892	40.66190069	15.1472228	0.394721907	6.860549469	0.10818537
680	0.10874147	0.250307427	1.024205868	3.019801602	1.498220908	8.73158077	0.690678926	24.2328104	15.63985411	0.361951237	7.336229303	0.594070522
690	0.106039548	0.23312564	1.012718398	2.742276092	1.563471941	7.326964826	0.050283486	16.29550233	15.43777966	0.910421653	7.820185186	1.346996502
700	0.10345595	0.217591597	0.989769273	2.493207433	1.586606099	6.274599046	0.494493665	12.08782841	14.38212987	1.032866606	8.295389793	2.122595988
710	0.098626129	0.20131501	0.964143622	2.276334718	1.580535612	5.457047215	0.777835084	9.531882249	12.60550107	0.700215768	8.755050666	2.90292371
720	0.093376085	0.186060208	0.928811752	2.07987486	1.553600083	4.805179282	0.956459514	7.825148204	10.52463043	0.140576617	9.187329752	3.664736083
730	0.089788441	0.173814354	0.894008253	1.909954989	1.513142673	4.276514807	1.072457314	6.619092479	8.545462143	0.394397471	9.575430616	4.380629314
740	0.085908479	0.162499245	0.852607679	1.755515921	1.460773186	3.838490318	1.136291016	5.719649284	6.870661967	0.79224596	9.910360959	5.033327479
750	0.079795049	0.150035835	0.810649174	1.619167269	1.403133067	3.473436537	1.16550649	5.027281696	5.526903539	1.056226712	10.17928785	5.603737448
760	0.073931126	0.138766303	0.767614709	1.49725928	1.337508093	3.16049069	1.169321901	4.478453858	4.460449936	1.23174778	10.37340002	6.079309912
770	0.071049792	0.13128428	0.719810306	1.383321239	1.271798297	2.894032723	1.155573308	4.033379423	3.624402658	1.339132808	10.48856641	6.454416035
780	0.065071865	0.121374162	0.677087347	1.284894315	1.201930212	2.65945694	1.128864408	3.664147297	2.966974645	1.400923102	10.52309581	6.727493519
790	0.058869689	0.111791064	0.633331189	1.193817897	1.131803539	2.452694728	1.090512678	3.349241966	2.444551726	1.434054431	10.47199869	6.894511712
800	0.055562329	0.105553617	0.587138528	1.107041753	1.06066099	2.266837801	1.045947413	3.077928008	2.021392069	1.452111657	10.34129038	6.963333658
810	0.049097104	0.096523107	0.546630067	1.031429243	0.990429317	2.099197487	0.995679257	2.839029938	1.686890748	1.447620419	10.13999325	6.944883124
820	0.047495529	0.092661459	0.502699273	0.956840363	0.921081724	1.946303996	0.94233306	2.626834897	1.414206954	1.434312671	9.873696992	6.846172183
830	0.039950996	0.083112121	0.460057104	0.887295629	0.852233769	1.805276851	0.885184503	2.434628413	1.199668189	1.40555644	9.553553995	6.679471506
840	0.039622265	0.081010806	0.419419422	0.823025611	0.785036171	1.675519367	0.827365376	2.261365093	1.022222318	1.375353291	9.196798205	6.462782986
850	0.035655385	0.075482811	0.377144663	0.760059949	0.719742451	1.556069103	0.768064287	2.103238389	0.875579037	1.344555787	8.805758802	6.198309326
860	0.026738182	0.065208196	0.339390841	0.704383765	0.657743122	1.447477745	0.708997894	1.959850923	0.763897432	1.304793528	8.401961038	5.907775538
870	0.026756315	0.06407469	0.303154658	0.652846702	0.596728958	1.346783241	0.651096431	1.830528954	0.669860935	1.270567936	7.986840281	5.592215209
880	0.019569663	0.055932526	0.265531232	0.602410102	0.535067221	1.251794612	0.592457639	1.712004192	0.588207149	1.244551459	7.569649449	5.260926403
890	0.019427497	0.055028748	0.233772583	0.560195454	0.479092962	1.168329972	0.534141187	1.604088864	0.528199033	1.214845839	7.16039216	4.924383374
900	0.015084565	0.050099835	0.20043552	0.518519607	0.42372986	1.090631676	0.478567997	1.507926637	0.48809068	1.180797544	6.765489714	4.589932458
910	0.010728433	0.045312698	0.168214995	0.479798598	0.369184546	1.018151109	0.422833631	1.419178542	0.444774768	1.163366019	6.382699042	4.256651492
920	0.005426701	0.039704848	0.134900875	0.441459548	0.316164068	0.950737956	0.36812464	1.337541082	0.419627893	1.138193526	6.017624872	3.932189522
930	0.003668521	0.037731738	0.103633757	0.406251373	0.268438828	0.891263083	0.316522183	1.263572343	0.394815619	1.120774238	5.671114886	3.619697765
940	0.000772885	0.033127434	0.077863014	0.377224652	0.219855212	0.832624951	0.265770866	1.193516484	0.384865478	1.093885444	5.343283359	3.321692099
950	0.003284767	0.030472289	0.050499171	0.346900948	0.174912399	0.778550585	0.21759421	1.12783374	0.37561015	1.069794085	5.03828797	3.044607248
960	0.004611287	0.028996426	0.025208443	0.318685329	0.130563637	0.725387756	0.169036818	1.062608206	0.370587086	1.043366329	4.750042991	2.783856373
970	0.005494252	0.027946184	0.000402506	0.290859924	0.08933834	0.675405219	0.122853792	1.000168518	0.368485143	1.015163453	4.481263014	2.542945892
980	0.012386611	0.02087322	0.025471782	0.261931951	0.048609832	0.626073693	0.078734168	0.940336546	0.369287723	0.985357927	4.229077941	2.318519572
990	0.014658483	0.018438985	0.048261144	0.236346884	0.011441486	0.581019795	0.036726517	0.883939846	0.373396785	0.954696156	3.995024317	2.110394638
1000	0.01869972	0.014301538	0.069267863	0.21329807	0.027252504	0.53610717	0.00278118	0.832783111	0.378423234	0.92772688	3.774796506	1.911086589
