TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
350	5.997039508	0.072882487	5.969142144	0.009516303	5.942115066	0.100288681	5.917809716	0.189011513	5.877539131	0.361692669	5.820225436	0.77153574
360	5.747353623	0.309048457	5.712103295	0.226672647	5.676818832	0.136767324	5.645200527	0.048618714	5.592849991	0.123752914	5.509218498	0.528531564
370	5.52015307	0.501269017	5.476841366	0.419390518	5.433940095	0.329478358	5.393031746	0.243908559	5.326559278	0.074062718	5.214189476	0.322097148
380	5.320336798	0.65065981	5.266504909	0.571492016	5.212096966	0.485394498	5.162450953	0.401630009	5.07934036	0.23688136	4.935096346	0.146589191
390	5.146148288	0.767488457	5.080334645	0.691963577	5.014372941	0.609216718	4.954833711	0.528121259	4.852005342	0.371343798	4.671914792	0.004981975
400	5.002000544	0.857368886	4.923716999	0.785055452	4.842806855	0.708425381	4.770360169	0.632547416	4.645528342	0.485301909	4.424641325	0.140619686
410	4.89005116	0.929872192	4.795272163	0.863603127	4.698358397	0.792906263	4.612419566	0.721818066	4.462553903	0.585777626	4.194765351	0.267321306
420	4.811655836	0.996474407	4.698537972	0.936097954	4.583904664	0.871217976	4.480342234	0.807691166	4.301523479	0.684553778	3.983884157	0.391947186
430	4.772061453	1.06498227	4.637828639	1.010451932	4.501384798	0.952957659	4.378327653	0.896673331	4.167061831	0.786562921	3.789177638	0.52531551
440	4.774642312	1.145050855	4.613748864	1.0981049	4.453372447	1.046428509	4.308100889	0.9970948	4.058082107	0.901733132	3.615347849	0.66911881
450	1.002839531	0.011907815	4.632572774	1.203534303	4.441658231	1.159550302	4.270376295	1.1169598	3.978375549	1.033251528	3.461173854	0.829479264
460	0.794221898	0.099921716	4.698883154	1.331671484	4.472140717	1.29425285	4.271265784	1.256726467	3.929048112	1.18507088	3.326959009	1.008814134
470	0.623623189	0.176705623	4.815762933	1.48759119	4.548830903	1.452598837	4.311450629	1.420485822	3.911590448	1.358417814	3.214635983	1.205552073
480	0.484122743	0.24217583	4.991741703	1.669312096	4.673969863	1.636714743	4.395797023	1.605763077	3.929593092	1.549905595	3.126256267	1.415699381
490	0.368698547	0.297814186	5.233474798	1.876134048	4.85662483	1.839931043	4.52719278	1.810205267	3.983972422	1.756659842	3.060702429	1.636415942
500	0.273462934	0.343168493	5.551671437	2.103293688	5.100119598	2.060716019	4.713445432	2.024581327	4.079586573	1.969538331	3.018443672	1.86128234
510	0.195548223	0.377787094	5.955969519	2.349054647	5.416122865	2.288428919	4.9559637	2.245344278	4.217048863	2.182089951	3.003325061	2.07870267
520	0.130560809	0.403611005	6.464261276	2.607134738	5.810586772	2.519565916	5.265496671	2.458404554	4.401193654	2.381887456	3.014216604	2.280998267
530	0.075620896	0.421769894	7.096653676	2.877421595	6.297400477	2.744711554	5.645787348	2.657417346	4.63621588	2.555980909	3.051574066	2.457856672
540	0.032789062	0.429014195	7.881095691	3.167580729	6.894396648	2.955281895	6.110270177	2.826690993	4.923946191	2.693048641	3.119286508	2.594683275
550	0.002768705	0.429495265	8.862875213	3.498219953	7.616943914	3.154862619	6.667786814	2.957890286	5.272933432	2.773825896	3.215921146	2.682179233
