TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
350	5.997039508	0.319815162	5.969142144	0.233680709	5.942115066	0.138868485	5.917809716	0.046220858	5.877539131	0.133986103	5.820225436	0.56095402
360	5.747353623	0.538447328	5.712103295	0.452278532	5.676818832	0.358285082	5.645200527	0.266175592	5.592849991	0.08623881	5.509218498	0.335592281
370	5.52015307	0.712414216	5.476841366	0.62671674	5.433940095	0.532700541	5.393031746	0.44317258	5.326559278	0.265797059	5.214189476	0.147164405
380	5.320336798	0.843530166	5.266504909	0.760548003	5.212096966	0.670367774	5.162450953	0.582676018	5.07934036	0.410498262	4.935096346	0.010629103
390	5.146148288	0.942671677	5.080334645	0.863358728	5.014372941	0.776572469	4.954833711	0.691605998	4.852005342	0.527552061	4.671914792	0.145313255
400	5.002000544	1.01580096	4.923716999	0.939741256	4.842806855	0.859138146	4.770360169	0.779468552	4.645528342	0.625139054	4.424641325	0.265193825
410	4.89005116	1.072453977	4.795272163	1.00250371	4.698358397	0.927920839	4.612419566	0.853140986	4.462553903	0.710252391	4.194765351	0.377240816
420	4.811655836	1.123571595	4.698537972	1.05961406	4.583904664	0.990973351	4.480342234	0.923895386	4.301523479	0.794216522	3.983884157	0.487902874
430	4.772061453	1.175858303	4.637828639	1.117920971	4.501384798	1.056871036	4.378327653	0.997248792	4.167061831	0.881037298	3.789177638	0.607202365
440	4.774642312	1.237312781	4.613748864	1.187278571	4.453372447	1.13239794	4.308100889	1.08007638	4.058082107	0.979300969	3.615347849	0.73569418
450	1.002839531	0.029235545	4.632572774	1.270121492	4.441658231	1.223542234	4.270376295	1.178547928	3.978375549	1.09052322	3.461173854	0.878137679
460	0.794221898	0.108100636	4.698883154	1.36901316	4.472140717	1.330015945	4.271265784	1.291038019	3.929048112	1.216802456	3.326959009	1.03549063
470	0.623623189	0.176498899	4.815762933	1.486475892	4.548830903	1.451534737	4.311450629	1.419468375	3.911590448	1.357482409	3.214635983	1.20477431
480	0.484122743	0.234084442	4.991741703	1.617924531	4.673969863	1.587891362	4.395797023	1.559255278	3.929593092	1.507420259	3.126256267	1.380782148
490	0.368698547	0.282260301	5.233474798	1.760108317	4.85662483	1.73021827	4.52719278	1.706129112	3.983972422	1.662248178	3.060702429	1.559775602
500	0.273462934	0.3206191	5.551671437	1.905818139	5.100119598	1.874998854	4.713445432	1.849238781	4.079586573	1.811707509	3.018443672	1.734849133
510	0.195548223	0.348830287	5.955969519	2.050953952	5.416122865	2.009874194	4.9559637	1.983769761	4.217048863	1.948691264	3.003325061	1.894418764
