TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
350	5.997039508	0.11611871	5.969142144	0.033057981	5.942115066	0.058429981	5.917809716	0.147847769	5.877539131	0.321860817	5.820225436	0.734731196
360	5.747353623	0.329124076	5.712103295	0.246412538	5.676818832	0.156145499	5.645200527	0.067646565	5.592849991	0.105393805	5.509218498	0.5116781
370	5.52015307	0.500069337	5.476841366	0.41821277	5.433940095	0.32832417	5.393031746	0.242777084	5.326559278	0.072974425	5.214189476	0.323089198
380	5.320336798	0.631784293	5.266504909	0.552993529	5.212096966	0.4672994	5.162450953	0.383922781	5.07934036	0.219907426	4.935096346	0.161946456
390	5.146148288	0.736144108	5.080334645	0.661303186	5.014372941	0.57928536	4.954833711	0.498888249	4.852005342	0.343422729	4.671914792	0.020079948
400	5.002000544	0.81999866	4.923716999	0.748576058	4.842806855	0.672890358	4.770360169	0.597913267	4.645528342	0.452349917	4.424641325	0.111287804
410	4.89005116	0.893502017	4.795272163	0.828178542	4.698358397	0.758479484	4.612419566	0.688338809	4.462553903	0.554055106	4.194765351	0.23932855
420	4.811655836	0.967811418	4.698537972	0.908247234	4.583904664	0.844219962	4.480342234	0.781498051	4.301523479	0.659842617	3.983884157	0.370338333
430	4.772061453	1.049342627	4.637828639	0.995295003	4.501384798	0.938304352	4.378327653	0.882492662	4.167061831	0.773245787	3.789177638	0.513778572
440	4.774642312	1.145219043	4.613748864	1.098267442	4.453372447	1.046585193	4.308100889	0.997246023	4.058082107	0.901874463	3.615347849	0.669240069
450	1.002839531	0.015692491	4.632572774	1.218114761	4.441658231	1.173561545	4.270376295	1.130443895	3.978375549	1.045789217	3.461173854	0.840129098
460	0.794221898	0.105105562	4.698883154	1.355353297	4.472140717	1.316933124	4.271265784	1.278485839	3.929048112	1.205193522	3.326959009	1.025730144
470	0.623623189	0.180853067	4.815762933	1.509945385	4.548830903	1.473927564	4.311450629	1.440880031	3.911590448	1.377168495	3.214635983	1.221144226
