TITLE = "Decane T rho" 

  VARIABLES = T	v_NIST_0.1Mpa	v_Soave_0.1Mpa	v_new_0.1Mpa	v_NIST_1Mpa	v_Soave_1Mpa	v_new_1Mpa	v_NIST_2Mpa	v_Soave_2Mpa	v_new_2Mpa	v_NIST_3Mpa	v_Soave_3Mpa	v_new_3Mpa	v_NIST_5Mpa	v_Soave_5Mpa	v_new_5Mpa	v_NIST_10Mpa	v_Soave_10Mpa	v_new_10Mpa
300	0.0013791	0.001596782	1.38E-03	0.0013777	0.001591369	0.001376356	0.0013762	0.001585676	0.001376191	0.0013747	0.001580292	0.001376028	0.0013717	0.001570338	0.001375705	0.0013646	0.001549238	0.001374915
310	0.0013941	0.001612255	1.38E-03	0.0013926	0.001606292	0.001383268	0.0013909	0.00160004	0.001383061	0.0013893	0.001594144	0.001382857	0.0013861	0.001583283	0.001382451	0.0013784	0.001560418	0.001381465
320	0.0014094	0.001628468	1.39E-03	0.0014077	0.001621894	0.001394249	0.0014059	0.001615024	0.001393963	0.0014042	0.001608565	0.001393679	0.0014007	0.001596713	0.00139312	0.0013924	0.001571942	0.001391763
330	0.0014251	0.001645484	1.41E-03	0.0014233	0.001638228	0.00140969	0.0014213	0.001630673	0.001409267	0.0014194	0.001623591	0.001408849	0.0014156	0.001610654	0.001408026	0.0014067	0.001583823	0.001406046
340	0.0014412	0.00166337	1.43E-03	0.0014392	0.001655352	0.001429646	0.0014371	0.001647034	0.001429003	0.001435	0.001639266	0.00142837	0.0014309	0.001625139	0.001427129	0.0014213	0.001596077	0.001424169
350	0.0014578	0.001682207	1.45E-03	0.0014556	0.001673332	0.00145309	0.0014533	0.001664164	0.001452127	0.001451	0.001655634	0.001451181	0.0014466	0.001640199	0.001449338	0.0014362	0.001608721	0.001444989
360	0.0014748	0.001702084	1.48E-03	0.0014725	0.001692243	0.001477522	0.00147	0.001682123	0.001476154	0.0014675	0.001672747	0.001474815	0.0014627	0.001655872	0.00147222	0.0014514	0.001621772	0.001466173
370	0.0014925	0.001723104	1.50E-03	0.00149	0.001712168	0.001499766	0.0014872	0.001700979	0.00149797	0.0014845	0.001690661	0.001496218	0.0014792	0.001672196	0.00149284	0.001467	0.00163525	0.001485056
380	0.0015108	0.001745386	1.52E-03	0.001508	0.001733204	0.00151784	0.0015049	0.00172081	0.001515663	0.001502	0.001709439	0.001513546	0.0014962	0.001689214	0.00150948	0.0014829	0.001649173	0.00150019
390	0.0015298	0.001769068	1.53E-03	0.0015267	0.001755461	0.001532133	0.0015233	0.001741702	0.001529642	0.0015201	0.001729149	0.001527225	0.0015138	0.001706974	0.001522598	0.0014993	0.001663563	0.001512092
400	0.0015495	0.001794313	1.55E-03	0.0015461	0.001779065	0.001544789	0.0015424	0.001763754	0.001542012	0.0015388	0.001749871	0.001539322	0.0015319	0.001725527	0.001534186	0.0015162	0.001678441	0.001522586
410	0.00157	0.001821314	1.56E-03	0.0015663	0.001804165	0.001558343	0.0015622	0.001787079	0.001555239	0.0015582	0.001771693	0.001552238	0.0015507	0.001744929	0.001546525	0.0015335	0.001693831	0.001533694
420	0.0015915	0.001850302	1.58E-03	0.0015873	0.001830932	0.001574834	0.0015828	0.001811805	0.001571291	0.0015784	0.001794712	0.001567875	0.0015701	0.001765244	0.001561395	0.0015513	0.001709758	0.001546951
430	0.0016141	0.001881556	1.60E-03	0.0016094	0.001859572	0.001595514	0.0016043	0.001838083	0.001591355	0.0015995	0.001819044	0.00158736	0.0015903	0.00178654	0.001579821	0.0015697	0.001726248	0.001563185
440	0.0016378	0.001915421	1.63E-03	0.0016325	0.001890328	0.001620787	0.0016269	0.001866086	0.001615782	0.0016215	0.001844815	0.001610998	0.0016113	0.001808892	0.001602027	0.0015887	0.001743329	0.001582484
450	0.24687	0.252495735	0.247324963	0.0016569	0.001923494	0.001650162	0.0016506	0.001896018	0.001644043	0.0016445	0.001872174	0.00163823	0.0016332	0.001832387	0.001627419	0.0016083	0.00176103	0.001604225
460	0.2538	0.258665774	0.254231441	0.0016827	0.001959433	0.001682265	0.0016756	0.001928122	0.001674771	0.0016688	0.001901291	0.001667701	0.0016561	0.001857118	0.001654672	0.0016286	0.001779382	0.001627198
470	0.26063	0.264819836	0.260967154	0.0017102	0.001998591	0.00171515	0.001702	0.001962685	0.001706075	0.0016943	0.001932364	0.001697578	0.00168	0.001883191	0.001682072	0.0016497	0.00179842	0.00164995
480	0.26736	0.270959109	0.267531074	0.0017394	0.002041537	0.001746993	0.0017301	0.002000058	0.001736225	0.0017213	0.001965625	0.001726219	0.0017052	0.001910723	0.001708136	0.0016715	0.001818177	0.00167131
490	0.27401	0.27708466	0.273951514	0.0017709	0.002089005	0.00177694	0.00176	0.002040668	0.001764437	0.00175	0.002001346	0.001752906	0.0017318	0.001939847	0.001732256	0.0016943	0.001838691	0.001690869
500	0.28059	0.283197452	0.280273656	0.0018049	0.002141968	0.001805601	0.0017922	0.002085049	0.001791307	0.0017806	0.002039854	0.001778218	0.0017598	0.001970711	0.00175499	0.0017179	0.00186	0.001709127
510	0.28711	0.289298359	0.286545533	0.001842	0.002201762	0.001834923	0.001827	0.002133873	0.00181864	0.0018135	0.002081539	0.001803847	0.0017896	0.002003486	0.001777838	0.0017426	0.001882147	0.001727268
520	0.29358	0.295388172	0.2928064	0.001883	0.002270294	0.001867632	0.0018649	0.00218801	0.001848908	0.0018489	0.002126878	0.001832053	0.0018213	0.002038363	0.001802742	0.0017683	0.001905176	0.001746733
530	0.29999	0.301467614	0.29907997	0.0019287	0.002350439	0.001906686	0.0019066	0.002248611	0.001884696	0.0018875	0.002176455	0.001865136	0.0018551	0.00207556	0.001831584	0.0017952	0.001929131	0.001768823
540	0.30636	0.307537343	0.305373246	0.0019807	0.002446866	0.001954985	0.001953	0.002317246	0.001928383	0.0019297	0.002231004	0.001905102	0.0018915	0.002115327	0.001865876	0.0018233	0.001954062	0.001794448
550	0.31269	0.313597962	0.311680014	0.0020412	0.002568056	0.002015382	0.0020054	0.002396136	0.001982059	0.0019764	0.002291453	0.001953539	0.0019307	0.002157951	0.001906619	0.0018529	0.00198002	0.001824025
560	0.31899	0.319650024	0.31798699	0.002114	0.002732574	0.002091029	0.0020656	0.002488581	0.00204765	0.0020287	0.002359006	0.00201167	0.0019733	0.00220376	0.001954309	0.0018839	0.002007058	0.001857503
570	0.32525	0.325694037	0.324280275	0.023012	0.024671008	0.021869456	0.0021367	0.002599814	0.002127327	0.0020882	0.002435255	0.002080585	0.0020199	0.002253138	0.002009102	0.0019165	0.002035232	0.001894513
580	0.33149	0.331730467	0.330550256	0.024499	0.025609164	0.023479485	0.0022238	0.002738927	0.002224397	0.0021569	0.002522362	0.002161771	0.002071	0.002306525	0.002071146	0.0019508	0.0020646	0.001934622
590	0.3377	0.337759746	0.336793874	0.025827	0.026516467	0.024893665	0.0023366	0.002924156	0.002345209	0.0022382	0.002623359	0.002258056	0.0021276	0.002364434	0.002141104	0.0019869	0.002095223	0.001977653
600	0.34388	0.343782273	0.343014227	0.027045	0.027397896	0.026179246	0.0024991	0.003202891	0.002503484	0.0023374	0.002742653	0.002375169	0.0021907	0.002427462	0.002220751	0.002025	0.002127162	0.00202394
610	0.35005	0.349798416	0.349218186	0.028179	0.028257263	0.027379454	0.0028112	0.003838874	0.002733139	0.0024636	0.002886952	0.002524452	0.0022617	0.002496302	0.002313522	0.0020652	0.002160483	0.00207442
620	0.35619	0.355808518	0.355413167	0.02925	0.029097563	0.028523401	0.0085615	0.008958294	0.003154818	0.0026345	0.003067023	0.002728584	0.0023421	0.002571757	0.002424885	0.0021077	0.00219525	0.002130506
630	0.36231	0.361812896	0.361604197	0.030268	0.0299212	0.029628771	0.010223	0.010032286	0.009183906	0.0028921	0.003301216	0.003037318	0.002434	0.002654756	0.002562495	0.0021525	0.002231531	0.002193764
640	0.36842	0.367811845	0.367792157	0.031243	0.030730133	0.030703407	0.011389	0.010883166	0.010826982	0.0033728	0.003622315	0.003581258	0.0025399	0.002746353	0.002735907	0.0021998	0.002269391	0.002265452
650	0.37452	0.373805641	0.373973538	0.032183	0.031525986	0.031747541	0.012343	0.011621084	0.012014931	0.0045062	0.004085424	0.004668948	0.0026631	0.002847733	0.002955124	0.0022497	0.002308898	0.002346021
660	0.38059	0.379794541	0.380141598	0.033091	0.032310121	0.032756766	0.013173	0.01228815	0.013000407	0.005814	0.004736096	0.006029998	0.0028079	0.00296018	0.003226519	0.0023023	0.002350117	0.002434709
670	0.38666	0.385778782	0.386288383	0.033974	0.03308369	0.033725221	0.01392	0.012905702	0.013853134	0.0067926	0.005488744	0.007083814	0.0029801	0.003085019	0.003545795	0.0023578	0.002393111	0.00252941
680	0.39272	0.391758591	0.39240696	0.034833	0.033847682	0.034648352	0.014606	0.013486281	0.014603334	0.0075803	0.006199228	0.007898827	0.0031877	0.003223508	0.003893733	0.0024162	0.002437939	0.002627008
690	0.39876	0.397734175	0.398493245	0.035672	0.03460295	0.035524803	0.015245	0.014037981	0.015269365	0.008254	0.006828977	0.008560292	0.0034398	0.003376663	0.004243556	0.0024777	0.002484658	0.002724178
700	0.40479	0.403705733	0.40454702	0.036493	0.035350235	0.036357254	0.015848	0.014566378	0.015866437	0.0088513	0.007390665	0.009115625	0.0037426	0.003545032	0.004574866	0.0025423	0.002533316	0.002818391
710	0.41081	0.409673448	0.41057201	0.037298	0.036090187	0.037152261	0.01642	0.015075497	0.016409564	0.0093935	0.00790087	0.009596126	0.0040909	0.00372846	0.004880165	0.0026103	0.002583956	0.002908685
720	0.41683	0.415637494	0.416575127	0.038088	0.03682338	0.037919295	0.016966	0.015568357	0.016914073	0.0098936	0.008372009	0.010026044	0.0044651	0.003925918	0.005162474	0.0026816	0.002636613	0.002995937
730	0.42283	0.421598033	0.422565133	0.038866	0.037550321	0.038669254	0.017492	0.016047284	0.017394909	0.010361	0.00881278	0.010425452	0.004842	0.004135517	0.005430352	0.0027566	0.002691309	0.003082588
740	0.42883	0.427555219	0.428551035	0.039632	0.038271462	0.03941277	0.017998	0.016514119	0.017865376	0.010801	0.00922933	0.010810596	0.0052072	0.004354716	0.005693704	0.0028352	0.002748058	0.00317199
750	0.43482	0.433509196	0.4345405	0.040387	0.038987208	0.040158563	0.018489	0.016970344	0.01833577	0.011218	0.009626117	0.01119332	0.0055547	0.004580687	0.005960813	0.0029177	0.002806859	0.003267558
760	0.44081	0.439460101	0.440538532	0.041133	0.039697924	0.040912121	0.018965	0.017417172	0.018812265	0.011617	0.010006462	0.011580421	0.005884	0.004810695	0.006236431	0.003004	0.002867699	0.003371892
770	0.44679	0.445408061	0.446546586	0.04187	0.040403938	0.041674882	0.019429	0.017855612	0.019296343	0.011999	0.010372899	0.011973435	0.0061961	0.005042369	0.006520916	0.0030944	0.002930553	0.00348599
