 TITLE = "Density VS Temperature for Oxygen" 

VARIABLES =  T	rho_NIST_0.1Mpa	rho_Soave_0.1Mpa	rho_new_0.1Mpa	rho_NIST_1Mpa	rho_Soave_1Mpa	rho_new_1Mpa	rho_NIST_3Mpa	rho_Soave_3Mpa	rho_new_3Mpa	rho_NIST_5Mpa	rho_Soave_5Mpa	rho_new_5Mpa	rho_NIST_7Mpa	rho_Soave_7Mpa	rho_new_7Mpa	rho_NIST_10Mpa	rho_Soave_10Mpa	rho_new_10Mpa	
60	1282.1	1435.077686	1267.25847	1283.2	1435.969584	1271.555042	1285.6	1437.912625	1280.549853	1287.9	1439.804	1288.872479	1290.3	1441.646088	1296.613942	1293.7	1444.321618	1307.292963
65	1259.8	1414.015193	1242.374097	1261	1415.074872	1247.127172	1263.6	1417.379323	1257.039309	1266.2	1419.617212	1266.168722	1268.7	1421.791909	1274.628201	1272.4	1424.942226	1286.252011
70	1237.1	1391.728506	1218.030463	1238.4	1392.983779	1223.260953	1241.2	1395.708018	1234.123581	1244.1	1398.346464	1244.079831	1246.8	1400.903908	1253.268561	1250.9	1404.597714	1265.843244
75	1214	1368.109432	1193.546305	1215.5	1369.594091	1199.302119	1218.6	1372.808557	1211.199488	1221.7	1375.912181	1222.044588	1224.7	1378.911818	1232.00919	1229.2	1383.22977	1245.585019
80	1190.6	1343.028612	1168.436	1192.2	1344.784239	1174.791135	1195.7	1348.57492	1187.854379	1199.1	1352.221781	1199.686522	1202.4	1355.734715	1210.502598	1207.3	1360.772206	1225.16423
85	1166.7	1316.329614	1142.290061	1168.4	1318.408138	1149.348797	1172.3	1322.881402	1163.760727	1176.1	1327.166871	1176.715491	1179.7	1331.278991	1188.486985	1185.1	1337.149762	1204.350838
90	1142.1	1287.820472	1114.826585	1144.1	1290.287874	1122.727321	1148.4	1295.577347	1138.72477	1152.6	1300.619487	1152.97312	1156.7	1305.435697	1165.828475	1162.6	1312.276595	1183.035798
95	4.1642	4.1463334	4.13106653	1119	1260.203102	1095.032552	1123.9	1266.479738	1112.887065	1128.6	1272.426945	1128.614937	1133.1	1278.077013	1142.68783	1139.7	1286.054348	1161.379053
100	3.9411	3.928998687	3.917826852	1093	1227.875152	1066.695357	1098.5	1235.362496	1086.686188	1103.9	1242.404662	1104.068831	1109	1249.051478	1119.475727	1116.3	1258.369685	1139.762641
105	3.7418	3.733811543	3.725792602	1065.8	1192.942222	1037.817563	1072.2	1201.940511	1060.268607	1078.2	1210.325889	1079.494393	1084	1218.177455	1096.352595	1092.2	1229.091116	1118.339867
110	3.5625	3.557485459	3.551860407	1037.2	1154.918637	1007.292872	1044.6	1165.844844	1032.750665	1051.6	1175.906567	1054.138956	1058.2	1185.233949	1072.653509	1067.4	1198.064866	1096.536007
115	3.4001	3.39736435	3.393482186	1006.7	1113.123483	972.7953382	1015.5	1126.582289	1002.328161	1023.6	1138.782153	1026.493438	1031.2	1149.947367	1047.062794	1041.8	1165.109452	1073.23056
120	3.2524	3.251276168	3.248630482	38.246	38.40174541	37.23924718	984.3	1083.465119	967.6218628	993.94	1098.470488	995.5513061	1002.8	1111.971824	1018.780184	1015	1130.008465	1047.801484
125	3.1174	3.117425978	3.11571052	35.777	36.03922271	35.27640944	950.5	1035.478651	929.1887969	962.23	1054.308798	962.1264215	972.81	1070.858678	988.6763222	987.05	1092.500887	1021.10163
130	2.9935	2.99431651	2.993392624	33.715	34.01412665	33.54228657	913.01	981.0018705	889.1133126	927.76	1005.338672	928.3698897	940.66	1026.007229	958.7681905	957.54	1052.267971	994.9232498
135	2.8793	2.880688187	2.880449194	31.942	32.24939716	31.99617153	869.91	917.1121622	847.0822484	889.49	950.0743081	894.5255574	905.73	976.5802741	929.3760307	926.17	1008.915491	969.5695723
140	2.7736	2.775473245	2.775704787	30.39	30.69155022	30.58815854	816.97	837.3054175	793.6835892	845.54	885.9656921	854.9225793	867.04	921.3488734	896.0788726	892.47	961.9501515	941.5317552
145	2.6756	2.677760188	2.678116341	29.014	29.30190175	29.27481356	117.06	120.416616	119.5404867	791.96	807.8526075	795.9734604	822.91	858.3799342	849.4869889	855.79	910.7502607	903.902915
150	2.5845	2.58676593	2.586884006	27.779	28.05154916	28.03595957	105.75	109.0044457	108.6157818	717.26	701.2418072	688.9689601	770.16	784.3293205	777.0885482	815.2	854.5372783	849.4129377
155	2.4994	2.501813746	2.501469716	26.664	26.91832395	26.87602943	97.576	100.5254838	99.65365699	284.95	297.2185311	265.5733265	701.63	692.5983359	662.2374067	769.3	792.3800096	774.0827697
160	2.4199	2.422315654	2.421493566	25.648	25.88484997	25.80889017	91.156	93.79571562	92.43706591	207.36	217.5621979	204.1635461	595.61	568.5384318	481.0082661	716.01	723.3530009	680.6507838
165	2.3453	2.347758212	2.346591103	24.718	24.93725695	24.84049088	85.875	88.23546529	86.67883324	179.97	188.1865899	177.7618829	411.92	411.4913516	337.2899822	652.5	647.2441813	581.227578
170	2.2752	2.277690974	2.276338277	23.861	24.06429957	23.96256782	81.4	83.51449276	82.00465764	162.68	169.5567371	161.321742	305.95	317.0686308	278.3404082	577.01	566.613353	493.3641795
175	2.2093	2.211717051	2.210276664	23.069	23.25673744	23.15836351	77.526	79.42574387	78.05588643	150.06	155.9467138	149.3930318	259.04	269.7056547	245.4787873	495.45	489.2944845	425.5272724
180	2.1471	2.149485322	2.147985295	22.333	22.50688813	22.41228634	74.118	75.83045027	74.58099685	140.16	145.2750944	139.8330641	230.6	240.0296462	222.6593171	423.27	424.5682794	374.5627136
185	2.0883	2.090683981	2.089125324	21.648	21.80829821	21.71527788	71.083	72.6309093	71.45665022	132.04	136.5381836	131.7781316	210.58	218.8649976	205.1127189	369.11	374.9790768	335.743086
