 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_h_01	NIST_h_01	PR_h_1	NIST_h_1	PR_h_3	NIST_h_3	PR_h_5	NIST_h_5	PR_h_7	NIST_h_7	PR_h_10	NIST_h_10
220	442.285306	442.23	85.83818243	86.832	86.74406928	87.933	87.27090118	88.52	87.55062889	88.823	88.14012546	89.443
230	450.0382671	450.07	105.2261288	106.59	105.5889336	107.37	105.8849831	107.82	106.0576405	108.06	106.447589	108.56
240	457.8975787	457.99	445.1041356	442.37	125.256709	127.16	125.232335	127.42	125.2588348	127.56	125.3804011	127.9
250	465.8621012	466	454.0350077	452.18	146.0078278	147.47	145.5182265	147.45	145.3375767	147.48	145.0864518	147.58
260	473.9305415	474.1	462.9502223	461.73	168.2651648	168.6	167.0549915	168.17	166.5650306	168.01	165.773599	167.78
270	482.1014946	482.29	471.8710828	471.11	192.8095615	191.05	190.3639381	189.91	189.3752044	189.46	187.7514892	188.72
280	490.3734755	490.57	480.8130036	480.39	221.4423083	215.9	216.4462555	213.35	214.5463953	212.37	211.5178156	210.78
290	498.7449428	498.95	489.7873665	489.63	430.1613965	424.89	247.7760113	240.12	243.7581877	237.9	237.962052	234.62
300	507.2143177	507.43	498.8026979	498.84	448.012145	445.95	297.0146419	278.44	282.326519	269.96	268.9499873	261.8
310	515.7799982	516	507.8654464	508.05	462.9826205	462.41	425.2375436	423.31	386.3624964	381.94	309.5175097	297.3
320	524.4403703	524.67	516.9805144	517.28	476.5525813	476.86	447.7654474	447.75	428.3763489	427.93	370.0670267	362.9
330	533.1938175	533.43	526.1516318	526.54	489.2922971	490.17	465.3552671	466.29	451.0102048	451.85	415.2787835	414.73
340	542.0387271	542.29	535.3816252	535.84	501.4890913	502.74	480.7732586	482.28	469.0567255	470.6	442.3012189	443.38
350	550.9734965	551.23	544.6726163	545.18	513.310012	514.81	494.955347	496.81	484.9297645	486.89	463.0417497	464.86
360	559.996537	560.27	554.02617	554.58	524.8613911	526.53	508.3436639	510.42	499.5292031	501.74	480.8009197	483.02
370	569.1062775	569.39	563.4434076	564.02	536.2152936	537.99	521.1851556	523.4	513.296937	515.66	496.8372367	499.29
380	578.3011676	578.6	572.9250938	573.53	547.4228575	549.25	533.6327402	535.91	526.4849227	528.92	511.760908	514.33
390	587.579679	587.89	582.4717051	583.09	558.5216635	560.36	545.7880143	548.08	539.2511643	541.7	525.9142309	528.53
400	596.9403079	597.27	592.0834837	592.72	569.540097	571.37	557.7220171	559.99	551.7015324	554.13	539.5086693	542.11
410	606.3815756	606.73	601.7604802	602.41	580.5000733	582.3	569.4863843	571.7	563.9105097	566.28	552.6841001	555.22
420	615.90203	616.26	611.5025884	612.15	591.4188167	593.18	581.1198033	583.27	575.9324895	578.22	565.5378692	567.99
430	625.5002457	625.88	621.3095733	621.97	602.3100638	604.01	592.6519719	594.71	587.8083804	590	578.1404278	580.48
440	635.1748249	635.57	631.1810941	631.84	613.1849031	614.81	604.1061427	606.07	599.569687	601.65	590.5443675	592.75
450	644.9243971	645.34	641.116723	641.78	624.0523757	625.61	615.5008217	617.35	611.2411483	613.2	602.7899446	604.85
460	654.7476197	655.18	651.1159606	651.77	634.9199151	636.39	626.8509401	628.59	622.8425064	624.67	614.9086159	616.82
470	664.6431775	665.09	661.1782492	661.83	645.7936747	647.18	638.1686833	639.78	634.3897309	636.08	626.9253882	628.67
480	674.6097826	675.07	671.3029832	671.96	656.678777	657.98	649.4640935	650.96	645.8958889	647.44	638.8604321	640.44
490	684.6461744	685.13	681.4895183	682.14	667.5795052	668.79	660.7455149	662.11	657.3717772	658.78	650.7302189	652.14
500	694.7511186	695.25	691.7371788	692.38	678.4994529	679.62	672.0199293	673.26	668.8263918	670.09	662.5483426	663.79
510	704.9234076	705.44	702.0452643	702.68	689.4416422	690.47	683.2932132	684.4	680.2672814	681.38	674.3261251	675.39
520	715.1618592	715.69	712.4130546	713.05	700.408618	701.35	694.5703371	695.55	691.7008194	692.67	686.0730707	686.97
530	725.4653166	726.01	722.8398145	723.47	711.4025243	712.25	705.8555226	706.71	703.1324144	703.96	697.7972121	698.52
540	735.8326472	736.39	733.3247975	733.94	722.4251661	723.18	717.1523666	717.88	714.5666764	715.25	709.5053792	710.06
550	746.2627427	746.83	743.8672487	744.48	733.4780599	734.15	728.4639418	729.07	726.0075489	726.56	721.2034081	721.59
560	756.7545178	757.33	754.4664078	755.07	744.5624759	745.14	739.7928774	740.27	737.4584149	737.87	732.8963082	733.12
570	767.3069099	767.89	765.1215109	765.71	755.6794725	756.17	751.1414257	751.5	748.9221832	749.19	744.5883951	744.64
580	777.918878	778.51	775.8317928	776.41	766.8299258	767.24	762.5115167	762.75	760.4013587	760.54	756.2833983	756.18
590	788.5894021	789.19	786.596488	787.17	778.0145535	778.34	773.904803	774.03	771.8981004	771.9	767.9845488	767.72
600	799.3174825	799.93	797.4148323	797.97	789.2339361	789.47	785.3226977	785.33	783.4142696	783.29	779.6946515	779.27
610	810.102139	810.72	808.2860634	808.83	800.488534	800.64	796.7664064	796.66	794.9514701	794.7	791.4161448	790.84
620	820.9424099	821.56	819.2094221	819.74	811.7787027	811.85	808.2369534	808.02	806.5110817	806.13	803.1511502	802.43
630	831.8373513	832.46	830.1841525	830.7	823.1047053	823.1	819.7352046	819.41	818.094289	817.59	814.901514	814.03
640	842.7860362	843.41	841.2095026	841.71	834.4667235	834.38	831.2618868	830.83	829.7021054	829.08	826.6688424	825.65
650	853.7875537	854.41	852.2847244	852.77	845.8648672	845.7	842.8176039	842.28	841.3353937	840.6	838.4545311	837.3
660	864.8410081	865.46	863.4090744	863.88	857.2991819	857.05	854.4028514	853.76	852.9948834	852.14	850.2597908	848.96
670	875.9455181	876.56	874.581813	875.04	868.7696566	868.45	866.018028	865.27	864.6811862	863.71	862.0856686	860.65
680	887.1002157	887.71	885.8022052	886.24	880.2762289	879.88	877.6634466	876.81	876.3948088	875.31	873.9330664	872.37
690	898.3042456	898.91	897.0695199	897.49	891.8187908	891.35	889.3393429	888.39	888.1361639	886.94	885.8027571	884.11
700	909.5567641	910.16	908.3830298	908.78	903.3971928	902.85	901.0458835	900	899.9055802	898.6	897.6953981	895.87
710	920.8569383	921.45	919.7420113	920.12	915.0112482	914.39	912.7831724	911.64	911.7033106	910.29	909.6115433	907.66
720	932.2039451	932.79	931.1457438	931.5	926.6607359	925.97	924.5512572	923.31	923.5295394	922.02	921.5516533	919.48
730	943.5969704	944.17	942.5935096	942.92	938.3454038	937.58	936.350134	935.02	935.384389	933.77	933.5161045	931.32
740	955.0352081	955.59	954.0845933	954.39	950.0649709	949.23	948.1797517	946.76	947.2679251	945.55	945.5051967	943.19
750	966.5178592	967.06	965.6182814	965.9	961.8191297	960.91	960.0400165	958.53	959.1801614	957.36	957.5191601	955.09
760	978.0441309	978.57	977.1938614	977.45	973.6075477	972.63	971.9307942	970.33	971.1210642	969.2	969.5581612	967.01
770	989.6132357	990.12	988.8106218	989.04	985.4298693	984.38	983.8519142	982.16	983.0905556	981.08	981.6223077	978.96
780	1001.22439	1001.7	1000.467851	1000.7	997.285717	996.17	995.8031711	994.03	995.0885169	992.98	993.7116534	990.94
790	1012.876815	1013.4	1012.164837	1012.3	1009.174692	1008	1007.784327	1005.9	1007.114791	1004.9	1005.826202	1002.9
800	1024.569733	1025	1023.900866	1024	1021.096377	1019.8	1019.795116	1017.8	1019.169186	1016.9	1017.965911	1015
