 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_h_01	NIST_h_01	PR_h_1	NIST_h_1	PR_h_3	NIST_h_3	PR_h_5	NIST_h_5	PR_h_7	NIST_h_7	PR_h_10	NIST_h_10
300	-356.3259803	-367.9	-355.2705443	-367.05	-354.0936676	-366.11	-352.9125902	-365.17	-350.5385553	-363.28	-344.5415069	-358.53
310	-334.5057937	-345.71	-333.4680953	-344.88	-332.3101782	-343.95	-331.1473188	-343.02	-328.8076686	-341.15	-322.8863095	-336.43
320	-312.248948	-323.15	-311.2310721	-322.33	-310.094292	-321.41	-308.9516931	-320.49	-306.650152	-318.64	-300.8120945	-313.97
330	-289.5524	-300.19	-288.5567125	-299.38	-287.4435295	-298.48	-286.3234895	-297.57	-284.0642246	-295.74	-278.3178852	-291.12
340	-266.4130012	-276.84	-265.442196	-276.04	-264.3553988	-275.15	-263.2605114	-274.25	-261.0481954	-272.45	-255.4028941	-267.89
350	-242.8274198	-253.08	-241.8845763	-252.29	-240.8273372	-251.42	-239.760538	-250.54	-237.6004243	-248.76	-232.0664974	-244.26
360	-218.7920556	-228.91	-217.8807089	-228.14	-216.8566496	-227.28	-215.8212722	-226.42	-213.7192822	-224.68	-208.3082118	-220.24
370	-194.3029424	-204.32	-193.4271689	-203.57	-192.4404408	-202.73	-191.4402842	-201.89	-189.4031118	-200.19	-184.1276747	-195.83
380	-169.3556336	-179.32	-168.520158	-178.59	-167.5755412	-177.77	-166.6149508	-176.95	-164.650186	-175.29	-159.5246252	-171.01
390	-143.9450681	-153.89	-143.1553965	-153.19	-142.258421	-152.4	-141.342388	-151.6	-139.4586653	-149.98	-134.4988873	-145.8
400	-118.0654063	-128.04	-117.3279949	-127.36	-116.4850917	-126.6	-115.6193749	-125.83	-113.8265512	-124.26	-109.0503556	-120.19
410	-91.70982814	-101.76	-91.03229858	-101.11	-90.25099036	-100.39	-89.44226612	-99.646	-87.75163691	-98.132	-83.17898158	-94.173
420	-64.8702797	-75.048	-64.26169747	-74.44	-63.55083992	-73.75	-62.80689036	-73.045	-61.23145208	-71.593	-56.8847624	-67.763
430	-37.53714865	-47.905	-37.00838848	-47.339	-36.37848075	-46.691	-35.70842966	-46.026	-34.26320206	-44.645	-30.16773156	-40.958
440	-9.698840945	-20.327	-9.263073348	-19.808	-8.726661833	-19.209	-8.141275297	-18.588	-6.843699407	-17.288	-3.027951575	-13.758
450	328.9616614	282.9	18.98543169	8.1556	19.41322038	8.6986	19.90114739	9.2682	21.03071367	10.478	24.5344906	13.831
460	352.4113703	306.62	47.75071018	36.556	48.05145446	37.034	48.42659446	37.544	49.3642539	38.651	52.51948504	41.809
470	376.2363979	330.71	77.04943688	65.397	77.20044413	65.799	77.44427186	66.241	78.16179877	67.23	80.92689654	70.17
480	400.4332522	355.15	106.9023293	94.686	106.8752749	94.999	106.9651748	95.362	107.4290042	96.216	109.7565575	98.911
490	424.9982893	379.95	137.3354912	124.43	137.0944752	124.64	137.0025225	124.91	137.1724409	125.61	139.0082551	128.03
500	449.9277265	405.1	168.3823689	154.65	167.8810621	154.73	167.5723248	154.89	167.3997535	155.4	168.6817108	157.52
510	475.2176528	430.61	200.086702	185.35	199.2640136	185.27	198.6941317	185.3	198.1198445	185.61	198.776551	187.38
520	500.8640377	456.47	232.5071708	216.56	231.2804041	216.29	230.3920455	216.16	229.3430888	216.22	229.2922664	217.6
530	526.8627388	482.68	265.7251147	248.33	263.9786092	247.8	262.6961149	247.47	261.0815801	247.24	260.2281574	248.18
540	553.2095079	509.22	299.858243	280.69	297.4233157	279.83	295.6443019	279.26	293.3494112	278.67	291.5832622	279.11
550	579.8999962	536.1	335.0872576	313.73	331.703762	312.43	329.2853322	311.53	326.1629841	310.52	323.3562655	310.39
560	606.9297587	563.31	371.714347	347.6	366.9481751	345.64	363.6829565	344.33	359.5413364	342.79	355.5453818	342.02
570	634.2942579	590.85	601.956562	552.09	403.3512442	379.58	398.9225537	377.69	393.5064538	375.5	388.1482117	373.98
580	661.9888672	618.71	631.6525014	583.53	441.2326474	414.38	435.1218003	411.67	428.0834963	408.64	421.1615661	406.28
590	690.0088735	646.89	661.3902591	614.59	481.1841682	450.35	472.4487713	446.34	463.3008027	442.22	454.5812569	438.9
600	718.3494799	675.38	691.2358958	645.5	524.5563217	488.16	511.1543991	481.84	499.1894046	476.27	488.4018526	471.83
610	747.0058074	704.17	721.2310382	676.37	576.4473114	530.43	551.6341074	518.37	535.7815548	510.8	522.6164025	505.08
620	775.972897	733.26	751.4030821	707.26	676.3258124	648.41	594.548606	556.3	573.1073917	545.81	557.2161369	538.63
630	805.2457113	762.65	781.7705039	738.25	728.1574584	691.77	641.0228849	596.5	611.1883029	581.33	592.190158	572.47
640	834.8191357	792.33	812.3458684	769.35	765.7757244	729.69	692.3429724	641.47	650.0249933	617.37	627.5251465	606.6
650	864.6879799	822.29	843.1376443	800.59	801.1047767	765.62	745.4658188	696.87	689.5785238	653.99	663.2051156	641.01
660	894.8469787	852.53	874.1513581	831.99	835.4704948	800.56	792.9062985	749.14	729.7457678	691.21	699.2112576	675.68
670	925.2907933	883.04	905.3903576	863.55	869.3591889	834.93	834.9216585	793.14	770.339451	729.12	735.5219291	710.61
680	956.0140118	913.83	936.8563349	895.3	903.0081861	868.99	873.9631408	833.34	811.0940942	767.81	772.1128223	745.8
690	987.0111503	944.88	968.549695	927.23	936.551651	902.88	911.3744712	871.58	851.7152515	807.34	808.9573556	781.23
700	1018.276653	976.19	1000.469823	959.36	970.0725117	936.68	947.8355144	908.68	891.9556635	847.66	846.02729	816.9
710	1049.804895	1007.8	1032.615279	991.68	1003.625093	970.46	983.7194463	945.07	931.6702048	888.4	883.2935466	852.8
720	1081.590178	1039.6	1064.98395	1024.2	1037.246377	1004.3	1019.248425	981.01	970.8199944	929.04	920.7271563	888.94
730	1113.626737	1071.6	1097.573158	1056.9	1070.962159	1038.1	1054.56345	1016.7	1009.440626	969.14	958.3002471	925.3
740	1145.908736	1103.9	1130.379751	1089.8	1104.79066	1072.1	1089.758462	1052.1	1047.604752	1008.6	995.9869581	961.88
750	1178.43027	1136.5	1163.400173	1122.9	1138.744767	1106.1	1124.898367	1087.5	1085.395434	1047.4	1033.764179	998.68
760	1211.185365	1169.2	1196.630515	1156.2	1172.833492	1140.2	1160.029222	1122.8	1122.891862	1085.6	1071.61205	1035.7
770	1244.167982	1202.3	1230.066564	1189.7	1207.062948	1174.5	1195.184325	1158.1	1160.163494	1123.5	1109.514183	1072.9
780	1277.372009	1235.5	1263.703835	1223.4	1241.437034	1208.9	1230.388028	1193.4	1197.268687	1161.1	1147.457638	1110.3
790	1310.791271	1268.9	1297.537602	1257.3	1275.957918	1243.5	1265.658225	1228.8	1234.255342	1198.5	1185.432683	1147.9
800	1344.419522	1302.6	1331.562923	1291.4	1310.626391	1278.1	1301.00802	1264.3	1271.162272	1235.7	1223.432416	1185.7
810	1378.250451	1336.5	1365.774659	1325.7	1345.442134	1313	1336.446894	1299.8	1308.020666	1272.8	1261.452301	1223.6
820	1412.277679	1370.6	1400.167489	1360.1	1380.403915	1348	1371.981523	1335.4	1344.855441	1309.9	1299.489682	1261.6
830	1446.494761	1404.9	1434.735931	1394.8	1415.509746	1383.1	1407.61638	1371.1	1381.686379	1346.9	1337.543327	1299.8
840	1480.895186	1439.4	1469.474346	1429.6	1450.756998	1418.4	1443.354181	1406.9	1418.529073	1383.9	1375.613	1338.1
850	1515.472373	1474.1	1504.376954	1464.6	1486.142504	1453.8	1479.196212	1442.8	1455.39568	1420.9	1413.699107	1376.4
860	1550.219679	1508.9	1539.43784	1499.8	1521.662627	1489.4	1515.142593	1478.9	1492.295532	1458	1451.802403	1414.8
870	1585.130392	1544	1574.650963	1535.2	1557.313325	1525.2	1551.192468	1515.1	1529.235627	1495.1	1489.923753	1453.3
880	1620.197736	1579.3	1610.010162	1570.7	1593.0902	1561.1	1587.344168	1551.4	1566.221014	1532.3	1528.063959	1491.9
890	1655.414868	1614.8	1645.509161	1606.5	1628.988541	1597.1	1623.595329	1587.8	1603.255113	1569.5	1566.223626	1530.5
900	1690.774879	1650.4	1681.141576	1642.3	1665.003355	1633.3	1659.942995	1624.4	1640.339968	1606.8	1604.403066	1569.1
910	1726.270794	1686.2	1716.900918	1678.4	1701.129396	1669.7	1696.383694	1661.1	1677.476455	1644.2	1642.602237	1607.8
920	1761.895573	1722.2	1752.780597	1714.6	1737.361191	1706.2	1732.913509	1697.9	1714.664447	1681.7	1680.820705	1646.6
930	1797.642111	1758.4	1788.773927	1751	1773.693057	1742.9	1769.528127	1734.9	1751.90296	1719.3	1719.057619	1685.4
940	1833.503237	1794.7	1824.874125	1787.6	1810.11912	1779.7	1806.222887	1771.9	1789.19026	1757	1757.311706	1724.2
950	1869.471713	1831.3	1861.074318	1824.3	1846.633329	1816.7	1842.992815	1809.2	1826.523964	1794.7	1795.581271	1763.1
960	1905.54024	1867.9	1897.367543	1861.2	1883.229471	1853.8	1879.832657	1846.5	1863.901118	1832.6	1833.864205	1802.1
970	1941.701448	1904.8	1933.74675	1898.2	1919.901177	1891	1916.736906	1884	1901.31826	1870.6	1872.158	1841.1
980	1977.947907	1941.8	1970.204804	1935.4	1956.641934	1928.4	1953.699824	1921.6	1938.771485	1908.7	1910.459762	1880.2
990	2014.272119	1978.9	2006.734486	1972.7	1993.445095	1966	1990.715461	1959.4	1976.256483	1946.9	1948.76623	1919.3
1000	2050.66652	2016.3	2043.328496	2010.2	2030.303882	2003.6	2027.77767	1997.3	2013.768587	1985.2	1987.073795	1958.5
