 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_h_01	NIST_h_01	PR_h_1	NIST_h_1	PR_h_3	NIST_h_3	PR_h_5	NIST_h_5	PR_h_7	NIST_h_7	PR_h_10	NIST_h_10
300	-380.9230498	-367.9	-379.9615662	-367.05	-378.8896294	-366.11	-377.8140317	-365.17	-375.6524355	-363.28	-376.8931137	-358.53
310	-359.2188431	-345.71	-358.2747295	-344.88	-357.2214178	-343.95	-356.1637731	-343.02	-354.036213	-341.15	-355.3882811	-336.43
320	-337.0083753	-323.15	-336.0837314	-322.33	-335.0512476	-321.41	-334.0136326	-320.49	-331.9239203	-318.64	-333.3968419	-313.97
330	-314.2941937	-300.19	-313.3914066	-299.38	-312.3822452	-298.48	-311.3670017	-297.57	-309.3194119	-295.74	-310.9235789	-291.12
340	-291.0783032	-276.84	-290.2000961	-276.04	-289.2170907	-275.15	-288.2268675	-274.25	-286.2262055	-272.45	-287.9730479	-267.89
350	-267.3621193	-253.08	-266.511611	-252.29	-265.5579915	-251.42	-264.5957931	-250.54	-262.6474741	-248.76	-264.5495857	-244.26
360	-243.1464088	-228.91	-242.327186	-228.14	-241.4066472	-227.28	-240.475893	-226.42	-238.5860357	-224.68	-240.657317	-220.24
370	-218.4312149	-204.32	-217.6474209	-203.57	-216.7642065	-202.73	-215.8688016	-201.89	-214.0443389	-200.19	-216.3001608	-195.83
380	-193.2157626	-179.32	-192.4722073	-178.59	-191.6312127	-177.77	-190.7756334	-176.95	-189.0244446	-175.29	-191.4818364	-171.01
390	-167.4983394	-153.89	-166.8006371	-153.19	-166.007536	-152.4	-165.1969345	-151.6	-163.5280036	-149.98	-166.205868	-145.8
400	-141.2761439	-128.04	-140.6308871	-127.36	-139.8922896	-126.6	-139.1326219	-125.83	-137.5562278	-124.26	-140.4755894	-120.19
410	-114.5450931	-101.76	-113.9600745	-101.11	-113.2837251	-100.39	-112.5819099	-99.646	-111.1098568	-98.132	-114.2941487	-94.173
420	-87.29957414	-75.048	-86.78407334	-74.44	-86.17910281	-73.75	-85.54321902	-73.045	-84.18911739	-71.593	-87.66451212	-67.763
430	-59.53212023	-47.905	-59.09727966	-47.339	-58.57452846	-46.691	-58.01406426	-46.026	-56.79367473	-44.645	-60.58946863	-40.958
440	-31.23298447	-20.327	-30.89230891	-19.808	-30.46474726	-19.209	-29.99091658	-18.588	-28.92257545	-17.288	-33.0716346	-13.758
450	328.9997103	282.9	-2.159599742	8.1556	-1.84288165	8.6986	-1.469031233	9.2682	-0.574179716	10.478	-5.113459268	13.831
460	352.4464934	306.62	27.11311172	36.556	27.2999065	37.034	27.5577674	37.544	28.25391866	38.651	23.28276883	41.809
470	376.2688759	330.71	56.94150212	65.397	56.97485663	65.799	57.09735717	66.241	57.5649862	67.23	52.114914	70.17
480	400.4633243	355.15	87.34564022	94.686	87.19619301	94.999	87.159664	95.362	87.36326035	96.216	81.38098375	98.911
490	425.0261593	379.95	118.3513704	124.43	117.9819111	124.64	117.7571079	124.91	117.6540791	125.61	111.0791169	128.03
500	449.9535678	405.1	149.992324	154.65	149.3548586	154.73	148.9051855	154.89	148.4440325	155.4	141.2075693	157.52
510	475.241613	430.61	182.3129446	185.35	181.344258	185.27	180.6232425	185.3	179.7411393	185.61	171.7646964	187.38
520	500.8862421	456.47	215.3732323	216.56	213.9879105	216.29	212.9355164	216.16	211.5550511	216.22	202.748933	217.6
530	526.8832935	482.68	249.2565757	248.33	247.3354943	247.8	245.8725706	247.47	243.8972848	247.24	234.1587712	248.18
540	553.2285027	509.22	284.0835549	280.69	281.4537024	279.83	279.4733132	279.26	276.781483	278.67	265.992736	279.11
550	579.9175063	536.1	320.0384476	313.73	316.4346488	312.43	313.7879131	311.53	310.2236945	310.52	298.2493623	310.39
560	606.9458472	563.31	357.4265611	347.6	352.4105	345.64	348.8821404	344.33	344.2426561	342.79	330.9271766	342.02
570	634.3089772	590.85	601.9833983	552.09	389.5810779	379.58	384.8440564	377.69	378.860036	375.5	364.0246884	373.98
580	662.0022605	618.71	631.6468943	583.53	428.2719626	414.38	421.7947555	411.67	414.1005581	408.64	397.5404001	406.28
590	690.0209761	646.89	661.36088	614.59	469.0779582	450.35	459.9064516	446.34	449.9918529	442.22	431.4728439	438.9
600	718.3603201	675.38	691.1879614	645.5	513.3231018	488.16	499.4346238	481.84	486.5637498	476.27	465.8206526	471.83
610	747.0154077	704.17	721.1678785	676.37	565.6530347	530.43	540.7784629	518.37	523.8464974	510.8	500.5826582	505.08
620	775.9812749	733.26	751.3269086	707.26	696.8029112	648.41	584.598484	556.3	561.8670372	545.81	535.7579754	538.63
630	805.2528797	762.65	781.6828232	738.25	737.0952253	691.77	632.0152452	596.5	600.6419516	581.33	571.3459397	572.47
640	834.8251038	792.33	812.2477217	769.35	773.2984737	729.69	684.4145738	641.47	640.1652813	617.37	607.3456031	606.6
650	864.6927538	822.29	843.029754	800.59	808.0229417	765.62	739.2494635	696.87	680.3898523	653.99	643.7542384	641.01
660	894.8505617	852.53	874.0342219	831.99	842.0402554	800.56	788.3423451	749.14	721.2039836	691.21	680.5641378	675.68
670	925.2931864	883.04	905.2643108	863.55	875.6935638	834.93	831.3336197	793.14	762.4135556	729.12	717.757475	710.61
680	956.0152141	913.83	936.7215936	895.3	909.1667011	868.99	870.9539914	833.34	803.7491811	767.81	755.3008207	745.8
690	987.0111592	944.88	968.4063866	927.23	942.5694236	902.88	908.7415847	871.58	844.9140891	807.34	793.143304	781.23
700	1018.275465	976.19	1000.318008	959.36	975.9719831	936.68	945.4656654	908.68	885.6576811	847.66	831.2217715	816.9
710	1049.802504	1007.8	1032.454967	991.68	1009.421486	970.46	981.5431341	945.07	925.8302294	888.4	869.4710047	852.8
720	1081.58658	1039.6	1064.815111	1024.2	1042.950508	1004.3	1017.219701	981.01	965.3893176	929.04	907.8329515	888.94
730	1113.621924	1071.6	1097.395734	1056.9	1076.582	1038.1	1052.650147	1016.7	1004.369978	969.14	946.2611068	925.3
740	1145.902701	1103.9	1130.193662	1089.8	1110.332266	1072.1	1087.937033	1052.1	1042.847286	1008.6	984.7206431	961.88
750	1178.423006	1136.5	1163.205321	1122.9	1144.212852	1106.1	1123.15095	1087.5	1080.908607	1047.4	1023.186617	998.68
760	1211.176865	1169.2	1196.426792	1156.2	1178.2318	1140.2	1158.341868	1122.8	1118.63817	1085.6	1061.641883	1035.7
770	1244.158238	1202.3	1229.853852	1189.7	1212.394508	1174.5	1193.545879	1158.1	1156.110427	1123.5	1100.075333	1072.9
780	1277.361013	1235.5	1263.482009	1223.4	1246.704326	1208.9	1228.789389	1193.4	1193.388295	1161.1	1138.48051	1110.3
790	1310.779015	1268.9	1297.306535	1257.3	1281.163003	1243.5	1264.091839	1228.8	1230.523661	1198.5	1176.854522	1147.9
800	1344.405999	1302.6	1331.322485	1291.4	1315.770997	1278.1	1299.467529	1264.3	1267.558729	1235.7	1215.197164	1185.7
810	1378.235654	1336.5	1365.52472	1325.7	1350.527724	1313	1334.926873	1299.8	1304.527551	1272.8	1253.510176	1223.6
820	1412.2616	1370.6	1399.907922	1360.1	1385.431738	1348	1370.477297	1335.4	1341.457438	1309.9	1291.796637	1261.6
830	1446.477394	1404.9	1434.466607	1394.8	1420.480874	1383.1	1406.12388	1371.1	1378.37018	1346.9	1330.060454	1299.8
840	1480.876523	1439.4	1469.195142	1429.6	1455.67236	1418.4	1441.869833	1406.9	1415.283054	1383.9	1368.30595	1338.1
850	1515.452409	1474.1	1504.087748	1464.6	1491.002905	1453.8	1477.71686	1442.8	1452.209634	1420.9	1406.537551	1376.4
860	1550.198408	1508.9	1539.138515	1499.8	1526.468771	1489.4	1513.665424	1478.9	1489.160452	1458	1444.759532	1414.8
870	1585.107809	1544	1574.341405	1535.2	1562.06583	1525.2	1549.714968	1515.1	1526.143522	1495.1	1482.97584	1453.3
880	1620.173835	1579.3	1609.690263	1570.7	1597.789611	1561.1	1585.864072	1551.4	1563.164767	1532.3	1521.189969	1491.9
890	1655.389645	1614.8	1645.178817	1606.5	1633.635339	1597.1	1622.110591	1587.8	1600.228354	1569.5	1559.404877	1530.5
900	1690.748329	1650.4	1680.800689	1642.3	1669.597967	1633.3	1658.451757	1624.4	1637.336973	1606.8	1597.622935	1569.1
910	1726.242915	1686.2	1716.549393	1678.4	1705.672204	1669.7	1694.884266	1661.1	1674.49206	1644.2	1635.845905	1607.8
920	1761.866361	1722.2	1752.418347	1714.6	1741.852536	1706.2	1731.404346	1697.9	1711.693978	1681.7	1674.074934	1646.6
930	1797.611563	1758.4	1788.400867	1751	1778.133244	1742.9	1768.007814	1734.9	1748.942171	1719.3	1712.310564	1685.4
940	1833.471351	1794.7	1824.490178	1787.6	1814.508427	1779.7	1804.690124	1771.9	1786.235285	1757	1750.552748	1724.2
950	1869.438487	1831.3	1860.679411	1824.3	1850.972005	1816.7	1841.446406	1809.2	1823.571271	1794.7	1788.800873	1763.1
960	1905.505672	1867.9	1896.961608	1861.2	1887.517742	1853.8	1878.271501	1846.5	1860.94747	1832.6	1827.05379	1802.1
970	1941.665538	1904.8	1933.329726	1898.2	1924.139251	1891	1915.159985	1884	1898.36069	1870.6	1865.309841	1841.1
980	1977.910654	1941.8	1969.776634	1935.4	1960.83	1928.4	1952.106198	1921.6	1935.807261	1908.7	1903.56689	1880.2
990	2014.233522	1978.9	2006.295118	1972.7	1997.583328	1966	1989.104258	1959.4	1973.283088	1946.9	1941.82235	1919.3
1000	2050.626581	2016.3	2042.877882	2010.2	2034.392444	2003.6	2026.148084	1997.3	2010.783697	1985.2	1980.073216	1958.5
