 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_h_01	NIST_h_01	PR_h_1	NIST_h_1	PR_h_3	NIST_h_3	PR_h_5	NIST_h_5	PR_h_7	NIST_h_7	PR_h_10	NIST_h_10
60	-203.8863431	-184.13	-203.4376486	-183.57	-202.4326264	-182.33	-201.4173471	-181.09	-200.3925574	-179.85	-198.8389877	-177.98
65	-195.7207007	-175.75	-195.2940504	-175.2	-194.335551	-173.98	-193.3636903	-172.76	-192.3795321	-171.54	-190.882273	-169.7
70	-187.5109372	-167.36	-187.1105602	-166.82	-186.2071872	-165.62	-185.2863899	-164.42	-184.3496896	-163.21	-182.917693	-161.4
75	-179.2327896	-158.97	-178.8639513	-158.44	-178.0263085	-157.26	-177.1658742	-156.08	-176.2848379	-154.89	-174.928723	-153.11
80	-170.8605185	-150.57	-170.5298681	-150.06	-169.7711873	-148.91	-168.9825454	-147.75	-168.1671212	-146.58	-166.8995691	-144.83
85	-162.3655568	-142.15	-162.0816314	-141.65	-161.4186642	-140.53	-160.7160282	-139.41	-159.9783935	-138.27	-158.8146616	-136.56
90	-153.7147812	-133.69	-153.4887628	-133.21	-152.9430821	-132.13	-152.3443725	-131.05	-151.6995985	-129.95	-150.6581995	-128.28
95	78.24780156	84.298	-144.7149794	-124.7	-144.3149399	-123.68	-143.8431179	-122.64	-143.3100958	-121.59	-142.4137067	-119.98
100	82.75134143	88.986	-135.7152463	-116.1	-135.4990537	-115.15	-135.1841052	-114.17	-134.7868664	-113.18	-134.0635666	-111.65
105	87.26604877	93.656	-126.4311287	-107.37	-126.4518699	-106.51	-126.3338645	-105.61	-126.1035117	-104.69	-125.5885	-103.25
110	91.7931614	98.318	-116.7829063	-98.477	-117.1172906	-97.729	-117.2513003	-96.934	-117.2289212	-96.099	-116.966948	-94.782
115	96.33365072	102.97	-106.6550233	-89.35	-107.4197541	-88.759	-107.8841851	-88.098	-108.1254132	-87.379	-108.174309	-86.21
120	100.8882836	107.62	89.31000026	94.178	-97.25187499	-79.537	-98.16355064	-79.057	-98.74602748	-78.491	-99.18196588	-77.511
125	105.4576674	112.25	94.62818895	100.21	-86.45017365	-69.972	-87.99413306	-69.747	-89.0304052	-69.386	-89.95601045	-68.652
130	110.0422841	116.88	99.86725297	105.92	-74.74079753	-59.917	-77.23679213	-60.071	-78.89821564	-59.999	-80.45553808	-59.592
135	114.6425152	121.5	105.0462549	111.44	-61.59170377	-49.113	-65.67273393	-49.881	-68.23808022	-50.235	-70.63033646	-50.279
140	119.2586615	126.11	110.1791986	116.82	-45.63893969	-36.988	-52.91960156	-38.912	-56.88763673	-39.949	-60.41773679	-40.641
145	123.890958	130.72	115.2766745	122.1	88.75511538	94.393	-38.18602472	-26.62	-44.59458942	-28.898	-49.73837735	-30.576
150	128.5395858	135.32	120.3468814	127.29	96.42114204	103.45	-19.179407	-11.42	-30.93224328	-16.622	-38.49079914	-19.941
155	133.2046815	139.91	125.3962897	132.4	103.4835742	111.25	53.6907013	62.646	-15.09100877	-2.0697	-26.54569755	-8.5115
160	137.8863448	144.5	130.4300885	137.46	110.1528472	118.36	76.55244914	87.722	4.693126363	18.093	-13.74407478	4.0567
165	142.5846441	149.09	135.4524956	142.46	116.5456127	125.02	88.85945928	100.4	31.56787818	52.465	0.085303583	18.281
170	147.2996218	153.68	140.4669794	147.42	122.7340222	131.35	98.6736579	110.34	58.45241729	78.555	15.04489646	34.665
175	152.0312983	158.26	145.4764201	152.34	128.7661139	137.43	107.2730887	118.93	76.29151747	94.26	30.95053272	52.755
180	156.7796751	162.84	150.4832302	157.22	134.6756173	143.32	115.141469	126.72	89.38879644	106.15	47.06440629	70.354
185	161.5447377	167.42	155.4894451	162.08	140.4871867	149.05	122.5193025	133.96	100.1870995	116.13	62.3209151	85.62
190	166.3264578	171.99	160.4967934	166.91	146.2194198	154.66	129.5451575	140.79	109.6697017	124.98	76.07480882	98.556
195	171.1247954	176.57	165.506751	171.72	151.8867053	160.16	136.3067449	147.32	118.3069778	133.06	88.30999942	109.76
200	175.9397	181.14	170.5205841	176.52	157.5004099	165.58	142.8633527	153.62	126.3577937	140.59	99.29113339	119.72
205	180.7711125	185.71	175.5393838	181.29	163.0696699	170.91	149.2570518	159.72	133.9794337	147.72	109.3027292	128.79
210	185.618966	190.29	180.564093	186.05	168.6019381	176.19	155.5188351	165.67	141.2745705	154.53	118.5724663	137.19
215	190.483187	194.86	185.5955294	190.8	174.1033705	181.4	161.6722239	171.48	148.3139425	161.09	127.2688754	145.08
220	195.3636961	199.43	190.6344036	195.54	179.5791081	186.57	167.7355062	177.18	155.1483707	167.44	135.5149993	152.56
225	200.2604089	204	195.6813341	200.26	185.0334845	191.7	173.7231893	182.79	161.8156059	173.62	143.4014435	159.72
230	205.1732364	208.57	200.7368604	204.98	190.4701836	196.78	179.6469771	188.31	168.3444622	179.66	150.9960134	166.61
235	210.1020858	213.14	205.8014529	209.69	195.8923599	201.83	185.516449	193.77	174.7574336	185.57	158.3503751	173.28
240	215.0468611	217.71	210.8755222	214.39	201.3027319	206.86	191.3395429	199.16	181.0724162	191.37	165.5045978	179.76
245	220.0074628	222.29	215.9594266	219.09	206.7036561	211.85	197.1229081	204.5	187.3038792	197.09	172.4902724	186.08
250	224.9837894	226.86	221.0534782	223.78	212.0971859	216.82	202.8721671	209.78	193.4636851	202.72	179.3326815	192.27
255	229.9757366	231.44	226.1579489	228.46	217.4851182	221.78	208.592114	215.03	199.5616774	208.28	186.0523339	198.33
260	234.9831984	236.01	231.2730744	233.14	222.8690323	226.71	214.286867	220.23	205.6061108	213.78	192.6660699	204.29
265	240.0060669	240.59	236.3990589	237.82	228.2503214	231.62	219.9599868	225.41	211.6039727	219.23	199.1878688	210.16
270	245.0442328	245.17	241.5360784	242.5	233.6302181	236.52	225.6145702	230.55	217.5612267	224.62	205.6294496	215.95
275	250.0975853	249.76	246.6842836	247.17	239.0098164	241.41	231.2533253	235.66	223.4830006	229.97	212.0007238	221.67
280	255.1660126	254.34	251.8438026	251.84	244.3900899	246.28	236.8786309	240.74	229.3737325	235.28	218.3101411	227.32
285	260.2494019	258.93	257.0147435	256.51	249.7719064	251.14	242.4925862	245.81	235.2372866	240.55	224.5649576	232.91
290	265.3476395	263.52	262.1971963	261.18	255.1560416	255.99	248.0970503	250.85	241.0770454	245.79	230.771445	238.45
295	270.4606109	268.12	267.3912345	265.85	260.5431897	260.84	253.6936758	255.88	246.8959846	251	236.9350574	243.94
300	275.5882012	272.71	272.5969172	270.52	265.9339728	265.67	259.2839364	260.88	252.6967329	256.19	243.0605628	249.39
305	280.7302949	277.32	277.8142899	275.19	271.3289492	270.5	264.8691499	265.88	258.4816226	261.35	249.1521513	254.8
310	285.8867759	281.92	283.0433863	279.86	276.7286203	275.33	270.4504979	270.86	264.2527298	266.49	255.2135209	260.18
315	291.057528	286.53	288.2842291	284.54	282.133437	280.14	276.0290422	275.83	270.0119096	271.61	261.2479501	265.52
320	296.2424348	291.14	293.5368312	289.21	287.5438043	284.96	281.6057392	280.78	275.7608238	276.71	267.2583558	270.84
325	301.4413794	295.76	298.8011965	293.89	292.9600868	289.77	287.1814516	285.73	281.5009659	281.79	273.2473429	276.12
330	306.6542451	300.38	304.0773207	298.57	298.3826121	294.58	292.7569594	290.67	287.2336811	286.86	279.217245	281.39
335	311.880915	305.01	309.365192	303.25	303.811675	299.38	298.3329685	295.6	292.9601842	291.92	285.1701594	286.63
340	317.1212721	309.64	314.6647919	307.93	309.2475399	304.19	303.9101187	300.52	298.6815743	296.97	291.1079758	291.85
345	322.3751995	314.28	319.9760957	312.62	314.6904443	308.99	309.4889905	305.44	304.3988479	302	297.0324014	297.05
350	327.6425805	318.92	325.2990729	317.31	320.1406012	313.79	315.0701112	310.36	310.1129097	307.02	302.9449823	302.24
355	332.9232984	323.57	330.633688	322.01	325.5982009	318.59	320.6539599	315.27	315.8245831	312.04	308.8471218	307.41
360	338.2172365	328.22	335.9799006	326.71	331.0634133	323.4	326.2409725	320.17	321.5346177	317.05	314.7400959	312.57
365	343.5242785	332.88	341.3376659	331.41	336.5363897	328.2	331.8315455	325.08	327.2436975	322.05	320.6250672	317.72
370	348.8443083	337.55	346.7069355	336.12	342.0172645	333.01	337.4260398	329.98	332.9524468	327.04	326.5030969	322.85
375	354.1772098	342.22	352.0876569	340.83	347.5061562	337.81	343.0247837	334.88	338.6614365	332.03	332.3751551	327.97
380	359.5228675	346.9	357.4797744	345.55	353.0031692	342.62	348.6280761	339.77	344.3711884	337.02	338.2421297	333.09
385	364.8811659	351.58	362.8832295	350.28	358.5083945	347.43	354.236189	344.67	350.0821807	342	344.1048349	338.19
390	370.25199	356.27	368.2979604	355.01	364.0219113	352.25	359.8493696	349.57	355.7948509	346.98	349.9640176	343.29
395	375.6352251	360.97	373.7239032	359.74	369.5437873	357.06	365.4678425	354.46	361.5096003	351.96	355.8203644	348.39
400	381.0307566	365.68	379.1609913	364.48	375.0740804	361.88	371.0918116	359.36	367.2267966	356.93	361.6745067	353.47
