 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_h_01	NIST_h_01	PR_h_1	NIST_h_1	PR_h_3	NIST_h_3	PR_h_5	NIST_h_5	PR_h_7	NIST_h_7	PR_h_10	NIST_h_10
60	-193.8967283	-184.13	-193.3205653	-183.57	-192.0376315	-182.33	-190.7513165	-181.09	-189.4618096	-179.85	-187.5219423	-177.98
65	-185.8089208	-175.75	-185.2442662	-175.2	-183.9859661	-173.98	-182.7230698	-172.76	-181.4558585	-171.54	-179.5475067	-169.7
70	-177.6897465	-167.36	-177.1391392	-166.82	-175.9107816	-165.62	-174.6761953	-164.42	-173.4357977	-163.21	-171.565123	-161.4
75	-169.5166067	-158.97	-168.9832087	-158.44	-167.7913571	-157.26	-166.5910687	-156.08	-165.3829659	-154.89	-163.557364	-153.11
80	-161.2661948	-150.57	-160.753996	-150.06	-159.6068601	-148.91	-158.4482753	-147.75	-157.2791748	-146.58	-155.5075883	-144.83
85	-152.913359	-142.15	-152.4274704	-141.65	-151.3354595	-140.53	-150.2278439	-139.41	-149.1060363	-138.27	-147.3993674	-136.56
90	-144.4297357	-133.69	-143.9768223	-133.21	-142.953346	-132.13	-141.9084497	-131.05	-140.8442994	-129.95	-139.2159627	-128.28
95	78.15267285	84.298	-135.3708757	-124.7	-134.4335371	-123.68	-133.4664968	-122.64	-132.4731316	-121.59	-130.9398054	-119.98
100	82.67488275	88.986	-126.5718486	-116.1	-125.7442869	-115.15	-124.8749665	-114.17	-123.9692686	-113.18	-122.5519375	-111.65
105	87.20575497	93.656	-117.5319588	-107.37	-116.846814	-106.51	-116.1018682	-105.61	-115.3059384	-104.69	-114.031366	-103.25
110	91.7469696	98.318	-108.1879041	-98.477	-107.6918448	-97.729	-107.1080231	-96.934	-106.4514129	-96.099	-105.3542746	-94.782
115	96.29984175	102.97	-98.45118233	-89.35	-98.21400959	-88.759	-97.8437184	-88.098	-97.36696353	-87.379	-96.49301657	-86.21
120	100.8654097	107.62	88.86528743	94.178	-88.3220887	-79.537	-88.24336085	-79.057	-88.00383605	-78.491	-87.41477978	-77.511
125	105.4444982	112.25	94.36539144	100.21	-77.88049659	-69.972	-78.21637629	-69.747	-78.29855867	-69.386	-78.07976484	-68.652
130	110.0377656	116.88	99.74836597	105.92	-66.66979939	-59.917	-67.63047553	-60.071	-68.16527816	-59.999	-68.4386326	-59.592
135	114.6457378	121.5	105.04433	111.44	-54.28697343	-49.113	-56.27762081	-49.881	-57.48245459	-50.235	-58.42885197	-50.279
140	119.2688353	126.11	110.2743237	116.82	-39.81075241	-36.988	-43.79428643	-38.912	-46.06796387	-39.949	-47.96939588	-40.641
145	123.9073931	130.72	115.4536522	122.1	89.14888951	94.393	-29.42864937	-26.62	-33.62781351	-28.898	-36.95303229	-30.576
150	128.5616763	135.32	120.5938058	127.29	97.37902282	103.45	-11.00957598	-11.42	-19.63619188	-16.622	-25.23551937	-19.941
155	133.231893	139.91	125.7036306	132.4	104.7795632	111.25	58.85235694	62.646	-3.003668884	-2.0697	-12.62270612	-8.5115
160	137.9182034	144.5	130.7900789	137.46	111.6776492	118.36	81.54264102	87.722	18.97188499	18.093	1.13430507	4.0567
165	142.6207285	149.09	135.8587084	142.46	118.2370657	125.02	93.70413104	100.4	49.19424891	52.465	16.2881797	18.281
170	147.3395556	153.68	140.9140263	147.42	124.5529582	131.35	103.4260706	110.34	72.48804357	78.555	32.83994056	34.665
175	152.0747444	158.26	145.9597325	152.34	130.6860276	137.43	111.9608887	118.93	87.59958564	94.26	49.98442663	52.755
180	156.8263303	162.84	150.9988961	157.22	136.6775972	143.32	119.7811187	126.72	99.29972991	106.15	66.16673061	70.354
185	161.5943288	167.42	156.0340858	162.08	142.5571757	149.05	127.121463	133.96	109.2688089	116.13	80.43315934	85.62
190	166.3787377	171.99	161.0674682	166.91	148.3466225	154.66	134.1171166	140.79	118.2006884	124.98	92.85499925	98.556
195	171.1795402	176.57	166.100883	171.72	154.0626077	160.16	140.8536708	147.32	126.443668	133.06	103.8523006	109.76
200	175.9967064	181.14	171.1359019	176.52	159.718147	165.58	147.3890056	153.62	134.1969669	140.59	113.8038728	119.72
205	180.8301953	185.71	176.1738736	181.29	165.3236028	170.91	153.7642173	159.72	141.5852732	147.72	122.983063	128.79
