 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_cp_01	NIST_cp_01	PR_cp_1	NIST_cp_1	PR_cp_3	NIST_cp_3	PR_cp_5	NIST_cp_5	PR_cp_7	NIST_cp_7	PR_cp_10	NIST_cp_10
300	2.158160874	2.1994	2.156450234	2.1985	2.154626859	2.1976	2.152879745	2.1967	2.14959525	2.1951	2.142423709	2.1914
310	2.200883725	2.2372	2.198982343	2.2362	2.196960766	2.2352	2.195028632	2.2342	2.191409074	2.2323	2.183562362	2.2281
320	2.243845594	2.2759	2.241729126	2.2748	2.239485026	2.2736	2.237346074	2.2725	2.233354238	2.2703	2.22476647	2.2657
330	2.287046671	2.3154	2.284686815	2.3142	2.282192103	2.3129	2.279821326	2.3116	2.275414916	2.3092	2.266012603	2.3039
340	2.330493706	2.3557	2.327857384	2.3543	2.325079471	2.3528	2.322448069	2.3513	2.317578855	2.3486	2.307279868	2.3428
350	2.37420057	2.3965	2.371248905	2.3949	2.368149794	2.3932	2.36522445	2.3916	2.359837246	2.3886	2.348549614	2.3821
360	2.418189069	2.4378	2.41487609	2.436	2.41141124	2.4341	2.408153239	2.4323	2.402184665	2.4289	2.389805177	2.4217
370	2.462490093	2.4795	2.45876108	2.4775	2.454877977	2.4753	2.451242106	2.4733	2.444619084	2.4695	2.431031664	2.4615
380	2.507145177	2.5216	2.502934515	2.5193	2.498570857	2.5169	2.49450403	2.5146	2.487141949	2.5103	2.472215756	2.5014
390	2.552208596	2.5639	2.547436983	2.5613	2.542518345	2.5586	2.537957872	2.556	2.529758327	2.5513	2.513345532	2.5414
400	2.5977502	2.6065	2.592320939	2.6036	2.586757753	2.6005	2.581629139	2.5976	2.572477129	2.5923	2.554410305	2.5813
410	2.643859247	2.6494	2.637653276	2.646	2.631336856	2.6426	2.625550971	2.6393	2.615311413	2.6333	2.595400465	2.6212
420	2.690649644	2.6925	2.683518762	2.6887	2.676316023	2.6847	2.669765437	2.681	2.65827878	2.6743	2.636307313	2.6608
430	2.73826723	2.736	2.730024696	2.7316	2.721771034	2.727	2.7143252	2.7228	2.701401867	2.7153	2.677122895	2.7003
440	2.786900049	2.7798	2.777307295	2.7747	2.767796826	2.7695	2.759295676	2.7647	2.744708963	2.7562	2.717839818	2.7395
450	2.326752355	2.3544	2.825540585	2.8181	2.814512534	2.8121	2.80475786	2.8066	2.788234771	2.7969	2.758451038	2.7784
460	2.364413525	2.3903	2.874949041	2.862	2.862068373	2.855	2.850812024	2.8486	2.832021322	2.8376	2.798949618	2.817
470	2.401737501	2.4263	2.925825942	2.9064	2.910655185	2.8982	2.897582642	2.8908	2.876119095	2.8783	2.839328439	2.8552
480	2.438707823	2.4622	2.978560765	2.9516	2.960517925	2.9419	2.945225002	2.9333	2.920588361	2.9188	2.879579844	2.893
490	2.47530956	2.4979	3.033681338	2.9978	3.011975157	2.9862	2.993934236	2.9761	2.96550079	2.9594	2.919695218	2.9305
500	2.511529032	2.5333	3.091921152	3.0456	3.065447958	3.0314	3.043957829	3.0194	3.010941367	3	2.959664457	2.9675
510	2.547353581	2.5685	3.154331671	3.0953	3.121504054	3.0779	3.095613299	3.0634	3.057010645	3.0407	2.999475331	3.004
520	2.582771403	2.6032	3.22248006	3.148	3.180927645	3.1261	3.149313701	3.1084	3.103827331	3.0815	3.039112693	3.0401
530	2.617771405	2.6375	3.298821346	3.2051	3.244834541	3.1766	3.205605328	3.1547	3.151531188	3.1226	3.078557527	3.0758
540	2.652343087	2.6714	3.387461541	3.2686	3.314871824	3.2306	3.265224962	3.2028	3.200286075	3.1641	3.117785788	3.1109
550	2.686476457	2.7048	3.495911981	3.3427	3.39358621	3.2894	3.329189615	3.2533	3.250282768	3.206	3.156767018	3.1455
560	2.720161952	2.7377	3.639830878	3.4354	3.485159171	3.3556	3.398942296	3.3071	3.301740765	3.2486	3.195462721	3.1795
570	2.753390373	2.77	2.966984317	3.1731	3.597033034	3.4336	3.476598883	3.3656	3.354907442	3.292	3.233824481	3.213
580	2.786152838	2.8019	2.967653852	3.1204	3.744056394	3.5321	3.565386632	3.4309	3.410051414	3.3363	3.271791854	3.2458
590	2.818440737	2.8332	2.976359958	3.0961	3.961539438	3.6717	3.670466667	3.5061	3.467444061	3.3817	3.309290084	3.2779
600	2.850245694	2.864	2.990006462	3.0871	4.364290019	3.92	3.800569602	3.5969	3.527317993	3.4283	3.346227772	3.3093
610	2.881559538	2.8943	3.006854525	3.0873	5.804593212	4.7962	3.971414139	3.7146	3.589782358	3.4764	3.382494701	3.34
620	2.912374277	2.9241	3.025843569	3.0935	4.303952314	4.9828	4.212669917	3.8854	3.654661305	3.5261	3.417960133	3.3698
