 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_cp_01	NIST_cp_01	PR_cp_1	NIST_cp_1	PR_cp_3	NIST_cp_3	PR_cp_5	NIST_cp_5	PR_cp_7	NIST_cp_7	PR_cp_10	NIST_cp_10
60	1.211389938	1.6732	1.206067907	1.6712	1.194847428	1.6668	1.184389179	1.6627	1.174613768	1.6587	1.161083814	1.6529
65	1.249755438	1.677	1.243293176	1.6752	1.22974936	1.6715	1.217221744	1.6679	1.205593624	1.6645	1.189625452	1.6597
70	1.29153078	1.6779	1.2836585	1.676	1.267272324	1.6719	1.252247931	1.6681	1.238412521	1.6645	1.219580296	1.6594
75	1.33742981	1.6786	1.32779074	1.6763	1.30788712	1.6714	1.289821887	1.6669	1.273336645	1.6626	1.251120444	1.6566
80	1.388390496	1.6814	1.37650306	1.6785	1.352188205	1.6725	1.330379597	1.6669	1.310685827	1.6616	1.284445413	1.6543
85	1.445675565	1.6878	1.43087379	1.6842	1.400939549	1.6766	1.374465304	1.6696	1.350848455	1.6631	1.319787869	1.6542
90	1.51103475	1.6989	1.492370586	1.6943	1.455143371	1.6848	1.422769396	1.676	1.394301933	1.6679	1.357421002	1.6569
95	0.859984212	0.94128	1.563053989	1.7097	1.516146421	1.6976	1.476183906	1.6866	1.441641173	1.6765	1.397667997	1.6629
100	0.859836725	0.9352	1.645928075	1.7313	1.585810544	1.7158	1.535886112	1.7019	1.493619009	1.6893	1.440914201	1.6725
105	0.860044343	0.93319	1.745582589	1.7607	1.666799093	1.7405	1.603468652	1.7227	1.551204787	1.7068	1.487622839	1.6859
110	0.860532987	0.93155	1.869463478	1.8001	1.763085149	1.7733	1.681150057	1.7501	1.61567155	1.7297	1.538355373	1.7035
115	0.861246687	0.9298	2.030654431	1.8535	1.880917543	1.8167	1.772131733	1.7858	1.688729671	1.7594	1.593797907	1.7262
120	0.862142457	0.92799	1.039573271	1.2568	2.030826926	1.875	1.881238777	1.8325	1.772738864	1.7974	1.654795272	1.7546
125	0.863186804	0.92623	1.014747872	1.167	2.232315185	1.9558	2.016155399	1.8948	1.871058342	1.8466	1.722394375	1.7903
130	0.864353289	0.92461	0.995866767	1.121	2.526827325	2.0741	2.190036416	1.9803	1.988653306	1.9113	1.797897182	1.8353
135	0.865620808	0.92313	0.981168914	1.0896	3.024473915	2.2646	2.427756743	2.1042	2.133206548	1.999	1.882919479	1.8924
140	0.866972333	0.92182	0.969528281	1.0655	4.183015398	2.6345	2.783783078	2.2996	2.317299011	2.1232	1.979438542	1.9663
145	0.868394002	0.92066	0.960189974	1.046	1.628613277	2.0174	3.410091579	2.6603	2.563047202	2.3116	2.089776311	2.0641
150	0.869874431	0.91964	0.952628307	1.0299	1.438594745	1.6573	5.012505786	3.6164	2.912892335	2.6301	2.216364167	2.1974
155	0.871404201	0.91875	0.946465615	1.0165	1.324700655	1.4805	10.36517436	11.835	3.456180069	3.2809	2.360866276	2.3855
160	0.872975458	0.91797	0.941423408	1.0052	1.248525709	1.371	2.87488082	3.0446	4.369148543	5.1709	2.521564993	2.6592
165	0.874581617	0.91729	0.937291738	0.9956	1.193994291	1.2951	2.06744971	2.1847	5.232136401	7.1556	2.686597897	3.0505
170	0.876217118	0.9167	0.933909298	0.98742	1.153111429	1.2389	1.732066553	1.828	3.781071211	3.8039	2.820509699	3.4932
175	0.877877243	0.91619	0.931150085	0.98038	1.121423676	1.1956	1.544973841	1.6268	2.656920044	2.6593	2.855080416	3.6601
180	0.879557968	0.91575	0.928914248	0.97429	1.09624173	1.1613	1.42484983	1.4958	2.122548521	2.1512	2.732477171	3.3117
185	0.881255842	0.91538	0.927121636	0.969	1.075840093	1.1334	1.341037238	1.4032	1.827227447	1.8661	2.490626509	2.8017
190	0.882967894	0.91506	0.925707181	0.96438	1.059058052	1.1104	1.27925333	1.3343	1.642186705	1.6834	2.227768603	2.3941
