 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_cp_01	NIST_cp_01	PR_cp_1	NIST_cp_1	PR_cp_3	NIST_cp_3	PR_cp_5	NIST_cp_5	PR_cp_7	NIST_cp_7	PR_cp_10	NIST_cp_10
60	1.381790487	1.6732	1.379665702	1.6712	1.375109888	1.6668	1.370768986	1.6627	1.366627378	1.6587	1.360758181	1.6529
65	1.418151004	1.677	1.415557024	1.6752	1.410016734	1.6715	1.404764699	1.6679	1.399777813	1.6645	1.392750117	1.6597
70	1.454821797	1.6779	1.451648467	1.676	1.444901132	1.6719	1.438542344	1.6681	1.432537646	1.6645	1.424129045	1.6594
75	1.492402417	1.6786	1.488504866	1.6763	1.480260935	1.6714	1.472544533	1.6669	1.465303731	1.6626	1.455237183	1.6566
80	1.531602513	1.6814	1.52678667	1.6785	1.516663147	1.6725	1.507262799	1.6669	1.498506302	1.6616	1.486433188	1.6543
85	1.573295963	1.6878	1.567296231	1.6842	1.554776706	1.6766	1.543260907	1.6696	1.532625601	1.6631	1.518102265	1.6542
90	1.618603987	1.6989	1.611047559	1.6943	1.595419954	1.6848	1.581207284	1.676	1.568214091	1.6679	1.550668768	1.6569
95	0.862313873	0.94128	1.659376041	1.7097	1.639632069	1.6976	1.621921735	1.6866	1.605927053	1.6765	1.584612355	1.6629
100	0.86197504	0.9352	1.714119287	1.7313	1.688784955	1.7158	1.666445145	1.7019	1.646566086	1.6893	1.620489258	1.6725
105	0.862015692	0.93319	1.777932025	1.7607	1.744766644	1.7405	1.716147451	1.7227	1.691142911	1.7068	1.658960933	1.6859
110	0.862356916	0.93155	1.854872024	1.8001	1.810298152	1.7733	1.772902089	1.7501	1.740976129	1.7297	1.700833533	1.7035
115	0.862939233	0.9298	1.951585392	1.8535	1.889516903	1.8167	1.83938185	1.7858	1.797843422	1.7594	1.747113423	1.7262
120	0.863717032	0.92799	1.064220861	1.2568	1.989140347	1.875	1.919590699	1.8325	1.864231066	1.7974	1.799086821	1.7546
125	0.864654797	0.92623	1.035220258	1.167	2.121042517	1.9558	2.019891019	1.8948	1.943763214	1.8466	1.858436168	1.7903
130	0.8657245	0.92461	1.013455932	1.121	2.308845893	2.0741	2.151179703	1.9803	2.041984241	1.9113	1.927412758	1.8353
135	0.866903756	0.92313	0.996638263	1.0896	2.608864071	2.2646	2.334106353	2.1042	2.167888553	1.999	2.009094892	1.8924
140	0.868174494	0.92182	0.983361973	1.0655	3.207041599	2.6345	2.614019665	2.2996	2.337187938	2.1232	2.10777031	1.9663
145	0.869521984	0.92066	0.97271309	1.046	1.710154456	2.0174	3.117788773	2.6603	2.580126379	2.3116	2.229471538	2.0641
150	0.870934113	0.91964	0.964069655	1.0299	1.487978992	1.6573	4.433958232	3.6164	2.963135301	2.6301	2.382572653	2.1974
155	0.872400841	0.91875	0.956992748	1.0165	1.361520557	1.4805	9.962733266	11.835	3.660438101	3.2809	2.577740706	2.3855
160	0.873913784	0.91797	0.951163228	1.0052	1.278922612	1.371	2.816168963	3.0446	5.169882927	5.1709	2.823916582	2.6592
165	0.875465896	0.91729	0.946343166	0.9956	1.220476752	1.2951	2.056850022	2.1847	5.88980687	7.1556	3.108089242	3.0505
170	0.877051215	0.9167	0.942351372	0.98742	1.176895641	1.2389	1.737843362	1.828	3.545348273	3.8039	3.336397794	3.4932
175	0.878664673	0.91619	0.939047319	0.98038	1.143177724	1.1956	1.55800698	1.6268	2.534900683	2.6593	3.311163666	3.6601
180	0.880301933	0.91575	0.936320272	0.97429	1.116370287	1.1613	1.441430277	1.4958	2.069176146	2.1512	2.991065328	3.3117
185	0.881959269	0.91538	0.934081744	0.969	1.094608565	1.1334	1.35936784	1.4032	1.806491208	1.8661	2.593206451	2.8017
190	0.883633467	0.91506	0.932260153	0.96438	1.076652341	1.1104	1.298367802	1.3343	1.638380255	1.6834	2.262246835	2.3941
195	0.885321737	0.9148	0.930796946	0.96032	1.061642228	1.0911	1.251239352	1.2809	1.521648015	1.5564	2.01572561	2.103
200	0.887021652	0.91458	0.929643757	0.95675	1.048962526	1.0748	1.213767245	1.2384	1.435910509	1.4629	1.834292079	1.8945
205	0.888731094	0.91442	0.928760279	0.9536	1.03815974	1.0608	1.183306682	1.2038	1.370323421	1.3914	1.698390259	1.741
210	0.890448205	0.91431	0.928112644	0.95082	1.028891951	1.0487	1.158109065	1.1751	1.318588603	1.335	1.594098935	1.6246
215	0.892171349	0.91424	0.92767219	0.94835	1.020896166	1.0382	1.136969229	1.151	1.276796152	1.2895	1.512152775	1.534
220	0.893899086	0.91421	0.927414495	0.94617	1.01396657	1.029	1.119027932	1.1305	1.242388628	1.2519	1.446394902	1.4618
225	0.895630141	0.91423	0.927318624	0.94423	1.007939642	1.0209	1.103655078	1.1129	1.213621468	1.2206	1.392658955	1.4031
230	0.897363383	0.91429	0.927366524	0.94252	1.002683722	1.0138	1.090377489	1.0976	1.189262842	1.194	1.348057957	1.3546
235	0.899097807	0.9144	0.927542552	0.94101	0.998091542	1.0074	1.078832523	1.0843	1.168417534	1.1712	1.310542511	1.314
240	0.900832516	0.91455	0.927833083	0.93969	0.994074778	1.0018	1.068737312	1.0726	1.150418856	1.1515	1.278624193	1.2795
245	0.902566712	0.91475	0.928226198	0.93853	0.990560006	0.99671	1.059867786	1.0622	1.13475979	1.1343	1.251199146	1.25
250	0.904299676	0.91499	0.928711427	0.93753	0.987485665	0.99219	1.052044024	1.053	1.121047659	1.1192	1.22743307	1.2244
255	0.906030769	0.91527	0.929279535	0.93667	0.98479973	0.98815	1.045119798	1.0449	1.108973455	1.1059	1.206684556	1.2021
260	0.907759412	0.9156	0.929922349	0.93594	0.982457927	0.98453	1.038974972	1.0375	1.098290562	1.0941	1.188452861	1.1826
265	0.909485087	0.91598	0.930632608	0.93533	0.980422323	0.98129	1.033509883	1.031	1.08879968	1.0836	1.172341617	1.1653
270	0.911207327	0.9164	0.931403845	0.93484	0.978660227	0.97838	1.02864112	1.0251	1.080337928	1.0742	1.15803313	1.1499
275	0.91292571	0.91686	0.932230278	0.93446	0.97714331	0.97578	1.024298317	1.0198	1.072770839	1.0658	1.145269863	1.1363
280	0.914639855	0.91737	0.933106727	0.93418	0.975846893	0.97345	1.020421673	1.015	1.065986387	1.0582	1.133840885	1.124
285	0.916349418	0.91793	0.934028534	0.934	0.974749377	0.97138	1.016960028	1.0107	1.05989046	1.0513	1.123571811	1.113
290	0.918054087	0.91853	0.934991506	0.93392	0.973831773	0.96954	1.013869345	1.0068	1.054403397	1.0451	1.114317221	1.1031
295	0.919753579	0.91918	0.935991853	0.93392	0.973077319	0.96792	1.011111499	1.0033	1.049457294	1.0395	1.105954892	1.0941
300	0.921447637	0.91987	0.937026148	0.934	0.972471162	0.96649	1.008653314	1.0001	1.044993905	1.0345	1.098381352	1.086
305	0.92313603	0.9206	0.938091279	0.93417	0.972000092	0.96525	1.006465776	0.99729	1.040962965	1.0299	1.091508412	1.0786
310	0.924818546	0.92138	0.939184421	0.93441	0.971652323	0.96417	1.004523398	0.99474	1.037320863	1.0257	1.085260443	1.0719
315	0.926494994	0.9222	0.940303	0.93473	0.971417301	0.96325	1.002803695	0.99245	1.034029571	1.0219	1.079572214	1.0658
320	0.928165198	0.92306	0.941444666	0.93512	0.971285552	0.96248	1.001286753	0.9904	1.031055768	1.0185	1.074387158	1.0602
325	0.929829002	0.92396	0.942607275	0.93557	0.971248546	0.96185	0.99995487	0.98858	1.028370131	1.0154	1.069655981	1.0551
330	0.93148626	0.9249	0.943788861	0.93609	0.971298582	0.96135	0.998792254	0.98696	1.025946752	1.0126	1.065335523	1.0505
335	0.933136843	0.92588	0.944987624	0.93667	0.97142869	0.96097	0.997784772	0.98554	1.023762647	1.0101	1.061387832	1.0463
340	0.934780631	0.9269	0.946201909	0.9373	0.971632547	0.9607	0.996919739	0.98429	1.021797355	1.0078	1.057779397	1.0425
345	0.936417516	0.92796	0.947430196	0.938	0.971904404	0.96054	0.996185731	0.98322	1.020032601	1.0058	1.054480519	1.039
350	0.938047402	0.92905	0.948671086	0.93875	0.972239023	0.96048	0.995572438	0.98229	1.018452008	1.004	1.051464778	1.0358
355	0.939670198	0.93017	0.949923287	0.93955	0.972631622	0.96051	0.995070528	0.98152	1.017040854	1.0024	1.048708593	1.0329
360	0.941285825	0.93133	0.951185608	0.9404	0.973077826	0.96063	0.994671535	0.98087	1.015785872	1.0009	1.046190851	1.0303
365	0.942894211	0.93253	0.952456948	0.94129	0.973573624	0.96084	0.994367758	0.98036	1.01467507	0.99967	1.043892588	1.0279
370	0.944495289	0.93375	0.953736287	0.94223	0.974115338	0.96113	0.994152181	0.97996	1.013697584	0.99857	1.041796724	1.0257
375	0.946089001	0.935	0.955022684	0.94321	0.974699582	0.96149	0.994018395	0.97967	1.012843546	0.99762	1.039887835	1.0238
380	0.947675293	0.93628	0.956315262	0.94424	0.975323239	0.96192	0.993960535	0.97949	1.012103971	0.99681	1.038151953	1.022
385	0.949254118	0.93758	0.957613211	0.9453	0.975983434	0.96242	0.993973225	0.97941	1.011470665	0.99614	1.036576403	1.0205
390	0.950825434	0.93892	0.958915776	0.9464	0.976677512	0.96298	0.994051527	0.97941	1.010936136	0.99558	1.035149652	1.0191
395	0.952389202	0.94027	0.960222257	0.94753	0.977403015	0.9636	0.994190898	0.97951	1.010493521	0.99514	1.033861184	1.0179
400	0.95394539	0.94165	0.961532001	0.94869	0.978157669	0.96427	0.994387151	0.97968	1.010136523	0.99481	1.032701392	1.0168
