 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_cp_01	NIST_cp_01	PR_cp_1	NIST_cp_1	PR_cp_3	NIST_cp_3	PR_cp_5	NIST_cp_5	PR_cp_7	NIST_cp_7	PR_cp_10	NIST_cp_10
60	1.589021998	1.6732	1.586940348	1.6712	1.58247587	1.6668	1.578220628	1.6627	1.574159612	1.6587	1.568402926	1.6529
65	1.590926594	1.677	1.588389064	1.6752	1.582967935	1.6715	1.577827226	1.6679	1.572944717	1.6645	1.566062186	1.6597
70	1.597372507	1.6779	1.594270569	1.676	1.587673203	1.6719	1.581453653	1.6681	1.575578769	1.6645	1.567349585	1.6594
75	1.608394165	1.6786	1.604585061	1.6763	1.596525695	1.6714	1.588979198	1.6669	1.581895586	1.6626	1.572044431	1.6566
80	1.624242094	1.6814	1.619534581	1.6785	1.60963515	1.6725	1.600438817	1.6669	1.591869184	1.6616	1.580049303	1.6543
85	1.645411216	1.6878	1.639543579	1.6842	1.627294261	1.6766	1.616020978	1.6696	1.60560498	1.6631	1.591374696	1.6542
90	1.672705607	1.6989	1.665310558	1.6943	1.650008332	1.6848	1.636082407	1.676	1.623344336	1.6679	1.606133924	1.6569
95	0.862516103	0.94128	1.697904554	1.7097	1.678554008	1.6976	1.661182312	1.6866	1.645482718	1.6765	1.624546772	1.6629
100	0.862093901	0.9352	1.738935769	1.7313	1.714081968	1.7158	1.692143248	1.7019	1.672604418	1.6893	1.646951856	1.6725
105	0.862072309	0.93319	1.790861662	1.7607	1.758293565	1.7405	1.730152992	1.7227	1.705540353	1.7068	1.673829042	1.6859
110	0.862367203	0.93155	1.857563316	1.8001	1.813752589	1.7733	1.776935189	1.7501	1.745461141	1.7297	1.705834792	1.7035
115	0.862915298	0.9298	1.945515666	1.8535	1.884464451	1.8167	1.835043666	1.7858	1.794027923	1.7594	1.74385544	1.7262
120	0.863668154	0.92799	1.063641573	1.2568	1.977034819	1.875	1.908395526	1.8325	1.853643337	1.7974	1.789086527	1.7546
