TITLE = "CO2 alpha" 

VARIABLES = temp	PR_liq_alpha_01MPa	PR_liq_alpha_1MPa	PR_liq_alpha_2MPa	PR_liq_alpha_4MPa	PR_liq_alpha_5MPa	PR_liq_alpha_7MPa	PR_liq_alpha_8MPa	PR_liq_alpha_10MPa
220	1.26797078	1.130035283	1.126714183	1.120150977	1.116903816	1.110465838	1.107270048	1.100912531
221	1.263331791	1.129322914	1.126078958	1.11935609	1.116197984	1.109608114	1.106513123	1.1001927
222	1.254892513	1.128657683	1.125329055	1.118605705	1.115366862	1.108963852	1.105620413	1.099328872
223	1.249502803	1.128038798	1.124625942	1.117899057	1.11457991	1.108017522	1.104769251	1.098326081
224	1.243824977	1.127313758	1.123968827	1.117235401	1.113836362	1.107283203	1.104129331	1.097540504
225	1.237903537	1.126637365	1.123204416	1.116456067	1.113135476	1.106588605	1.103188651	1.096792096
226	1.231784821	1.12600881	1.122638883	1.115878086	1.112476534	1.105768941	1.102457807	1.095908234
227	1.225517022	1.125427312	1.121968317	1.115032511	1.111701913	1.104991299	1.1017657	1.09523402
228	1.219150218	1.124748003	1.121344464	1.114386786	1.110971493	1.104254961	1.100948553	1.094426653
229	1.212736389	1.124117956	1.120621541	1.113784135	1.110284536	1.103559229	1.100172399	1.093657448
230	1.206329445	1.12353638	1.119947508	1.113075124	1.109640323	1.102903431	1.099436542	1.092925751
231	1.199985237	1.12286399	1.119321571	1.112411371	1.109038163	1.102131785	1.098740307	1.092067787
232	1.197704416	1.122242197	1.118742965	1.111792142	1.108329454	1.101402246	1.09808304	1.091410917
233	1.191715037	1.121670204	1.118210949	1.111073373	1.107664941	1.100714118	1.097309755	1.090629945
234	1.185968245	1.210871011	1.11758885	1.11054281	1.107043913	1.100066726	1.0967302	1.089887362
235	1.180527842	1.20481011	1.1168813	1.109914798	1.106323012	1.099459418	1.096036744	1.089182528
236	1.175459656	1.198773711	1.116357553	1.109193861	1.105647659	1.098745017	1.095233808	1.088514826
237	1.170831547	1.193056902	1.115750378	1.108657221	1.105017128	1.09807276	1.094620943	1.087730566
238	1.162440885	1.187152316	1.115193125	1.108029672	1.10443072	1.097441977	1.093900629	1.086985482
239	1.158848372	1.18135121	1.114557949	1.1074486	1.103887759	1.096710496	1.093221467	1.086278933
240	1.151525106	1.175969669	1.113974656	1.106782015	1.103253381	1.096162335	1.092582802	1.085610295
241	1.149262806	1.170173887	1.11344247	1.106163855	1.102531924	1.095515447	1.091984002	1.084978967
242	1.143308393	1.164857375	1.112838746	1.105593386	1.101989329	1.094774064	1.091284961	1.084239283
243	1.13812741	1.159457699	1.112288035	1.10494367	1.101361566	1.094212377	1.090627716	1.083538842
244	1.13380117	1.154300799	1.111789568	1.104343532	1.100780418	1.093558095	1.090011619	1.082877021
245	1.130413095	1.149101348	1.111225813	1.103792237	1.100119266	1.092947169	1.089301311	1.082253217
246	1.1233101	1.143874584	1.110601107	1.103167817	1.099506578	1.092248697	1.08863401	1.081527949
247	1.121997232	1.138967459	1.110033106	1.102594073	1.098941638	1.091595414	1.088009053	1.080842543
248	1.117025724	1.133740834	1.109409372	1.102070275	1.098302683	1.090986636	1.087425804	1.080196379
249	1.108303598	1.12888051	1.10884411	1.10147934	1.09771327	1.090421703	1.086755105	1.079588857
250	1.105705575	1.124073471	1.108336499	1.100825416	1.097172682	1.089775961	1.086127897	1.078886502
251	1.099420755	1.119338405	1.107779181	1.100225714	1.096563938	1.089175831	1.085543534	1.078224552
252	1.09957613	1.114694645	1.107176396	1.099679462	1.095891094	1.088499721	1.084877397	1.077602394
253	1.090943963	1.110162164	1.106532394	1.099076056	1.095271254	1.087870934	1.084255827	1.076890953
254	1.088951603	1.105384976	1.128446493	1.098419579	1.094703665	1.087288783	1.083557199	1.076220999
255	1.083293065	1.10074753	1.123198607	1.09782069	1.094077675	1.086636242	1.082904807	1.075591911
256	1.079244855	1.096271584	1.11806757	1.097173622	1.093397275	1.086031997	1.082297975	1.075003084
257	1.07691356	1.091979512	1.113034645	1.096585756	1.092773163	1.08536203	1.081619538	1.074331184
258	1.0709116	1.087490583	1.108075525	1.095954552	1.092204556	1.084741973	1.080988277	1.073579874
259	1.066714223	1.083218372	1.103224178	1.095284039	1.091587095	1.084060804	1.080289964	1.072992528
260	1.064433817	1.079186982	1.098450124	1.094676699	1.090924704	1.083431112	1.079640392	1.072327345
261	1.058487778	1.074996586	1.093716895	1.094034833	1.090221317	1.082744866	1.079038867	1.071587912
262	1.054554947	1.070651406	1.089120872	1.093333889	1.089579676	1.08211162	1.078375536	1.070893459
263	1.052753566	1.066594695	1.08462426	1.092654197	1.088901699	1.081426321	1.077654068	1.070243326
264	1.047301577	1.062406895	1.080109775	1.091960538	1.08821042	1.080692703	1.076984354	1.069523988
265	1.044086054	1.058546422	1.07574648	1.091256425	1.087518184	1.08002591	1.076260882	1.068850436
266	1.043231113	1.054580349	1.071411575	1.090536513	1.086808963	1.079324905	1.075590595	1.068111894
267	1.038751011	1.050514798	1.06712579	1.08979613	1.086077087	1.078622423	1.074881061	1.067420554
268	1.030561611	1.0468312	1.062910684	1.08903128	1.08533537	1.077900986	1.074165563	1.066722055
269	1.031089807	1.043076124	1.058788625	1.088247014	1.084578465	1.077163369	1.073436043	1.065996566
270	1.028027829	1.039256799	1.054698172	1.087448394	1.083801675	1.076421714	1.072704514	1.065267188
271	1.021293471	1.035380754	1.050657432	1.08661651	1.083009393	1.075659868	1.071953578	1.064524934
272	1.017277182	1.031960757	1.046685196	1.085758047	1.082189502	1.074881029	1.071185909	1.063781728
273	1.016116797	1.028002745	1.042800924	1.084872095	1.081347415	1.074088389	1.070413484	1.063018774
274	1.01133102	1.024532749	1.038932297	1.083951061	1.080472732	1.073276365	1.069620182	1.062248105
275	1.009534871	1.021054778	1.035094107	1.082988885	1.079571944	1.072448595	1.068809084	1.06146163
276	1.004100732	1.017578087	1.031301704	1.0819811	1.078644011	1.071600256	1.067983262	1.060661432
277	1.001795425	1.013568673	1.027570993	1.080931787	1.077673854	1.070727142	1.067137054	1.059859087
278	0.995842609	1.010115648	1.023817924	1.07982589	1.076663028	1.069825679	1.066273958	1.059028122
279	0.993163395	1.00669346	1.020155885	1.053133835	1.075613915	1.068908903	1.065389042	1.058189863
280	0.993909418	1.003312601	1.016602352	1.048539836	1.074509226	1.067950093	1.06447797	1.057328132
281	0.99107844	0.999983877	1.013068639	1.044026406	1.073354802	1.066963437	1.063537008	1.056454713
282	0.984591967	0.996718404	1.009458232	1.039704925	1.072138108	1.065947504	1.062578964	1.055563178
283	0.981685457	0.993527606	1.005999247	1.035480944	1.07084381	1.064886887	1.061584793	1.054647632
284	0.975123888	0.990423221	1.00259811	1.031331565	1.069473133	1.063789719	1.060560276	1.053719808
285	0.97230416	0.986809083	0.999153236	1.027215691	1.068007084	1.062650216	1.059496221	1.052757235
286	0.973389894	0.983905688	0.995789397	1.02319638	1.066427936	1.061450416	1.058399397	1.05177217
287	0.970909998	0.980500799	0.992401493	1.019340146	1.064715654	1.060201835	1.057255081	1.05076817
288	0.964787983	0.977215472	0.989119324	1.015447642	1.032285487	1.058890319	1.05607157	1.049732792
289	0.962748791	0.974062865	0.985834204	1.011696997	1.027743948	1.057504831	1.054836692	1.048662557
290	0.957078831	0.971056441	0.982555025	1.007999774	1.023382548	1.056037618	1.053540359	1.047562243
291	0.95567113	0.968209967	0.979419188	1.004398431	1.019197642	1.054484385	1.052187639	1.046429055
292	0.950647836	0.964869744	0.976182056	1.000811287	1.015106446	1.052827504	1.050765476	1.045253347
293	0.950072151	0.961700504	0.973112104	0.997270581	1.011166625	1.051050346	1.04926384	1.044041163
294	0.945899959	0.95871683	0.969956396	0.993793216	1.007295456	1.049133676	1.047681828	1.042777177
295	0.946366636	0.955933606	0.966855794	0.990360173	1.003482593	1.047048699	1.045998082	1.041468754
296	0.943259882	0.952662871	0.96382105	0.986964821	0.999760543	1.044767816	1.044208228	1.040109619
297	0.936505443	0.950317504	0.960721416	0.983615757	0.996151899	1.042239167	1.042296457	1.038694715
298	0.934600784	0.94749795	0.957705403	0.980320347	0.992593152	1.039383093	1.040244177	1.03721371
299	0.937735722	0.944193138	0.954784619	0.977044757	0.989072702	1.036080105	1.038023045	1.035670873
300	0.928605336	0.941131284	0.951822169	0.97383109	0.985650018	1.032087583	1.0356099	1.034052555
301	0.924545635	0.938328907	0.948974326	0.970640166	0.982213334	1.026831787	1.032955561	1.032353753
302	0.925753019	0.935802807	0.945946458	0.967491677	0.978895547	1.005098375	1.029992295	1.030577335
303	0.923406035	0.932802858	0.943204765	0.964361319	0.975562251	1.000708639	1.026629451	1.028704809
304	0.917432666	0.930094991	0.940294382	0.961289692	0.972347147	0.996626987	1.022700285	1.026727356
305	0.916964045	0.927696808	0.937535598	0.958249635	0.969091841	0.992725858	1.017931953	1.024645071
306	0.912908649	0.924830658	0.934615479	0.955209646	0.965929851	0.98896379	1.01178816	1.022440378
307	0.914584266	0.922291255	0.931864422	0.952233532	0.962789371	0.985323326	1.003131801	1.020091716
308	0.912717122	0.919282216	0.929128271	0.949262924	0.959699504	0.981772763	0.993183628	1.017580368
309	0.907236683	0.916617727	0.926413844	0.946337231	0.956690761	0.978302727	0.989127177	1.014891601
310	0.907744013	0.914316712	0.923728161	0.943445246	0.953670715	0.974905881	0.98565374	1.01199396
311	0.904686624	0.911554305	0.921078438	0.940573689	0.950659787	0.971570974	0.982184338	1.008866104
312	0.897994176	0.90917444	0.91829389	0.937707156	0.947679456	0.968279161	0.978752117	1.005481671
313	0.897557474	0.906332926	0.915735979	0.934885772	0.944752215	0.965058785	0.975364722	1.001831455
314	0.893539018	0.903893776	0.913053526	0.932093726	0.941901519	0.961877599	0.972024846	0.997915513
315	0.896026209	0.900993176	0.910432692	0.929343168	0.939006038	0.958756136	0.968750995	0.99375066
316	0.88473367	0.898515525	0.907881634	0.926584935	0.936228015	0.955662747	0.965520351	0.989379953
317	0.890360787	0.896481565	0.905217573	0.923859474	0.933284556	0.952609615	0.962331868	0.984905357
318	0.882070333	0.89399771	0.902828685	0.921178092	0.930493809	0.949635356	0.959188495	0.980525933
319	0.88060497	0.891054407	0.900142381	0.918486633	0.92788331	0.946652277	0.956097733	0.976396308
320	0.875541136	0.888577492	0.897748838	0.915826595	0.925145706	0.943712865	0.953046918	0.972535495
321	0.877570338	0.886588744	0.895261623	0.913208265	0.922283034	0.940827938	0.95003573	0.968897014
322	0.87606902	0.884153855	0.892681923	0.910572245	0.919651531	0.937954725	0.947051889	0.965453382
323	0.870970094	0.881263516	0.890218203	0.907996666	0.91691851	0.935084779	0.944126163	0.962161348
324	0.873274732	0.878886079	0.887880043	0.905419914	0.914273447	0.932307515	0.94119773	0.958973257
325	0.872054919	0.877044341	0.88546456	0.902886389	0.911733985	0.929505196	0.938339881	0.955864132
326	0.867244337	0.874762256	0.882973431	0.900330053	0.909122932	0.926762094	0.935481992	0.952812679
327	0.858775418	0.8720308	0.880626638	0.897833684	0.90664495	0.924054846	0.932681701	0.949800519
328	0.858072212	0.869861831	0.878213439	0.895328875	0.903909665	0.921352178	0.929900232	0.946839707
329	0.853789739	0.867247244	0.875959677	0.892861759	0.901536687	0.918614628	0.927151658	0.943909795
330	0.857568058	0.865221114	0.873649305	0.890400075	0.898917449	0.915994667	0.924408761	0.941019844
331	0.857850992	0.862753663	0.871284586	0.887991882	0.896437941	0.913388646	0.921710676	0.938152117
332	0.854574094	0.860901395	0.86886787	0.885561641	0.893959314	0.910746122	0.919058113	0.935318801
333	0.847671725	0.858612655	0.866636876	0.883157089	0.891489672	0.908156177	0.916403727	0.932528041
334	0.849221173	0.855878741	0.864364689	0.880785398	0.88906079	0.905565359	0.913776648	0.929756155
335	0.847235264	0.853790231	0.862054006	0.878409417	0.886635123	0.903069639	0.911161122	0.927018774
336	0.841649492	0.852372682	0.859951638	0.876034435	0.884220185	0.90053046	0.908584002	0.924305479
337	0.844876854	0.849407683	0.857575388	0.873711981	0.881823759	0.898042868	0.906023067	0.921608837
338	0.844600088	0.847119625	0.855419268	0.871403176	0.87945389	0.89553889	0.903449658	0.91894792
339	0.840755935	0.845534881	0.853242387	0.869113848	0.877093018	0.893030474	0.900937572	0.916317355
340	0.833279991	0.843522905	0.851047975	0.866801594	0.87474818	0.890622446	0.898456607	0.913702282
341	0.835041865	0.841075427	0.848839358	0.864519403	0.872426644	0.888146057	0.895969668	0.911100392
342	0.833274261	0.839364927	0.846881954	0.862273594	0.870135909	0.885802226	0.89349315	0.908527266
343	0.82791415	0.837226082	0.84465835	0.860019879	0.86782787	0.883412732	0.891044334	0.905971332
344	0.83218089	0.834650681	0.842431109	0.857814083	0.865564226	0.880984308	0.888641341	0.903440434
345	0.819562659	0.832847344	0.840475172	0.855610628	0.863295208	0.878629765	0.886236327	0.900939837
346	0.816680363	0.830615233	0.83825501	0.853414047	0.861055515	0.87625643	0.883842734	0.898442805
347	0.823827273	0.829187442	0.836320121	0.85122901	0.858822109	0.873983444	0.881403685	0.895975147
348	0.813782695	0.827339241	0.834122732	0.849060321	0.856600563	0.871599574	0.879073763	0.893532703
349	0.813882252	0.825062739	0.831941268	0.84685726	0.85439663	0.869338676	0.876724211	0.891074636
350	0.810425489	0.822349897	0.830066901	0.844735376	0.852184602	0.867098676	0.874441922	0.88865413
351	0.817472736	0.820483457	0.827933196	0.842587719	0.850033292	0.864766653	0.872084271	0.886259552
352	0.806840856	0.818189754	0.825828324	0.840475262	0.847852434	0.862594292	0.869818699	0.883875122
353	0.80683489	0.81677692	0.82375678	0.838403451	0.845711703	0.860344075	0.867494836	0.881519208
354	0.803272076	0.81494649	0.822023039	0.836318008	0.843583856	0.858148751	0.865289766	0.879171352
355	0.810707728	0.812690792	0.820035298	0.834222079	0.84143959	0.855885153	0.862956812	0.876847757
356	0.799973763	0.811356298	0.817788523	0.832118905	0.839352328	0.853692309	0.860766676	0.874522835
357	0.800367259	0.809606869	0.815897189	0.83007426	0.837222608	0.851441743	0.858552932	0.872210249
358	0.797212016	0.807434967	0.814063119	0.828030892	0.835160747	0.849278841	0.856321796	0.86992441
359	0.790447517	0.804832917	0.811974968	0.825992354	0.83306417	0.847215402	0.854177241	0.867633451
360	0.795264555	0.80319943	0.810267423	0.824027352	0.831009643	0.844966177	0.851933468	0.865397269
361	0.796608503	0.801146898	0.808309503	0.822010411	0.828965279	0.842980519	0.849794832	0.863132461
362	0.794420853	0.80010064	0.806422965	0.820009552	0.826935382	0.840815943	0.8476713	0.86089864
363	0.788642108	0.797200929	0.804283233	0.818028718	0.824924369	0.838624788	0.845463803	0.858708986
364	0.794982238	0.795319285	0.802552422	0.816003329	0.822897246	0.836571759	0.843391504	0.856468373
365	0.781973672	0.794488641	0.800572657	0.814073858	0.820897022	0.834506205	0.841246691	0.854293824
366	0.781228815	0.791769026	0.798679631	0.812106381	0.81888774	0.832432367	0.8391446	0.852085075
367	0.776918855	0.790112894	0.796879123	0.810173833	0.816913802	0.830354639	0.836977597	0.849966125
368	0.785287231	0.788039913	0.794829598	0.80828062	0.814938275	0.828277575	0.834984922	0.84777084
369	0.773805552	0.787070696	0.793228343	0.806358058	0.813006962	0.826382357	0.832940631	0.84562553
370	0.775154391	0.784156117	0.791383032	0.80440796	0.811038821	0.824324093	0.830846815	0.843541941
371	0.772973962	0.782358603	0.789647207	0.802507253	0.809122966	0.822281094	0.828831851	0.841401542
372	0.767206296	0.781712872	0.787665445	0.800660695	0.807176119	0.820258525	0.826776955	0.83927417
373	0.774776634	0.779086469	0.785798517	0.798796206	0.805290013	0.818261696	0.824684691	0.837236373
374	0.761798319	0.777625846	0.784052813	0.796915886	0.803379107	0.816296064	0.822691446	0.835160955
375	0.762319132	0.775754316	0.782434815	0.795021899	0.80149158	0.81436723	0.820671467	0.833051627
376	0.759298415	0.77346484	0.780574887	0.793196271	0.799584543	0.812480932	0.818766552	0.830985786
377	0.770220309	0.772391429	0.778848574	0.791363424	0.797707582	0.810440615	0.816704913	0.828972568
378	0.76008714	0.770914905	0.776878985	0.789525731	0.795864801	0.808448075	0.81476997	0.826944577
379	0.764065056	0.76902845	0.775049144	0.787685624	0.794011671	0.806509433	0.812826435	0.82490645
380	0.764557637	0.766725133	0.773365956	0.785845601	0.792150553	0.804630941	0.810877916	0.822863027
381	0.761509138	0.76569739	0.771836413	0.784092897	0.790333887	0.802818975	0.808928142	0.820901245
382	0.754862921	0.764268461	0.770068951	0.782261779	0.788515461	0.800860743	0.80698097	0.818864264
383	0.762961715	0.762431647	0.768461835	0.780525281	0.786697854	0.798975359	0.80504038	0.816923053
384	0.749095939	0.760180137	0.766616028	0.778713837	0.784883714	0.79716956	0.803110474	0.814914276
385	0.750154491	0.759266013	0.764937502	0.777004587	0.783075756	0.795220555	0.801195476	0.813016197
386	0.747682268	0.757953719	0.763019644	0.775224089	0.781276763	0.793358032	0.799464859	0.811058892
387	0.741623576	0.756236694	0.761694152	0.77346294	0.779489586	0.791589072	0.797427698	0.809135615
388	0.751060336	0.754108271	0.759714856	0.771724142	0.777717142	0.7896807	0.795583958	0.807158559
389	0.737811226	0.751561667	0.758343164	0.770010759	0.775962415	0.787873352	0.793773204	0.805224812
390	0.740246073	0.750425422	0.75673926	0.768232143	0.774172507	0.786174432	0.792000237	0.803341046
391	0.739172659	0.748888551	0.754899151	0.766577998	0.772461759	0.784340631	0.790091109	0.801414508
392	0.734536427	0.746944541	0.753256448	0.764862977	0.77072077	0.782368802	0.788224134	0.799548137
393	0.746175928	0.746468643	0.75137749	0.763184154	0.76900873	0.780772018	0.786404423	0.797645815
394	0.734403609	0.74370645	0.750149679	0.761446935	0.767270266	0.778783813	0.78463719	0.795814406
395	0.739104668	0.74243078	0.74824411	0.759750585	0.765566048	0.777186417	0.782737578	0.793954377
396	0.740332727	0.740753425	0.746552287	0.758098576	0.763839435	0.775460718	0.781088529	0.792067709
397	0.738034561	0.738667946	0.745082536	0.75639329	0.762152595	0.773603842	0.779312334	0.790267211
398	0.732156131	0.7381292	0.743381266	0.754737329	0.760447605	0.771889371	0.777405979	0.788335479
399	0.722642565	0.737201587	0.741910766	0.753134337	0.758788141	0.770045421	0.775568156	0.786498167
400	0.730425277	0.733885491	0.740209325	0.751483627	0.757114988	0.768353172	0.773804662	0.784763392
401	0.734781637	0.734155081	0.738747591	0.749785693	0.755429743	0.76653338	0.772121383	0.782902631
402	0.714356274	0.732023603	0.737055655	0.748147649	0.753734045	0.764874896	0.770313756	0.781153329
403	0.733007624	0.729478082	0.735612608	0.746573359	0.752094622	0.763091039	0.768592495	0.779279425
404	0.726771449	0.728571404	0.733940257	0.744957955	0.750449612	0.761478397	0.766963751	0.777526309
405	0.716897291	0.72727119	0.732526221	0.743302087	0.748800798	0.759742788	0.765214288	0.775776504
406	0.725282824	0.725571311	0.730883942	0.741717466	0.747217235	0.758188591	0.763563933	0.774032958
407	0.708135813	0.723465538	0.729509647	0.740208177	0.745567082	0.756514065	0.761793577	0.772168494
408	0.709470722	0.723073746	0.727908337	0.738551802	0.743987445	0.7547167	0.760129186	0.770444645
409	0.707283366	0.720154484	0.726584922	0.736974577	0.742343634	0.753112689	0.758345693	0.768736392
410	0.701521396	0.718970762	0.725035887	0.735365185	0.740775795	0.751388738	0.756675289	0.767047015
411	0.714912874	0.717390391	0.723257605	0.7338412	0.739146357	0.749869051	0.755124715	0.765241579
412	0.702013017	0.71760158	0.721768163	0.732289116	0.737598538	0.748232552	0.753459879	0.763598083
413	0.708497811	0.715227098	0.720577186	0.730709876	0.735991855	0.746476882	0.751678353	0.761841372
414	0.711536379	0.71466655	0.71863325	0.729224637	0.734399422	0.744938353	0.750024925	0.76011332
