TITLE = "oxygen alpha prediction MODEL 2" 

  VARIABLES = Tr	model_uncorrected	model_corrected	bias	upper	lower
0.723379154	1.058576907	1.112049635	0.053472728	1.121294419	1.102804851
0.727190168	1.057021375	1.111352616	0.054331241	1.120597401	1.102107832
0.731001182	1.055465843	1.1106241	0.055158257	1.119868884	1.101379315
0.734812196	1.053910311	1.109869747	0.055959436	1.119114531	1.100624963
0.73862321	1.052354779	1.10909541	0.056740631	1.118340194	1.099850626
0.742434224	1.050799247	1.108306957	0.057507709	1.117551741	1.099062172
0.746245238	1.049243715	1.107510094	0.058266378	1.116754878	1.098265309
0.750056252	1.047688183	1.106710192	0.059022008	1.115954976	1.097465407
0.753867266	1.046132651	1.10591212	0.059779469	1.115156905	1.096667336
0.75767828	1.044577119	1.105120097	0.060542978	1.114364882	1.095875313
0.761489294	1.043021588	1.104337558	0.061315971	1.113582342	1.095092774
0.765300308	1.041466056	1.10356705	0.062100995	1.112811835	1.094322266
0.769111322	1.039910524	1.10281016	0.062899636	1.112054944	1.093565375
0.772922336	1.038354992	1.102067468	0.063712477	1.111312253	1.092822684
0.77673335	1.03679946	1.101338552	0.064539092	1.110583336	1.092093767
0.780544364	1.035243928	1.100622012	0.065378084	1.109866796	1.091377227
0.784355378	1.033688396	1.09991555	0.066227154	1.109160334	1.090670766
0.788166392	1.032132864	1.099216078	0.067083214	1.108460862	1.089971293
0.791977406	1.030577332	1.09851986	0.067942528	1.107764645	1.089275076
0.79578842	1.0290218	1.097822693	0.068800893	1.107067477	1.088577908
0.799599434	1.027466268	1.0971201	0.069653832	1.106364884	1.087875315
0.803410448	1.025910736	1.096407554	0.070496818	1.105652338	1.08716277
0.807221462	1.024355204	1.095680706	0.071325501	1.10492549	1.086435921
0.811032476	1.022799672	1.094935612	0.072135939	1.104180396	1.085690827
0.81484349	1.02124414	1.094168958	0.072924818	1.103413742	1.084924174
0.818654504	1.019688608	1.093378266	0.073689657	1.10262305	1.084133481
0.822465518	1.018133077	1.092562065	0.074428989	1.10180685	1.083317281
0.826276532	1.016577545	1.091720042	0.075142497	1.100964826	1.082475257
0.830087546	1.015022013	1.090853126	0.075831114	1.100097911	1.081608342
0.83389856	1.013466481	1.089963545	0.076497065	1.09920833	1.080718761
0.837709573	1.011910949	1.089054806	0.077143857	1.09829959	1.079810021
0.841520587	1.010355417	1.08813162	0.077776204	1.097376405	1.078886836
0.845331601	1.008799885	1.087199776	0.078399891	1.09644456	1.077954992
0.849142615	1.007244353	1.086265933	0.07902158	1.095510718	1.077021149
0.852953629	1.005688821	1.085337373	0.079648552	1.094582158	1.076092589
0.856764643	1.004133289	1.084421691	0.080288401	1.093666475	1.075176906
0.860575657	1.002577757	1.083526441	0.080948684	1.092771226	1.074281657
0.864386671	1.001022225	1.082658759	0.081636534	1.091903544	1.073413975
0.868197685	0.999466693	1.08182495	0.082358257	1.091069734	1.072580166
0.872008699	0.997911161	1.081030076	0.083118915	1.09027486	1.071785292
0.875819713	0.996355629	1.080277554	0.083921925	1.089522339	1.07103277
0.879630727	0.994800098	1.079568772	0.084768675	1.088813557	1.070323988
0.883441741	0.993244566	1.078902746	0.08565818	1.08814753	1.069657962
0.887252755	0.991689034	1.078275833	0.086586799	1.087520617	1.069031048
0.891063769	0.990133502	1.077681512	0.087548011	1.086926297	1.068436728
0.894874783	0.98857797	1.07711025	0.08853228	1.086355034	1.067865466
0.898685797	0.987022438	1.076549449	0.089527011	1.085794233	1.067304665
0.902496811	0.985466906	1.075983506	0.0905166	1.08522829	1.066738721
0.906307825	0.983911374	1.075393965	0.091482591	1.084638749	1.06614918
0.910118839	0.982355842	1.07475978	0.092403938	1.084004564	1.065514995
0.913929853	0.98080031	1.074057676	0.093257366	1.08330246	1.064812891
0.917740867	0.979244778	1.073262605	0.094017826	1.082507389	1.06401782
0.921551881	0.977689246	1.072348286	0.09465904	1.081593071	1.063103502
0.925362895	0.976133714	1.071287822	0.095154108	1.080532606	1.062043038
0.929173909	0.974578182	1.070054359	0.095476177	1.079299144	1.060809575
0.932984923	0.97302265	1.068621796	0.095599146	1.07786658	1.059377012
0.936795937	0.971467118	1.066965497	0.095498379	1.076210281	1.057720713
0.940606951	0.969911587	1.065063002	0.095151416	1.074307787	1.055818218
0.944417965	0.968356055	1.062894708	0.094538654	1.072139493	1.053649924
0.948228979	0.966800523	1.060444494	0.093643971	1.069689278	1.05119971
0.952039993	0.965244991	1.057700274	0.092455284	1.066945059	1.04845549
0.955851007	0.963689459	1.054654461	0.090965002	1.063899245	1.045409676
0.959662021	0.962133927	1.051304313	0.089170386	1.060549098	1.042059529
0.963473035	0.960578395	1.047652168	0.087073774	1.056896953	1.038407384
0.967284049	0.959022863	1.043705536	0.084682673	1.05295032	1.034460752
0.971095063	0.957467331	1.039477057	0.082009726	1.048721841	1.030232273
0.974906077	0.955911799	1.034984324	0.079072525	1.044229108	1.02573954
0.978717091	0.954356267	1.030249567	0.0758933	1.039494351	1.021004783
0.982528105	0.952800735	1.02529921	0.072498475	1.034543995	1.016054426
0.986339119	0.951245203	1.020163316	0.068918113	1.0294081	1.010918532
0.990150133	0.949689671	1.014874928	0.065185256	1.024119712	1.005630143
0.993961147	0.948134139	1.009469337	0.061335197	1.018714121	1.000224552
0.997772161	0.946578607	1.003983287	0.057404679	1.013228071	0.994738502
1.001583175	0.945023076	0.998454146	0.053431071	1.007698931	0.989209362
1.005394189	0.943467544	0.992919073	0.049451529	1.002163857	0.983674288
1.009205203	0.941912012	0.987414186	0.045502175	0.996658971	0.978169402
1.013016217	0.94035648	0.98197379	0.04161731	0.991218574	0.972729006
1.016827231	0.938800948	0.976629645	0.037828697	0.985874429	0.967384861
1.020638245	0.937245416	0.971410331	0.034164915	0.980655115	0.962165546
1.024449259	0.935689884	0.966340703	0.030650819	0.975585487	0.957095919
1.028260273	0.934134352	0.961441468	0.027307116	0.970686252	0.952196683
1.032071287	0.93257882	0.956728873	0.024150053	0.965973657	0.947484088
1.035882301	0.931023288	0.952214532	0.021191244	0.961459316	0.942969748
1.039693315	0.929467756	0.94790538	0.018437624	0.957150164	0.938660596
1.043504329	0.927912224	0.943803752	0.015891528	0.953048536	0.934558968
1.047315343	0.926356692	0.939907586	0.013550894	0.94915237	0.930662802
1.051126357	0.92480116	0.936210737	0.011409576	0.945455521	0.926965952
1.054937371	0.923245628	0.932703383	0.009457755	0.941948168	0.923458599
1.058748385	0.921690097	0.929372522	0.007682426	0.938617306	0.920127738
1.062559399	0.920134565	0.926202519	0.006067954	0.935447303	0.916957735
1.066370413	0.918579033	0.923175706	0.004596673	0.93242049	0.913930921
1.070181427	0.917023501	0.920273	0.003249499	0.929517784	0.911028216
1.073992441	0.915467969	0.917474528	0.002006559	0.926719312	0.908229744
