TITLE = "decane alpha prediction MODEL 3"
VARIABLES =  "Tr"	"Pr"	"bias corrected model"	"traning data"	"bias uncorrected model"	"upper"	"lower"	"bias"

ZONE I=100 J=9
0.566618099	0.04717	2.489672792	2.497298948	2.636044961	2.501666018	2.477679566	-0.14637217
0.577247299	0.04717	2.367958208	2.365762749	2.608795595	2.379951433	2.355964982	-0.240837387
0.587876499	0.04717	2.257212182	2.252832018	2.581546228	2.269205408	2.245218957	-0.324334046
0.598505698	0.04717	2.157769964	2.154835274	2.554296862	2.16976319	2.145776739	-0.396526897
0.609134898	0.04717	2.069427764	2.06900321	2.527047495	2.081420989	2.057434538	-0.457619732
0.619764097	0.04717	1.991539061	1.99320732	2.499798129	2.003532287	1.979545835	-0.508259068
0.630393297	0.04717	1.923127233	1.925784377	2.472548762	1.935120459	1.911134007	-0.549421529
0.641022496	0.04717	1.863002526	1.865415559	2.445299396	1.874995751	1.8510093	-0.58229687
0.651651696	0.04717	1.809873004	1.811041353	2.418050029	1.82186623	1.797879778	-0.608177026
0.662280895	0.04717	1.762441633	1.761800438	2.390800663	1.774434859	1.750448407	-0.62835903
0.672910095	0.04717	1.719484618	1.716985034	2.363551296	1.731477844	1.707491392	-0.644066679
0.683539295	0.04717	1.679909001	1.676007723	2.33630193	1.691902227	1.667915775	-0.656392929
0.694168494	0.04717	1.642789902	1.63837646	2.309052564	1.654783127	1.630796676	-0.666262662
0.704797694	0.04717	1.607389413	1.603675471	2.281803197	1.619382639	1.595396187	-0.674413784
0.715426893	0.04717	1.573160009	1.571550481	2.254553831	1.585153235	1.561166784	-0.681393821
0.726056093	0.04717	1.539735496	1.552942536	2.227304464	1.551728722	1.527742271	-0.687568968
0.736685292	0.04717	1.506912273	1.515003739	2.200055098	1.518905498	1.494919047	-0.693142825
0.747314492	0.04717	1.474623294	1.478906027	2.172805731	1.486616519	1.462630068	-0.698182437
0.757943691	0.04717	1.442906825	1.444524595	2.145556365	1.454900051	1.430913599	-0.70264954
0.768572891	0.04717	1.411872034	1.411745738	2.118306998	1.42386526	1.399878808	-0.706434964
0.779202091	0.04717	1.38166367	1.380465517	2.091057632	1.393656895	1.369670444	-0.709393962
0.78983129	0.04717	1.352428399	1.350588631	2.063808265	1.364421624	1.340435173	-0.711379867
0.80046049	0.04717	1.324285633	1.322027478	2.036558899	1.336278858	1.312292407	-0.712273266
0.811089689	0.04717	1.297305628	1.29470135	2.009309532	1.309298853	1.285312402	-0.712003905
0.821718889	0.04717	1.271497157	1.26853574	1.982060166	1.283490382	1.259503931	-0.710563009
0.832348088	0.04717	1.246806057	1.243461744	1.954810799	1.258799283	1.234812831	-0.708004742
0.842977288	0.04717	1.223124554	1.219415531	1.927561433	1.23511778	1.211131329	-0.704436878
0.853606487	0.04717	1.200309676	1.196337886	1.900312066	1.212302902	1.18831645	-0.70000239
0.864235687	0.04717	1.178207587	1.174173799	1.8730627	1.190200813	1.166214361	-0.694855113
0.874864887	0.04717	1.156679643	1.152872104	1.845813333	1.168672869	1.144686417	-0.68913369
0.885494086	0.04717	1.135625578	1.132385149	1.818563967	1.147618804	1.123632352	-0.682938389
0.896123286	0.04717	1.11499971	1.112668512	1.7913146	1.126992936	1.103006484	-0.67631489
0.906752485	0.04717	1.094817226	1.093680733	1.764065234	1.106810452	1.082824	-0.669248008
0.917381685	0.04717	1.075149409	1.075383083	1.736815867	1.087142635	1.063156183	-0.661666458
0.928010884	0.04717	1.056108643	1.057739347	1.709566501	1.068101868	1.044115417	-0.653457858
0.938640084	0.04717	1.037825896	1.040715631	1.682317134	1.049819122	1.02583267	-0.644491239
0.949269283	0.04717	1.020424732	1.024280186	1.655067768	1.032417958	1.008431506	-0.634643036
0.959898483	0.04717	1.003996457	1.008403248	1.627818401	1.015989683	0.992003231	-0.623821944
0.970527683	0.04717	0.988580743	0.993056892	1.600569035	1.000573968	0.976587517	-0.611988292
0.981156882	0.04717	0.974154987	0.978214894	1.573319668	0.986148213	0.962161762	-0.599164681
0.991786082	0.04717	0.96063403	0.963852616	1.546070302	0.972627256	0.948640804	-0.585436272
1.002415281	0.04717	0.94787996	0.949946889	1.518820935	0.959873185	0.935886734	-0.570940976
1.013044481	0.04717	0.935720016	0.936475908	1.491571569	0.947713242	0.92372679	-0.555851553
1.02367368	0.04717	0.923969287	0.923419144	1.464322202	0.935962513	0.911976061	-0.540352915
1.03430288	0.04717	0.91245426	0.91075725	1.437072836	0.924447486	0.900461035	-0.524618576
1.044932079	0.04717	0.901033404	0.898471986	1.409823469	0.913026629	0.889040178	-0.508790066
1.055561279	0.04717	0.88961172	0.886546141	1.382574103	0.901604946	0.877618494	-0.492962383
1.066190479	0.04717	0.878147463	0.874963467	1.355324737	0.890140689	0.866154238	-0.477177273
1.076819678	0.04717	0.866650648	0.863708618	1.32807537	0.878643874	0.854657422	-0.461424722
1.087448878	0.04717	0.85517438	0.852767084	1.300826004	0.867167606	0.843181154	-0.445651624
1.098078077	0.04717	0.843801068	0.842125148	1.273576637	0.855794293	0.831807842	-0.429775569
1.108707277	0.04717	0.832626195	0.831769826	1.246327271	0.84461942	0.820632969	-0.413701076
1.119336476	0.04717	0.821742378	0.821688826	1.219077904	0.833735603	0.809749152	-0.397335527
1.129965676	0.04717	0.811226056	0.811870504	1.191828538	0.823219281	0.79923283	-0.380602482
1.140594875	0.04717	0.801128415	0.802303823	1.164579171	0.813121641	0.789135189	-0.363450756
1.151224075	0.04717	0.79147126	0.792978318	1.137329805	0.803464486	0.779478034	-0.345858545
1.161853275	0.04717	0.782247663	0.783884058	1.110080438	0.794240889	0.770254437	-0.327832775
1.172482474	0.04717	0.77342652	0.775011617	1.082831072	0.785419746	0.761433295	-0.309404551
1.183111674	0.04717	0.76495969	0.766352044	1.055581705	0.776952916	0.752966464	-0.290622015
1.193740873	0.04717	0.756790217	0.757896832	1.028332339	0.768783443	0.744796991	-0.271542122
1.204370073	0.04717	0.748860278	0.749637895	1.001082972	0.760853503	0.736867052	-0.252222694
1.214999272	0.04717	0.741117756	0.741567543	0.973833606	0.753110982	0.72912453	-0.232715849
1.225628472	0.04717	0.733520784	0.733678458	0.946584239	0.74551401	0.721527559	-0.213063455
1.236257671	0.04717	0.726040005	0.725963673	0.919334873	0.738033231	0.714046779	-0.193294868
1.246886871	0.04717	0.718658693	0.718416557	0.892085506	0.730651919	0.706665467	-0.173426813
1.257516071	0.04717	0.711371146	0.711030787	0.86483614	0.723364372	0.69937792	-0.153464994
1.26814527	0.04717	0.704179928	0.703800341	0.837586773	0.716173153	0.692186702	-0.133406846
1.27877447	0.04717	0.697092584	0.696719472	0.810337407	0.709085809	0.685099358	-0.113244823
1.289403669	0.04717	0.690118426	0.689782702	0.78308804	0.702111651	0.6781252	-0.092969615
1.300032869	0.04717	0.683265847	0.682984801	0.755838674	0.695259073	0.671272621	-0.072572827
1.310662068	0.04717	0.676540498	0.676320775	0.728589307	0.688533724	0.664547272	-0.05204881
1.321291268	0.04717	0.66994446	0.669785856	0.701339941	0.681937686	0.657951234	-0.031395481
1.331920467	0.04717	0.663476391	0.663375487	0.674090574	0.675469617	0.651483165	-0.010614183
1.342549667	0.04717	0.657132455	0.657085314	0.646841208	0.669125681	0.645139229	0.010291247
1.353178867	0.04717	0.650907714	0.650911173	0.619591841	0.662900939	0.638914488	0.031315872
1.363808066	0.04717	0.644797612	0.64484908	0.592342475	0.656790838	0.632804386	0.052455137
1.374437266	0.04717	0.638799146	0.638895225	0.565093108	0.650792372	0.62680592	0.073706037
1.385066465	0.04717	0.632911404	0.633045958	0.537843742	0.64490463	0.620918178	0.095067662
1.395695665	0.04717	0.627135285	0.627297787	0.510594375	0.639128511	0.615142059	0.11654091
1.406324864	0.04717	0.621472406	0.621647365	0.483345009	0.633465632	0.609479181	0.138127397
1.416954064	0.04717	0.615923417	0.616091486	0.456095642	0.627916643	0.603930191	0.159827774
1.427583263	0.04717	0.610486142	0.610627077	0.428846276	0.622479368	0.598492916	0.181639866
1.438212463	0.04717	0.605154091	0.60525119	0.40159691	0.617147317	0.593160865	0.203557182
1.448841663	0.04717	0.599915887	0.599961	0.374347543	0.611909113	0.587922662	0.225568344
1.459470862	0.04717	0.594756053	0.594753794	0.347098177	0.606749279	0.582762828	0.247657877
1.470100062	0.04717	0.589657313	0.589626969	0.31984881	0.601650539	0.577664087	0.269808503
1.480729261	0.04717	0.584604218	0.584578026	0.292599444	0.596597444	0.572610992	0.292004774
1.491358461	0.04717	0.579587486	0.579604566	0.265350077	0.591580712	0.56759426	0.314237409
1.50198766	0.04717	0.574608055	0.574704283	0.238100711	0.586601281	0.562614829	0.336507345
1.51261686	0.04717	0.569679617	0.569874961	0.210851344	0.581672843	0.557686391	0.358828273
1.523246059	0.04717	0.564828322	0.565114471	0.183601978	0.576821547	0.552835096	0.381226344
1.533875259	0.04717	0.560088552	0.560420765	0.156352611	0.572081778	0.548095327	0.403735941
1.544504459	0.04717	0.555494106	0.555791873	0.129103245	0.567487332	0.54350088	0.426390861
1.555133658	0.04717	0.551064786	0.551225902	0.101853878	0.563058012	0.53907156	0.449210908
1.565762858	0.04717	0.546789202	0.546721027	0.074604512	0.558782428	0.534795976	0.472184691
1.576392057	0.04717	0.542605375	0.542275494	0.047355145	0.554598601	0.530612149	0.49525023
1.587021257	0.04717	0.53838141	0.537887612	0.020105779	0.550374636	0.526388185	0.518275632
1.597650456	0.04717	0.533898938	0.533555754	-0.007143588	0.545892164	0.521905712	0.541042526
1.608279656	0.04717	0.528842079	0.529278352	-0.034392954	0.540835305	0.516848853	0.563235033
1.618908855	0.04717	0.522794383	0.525053894	-0.061642321	0.534787609	0.510801158	0.584436704
0.566618099	0.4717	2.515247304	2.520824163	2.65986951	2.52724053	2.503254078	-0.144622206
0.577247299	0.4717	2.388630066	2.385626143	2.632620143	2.400623292	2.37663684	-0.243990077
0.587876499	0.4717	2.274125718	2.269701103	2.605370777	2.286118944	2.262132492	-0.331245059
0.598505698	0.4717	2.171817111	2.169216859	2.57812141	2.183810337	2.159823885	-0.406304299
0.609134898	0.4717	2.081230669	2.081289986	2.550872044	2.093223895	2.069237443	-0.469641375
0.619764097	0.4717	2.001469601	2.003709053	2.523622677	2.013462827	1.989476376	-0.522153076
0.630393297	0.4717	1.931359025	1.934749364	2.496373311	1.94335225	1.919365799	-0.565014286
0.641022496	0.4717	1.869587128	1.873045744	2.469123944	1.881580354	1.857593902	-0.599536816
0.651651696	0.4717	1.814829219	1.817503211	2.441874578	1.826822444	1.802835993	-0.627045359
0.662280895	0.4717	1.765845491	1.767232967	2.414625211	1.777838717	1.753852266	-0.64877972
0.672910095	0.4717	1.72154796	1.72150573	2.387375845	1.733541186	1.709554734	-0.665827885
0.683539295	0.4717	1.681036436	1.679717132	2.360126478	1.693029662	1.669043211	-0.679090042
0.694168494	0.4717	1.643607085	1.641361708	2.332877112	1.65560031	1.631613859	-0.689270027
0.704797694	0.4717	1.608739513	1.606013056	2.305627745	1.620732738	1.596746287	-0.696888233
0.715426893	0.4717	1.576069441	1.57330853	2.278378379	1.588062667	1.564076216	-0.702308937
0.726056093	0.4717	1.545353812	1.542937273	2.251129012	1.557347038	1.533360587	-0.7057752
0.736685292	0.4717	1.516434076	1.514630772	2.223879646	1.528427302	1.50444085	-0.70744557
0.747314492	0.4717	1.489201801	1.488155295	2.196630279	1.501195027	1.477208575	-0.707428478
0.757943691	0.4717	1.463569059	1.463305783	2.169380913	1.475562285	1.451575834	-0.705811854
0.768572891	0.4717	1.43944467	1.439900836	2.142131546	1.451437895	1.427451444	-0.702686877
0.779202091	0.4717	1.416716476	1.417778543	2.11488218	1.428709702	1.40472325	-0.698165704
