TITLE = "oxygen alpha prediction MODEL 3"
VARIABLES =  "Tr"	"Pr"	"bias corrected model"	"traning data"	"bias uncorrected model"	"upper"	"lower"	"bias"

ZONE I=99 J=10
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
0.388146021	0.019	0.795852625	0.791025671	0.992654229	0.819560083	0.772145167	-0.196801604
0.410363133	0.019	0.805708869	0.807498473	0.987629831	0.829416326	0.782001411	-0.181920962
0.432580245	0.019	0.824308984	0.823135442	0.982605433	0.848016442	0.800601527	-0.158296448
0.454797357	0.019	0.84150081	0.838159034	0.977581035	0.865208268	0.817793352	-0.136080225
0.47701447	0.019	0.851196988	0.852682566	0.972556637	0.874904446	0.82748953	-0.121359649
0.499231582	0.019	0.858064095	0.86676578	0.967532239	0.881771552	0.834356637	-0.109468144
0.521448694	0.019	0.877564172	0.880441946	0.962507841	0.90127163	0.853856714	-0.084943669
0.543665807	0.019	0.925065428	0.893731216	0.957483443	0.948772886	0.90135797	-0.032418014
0.565882919	0.019	1.000135874	0.906647184	0.952459045	1.023843331	0.976428416	0.047676829
0.588100031	0.019	1.080888068	1.247160058	0.947434646	1.104595526	1.05718061	0.133453421
0.610317143	0.019	1.137268823	1.216236657	0.942410248	1.160976281	1.113561365	0.194858574
0.632534256	0.019	1.153602061	1.18990806	0.93738585	1.177309519	1.129894603	0.21621621
0.654751368	0.019	1.139351784	1.165433306	0.932361452	1.163059242	1.115644326	0.206990332
0.67696848	0.019	1.117862331	1.142040249	0.927337054	1.141569789	1.094154873	0.190525277
0.699185593	0.019	1.10520228	1.119569508	0.922312656	1.128909738	1.081494822	0.182889624
0.721402705	0.019	1.100055249	1.09802516	0.917288258	1.123762707	1.076347791	0.182766991
0.743619817	0.019	1.091658807	1.077432565	0.91226386	1.115366265	1.067951349	0.179394947
0.765836929	0.019	1.073659565	1.057799855	0.907239462	1.097367022	1.049952107	0.166420103
0.788054042	0.019	1.049010809	1.039112947	0.902215064	1.072718267	1.025303351	0.146795745
0.810271154	0.019	1.024353779	1.021340004	0.897190666	1.048061237	1.000646321	0.127163113
0.832488266	0.019	1.003327269	1.004437383	0.892166268	1.027034726	0.979619811	0.111161001
0.854705379	0.019	0.985678357	0.98835472	0.88714187	1.009385815	0.961970899	0.098536487
0.876922491	0.019	0.970191755	0.9730387	0.882117472	0.993899213	0.946484297	0.088074284
0.899139603	0.019	0.956405046	0.958435661	0.877093074	0.980112503	0.932697588	0.079311972
0.921356715	0.019	0.943969071	0.944493297	0.872068676	0.967676529	0.920261613	0.071900396
0.943573828	0.019	0.931953455	0.931161699	0.867044278	0.955660913	0.908245997	0.064909178
0.96579094	0.019	0.919447695	0.918393945	0.862019879	0.943155153	0.895740238	0.057427816
0.988008052	0.019	0.90643776	0.906146378	0.856995481	0.930145218	0.882730302	0.049442279
1.010225165	0.019	0.893710063	0.894378679	0.851971083	0.917417521	0.870002605	0.041738979
1.032442277	0.019	0.881999125	0.883053813	0.846946685	0.905706583	0.858291667	0.035052439
1.054659389	0.019	0.871394181	0.872137884	0.841922287	0.895101639	0.847686724	0.029471894
1.076876501	0.019	0.861457925	0.861599955	0.836897889	0.885165382	0.837750467	0.024560036
1.099093614	0.019	0.851699369	0.851411838	0.831873491	0.875406827	0.827991911	0.019825878
1.121310726	0.019	0.841898893	0.841547875	0.826849093	0.865606351	0.818191435	0.0150498
1.143527838	0.019	0.832129627	0.831984728	0.821824695	0.855837085	0.80842217	0.010304932
1.165744951	0.019	0.822599219	0.822701169	0.816800297	0.846306677	0.798891761	0.005798922
1.187962063	0.019	0.81347151	0.813677887	0.811775899	0.837178968	0.789764052	0.001695611
1.210179175	0.019	0.804764551	0.804897306	0.806751501	0.828472008	0.781057093	-0.00198695
1.232396287	0.019	0.796364076	0.796343419	0.801727103	0.820071533	0.772656618	-0.005363027
1.2546134	0.019	0.78812674	0.788001636	0.796702705	0.811834197	0.764419282	-0.008575965
1.276830512	0.019	0.779985008	0.779858644	0.791678307	0.803692466	0.756277551	-0.011693298
1.299047624	0.019	0.771969509	0.771902282	0.786653909	0.795676967	0.748262051	-0.014684399
1.321264737	0.019	0.764145858	0.76412143	0.781629511	0.787853316	0.7404384	-0.017483653
1.343481849	0.019	0.756539937	0.756505904	0.776605112	0.780247394	0.732832479	-0.020065176
1.365698961	0.019	0.749120403	0.749046367	0.771580714	0.772827861	0.725412945	-0.022460311
1.387916073	0.019	0.741837663	0.741734245	0.766556316	0.765545121	0.718130205	-0.024718653
1.410133186	0.019	0.73466667	0.734561656	0.761531918	0.758374128	0.710959212	-0.026865248
1.432350298	0.019	0.727613298	0.727521339	0.75650752	0.751320756	0.70390584	-0.028894222
1.45456741	0.019	0.720690964	0.7206066	0.751483122	0.744398422	0.696983507	-0.030792158
1.476784523	0.019	0.713899688	0.713811257	0.746458724	0.737607146	0.690192231	-0.032559036
1.499001635	0.019	0.707226025	0.70712959	0.741434326	0.730933483	0.683518567	-0.034208301
1.521218747	0.019	0.700655871	0.700556303	0.736409928	0.724363329	0.676948413	-0.035754057
1.543435859	0.019	0.69418304	0.694086479	0.73138553	0.717890498	0.670475582	-0.03720249
1.565652972	0.019	0.687807217	0.687715554	0.726361132	0.711514675	0.664099759	-0.038553915
1.587870084	0.019	0.68152758	0.681439278	0.721336734	0.705235038	0.657820122	-0.039809154
1.610087196	0.019	0.675339929	0.675253692	0.716312336	0.699047387	0.651632471	-0.040972407
1.632304309	0.019	0.669238551	0.669155101	0.711287938	0.692946009	0.645531094	-0.042049386
1.654521421	0.019	0.663218948	0.663140052	0.70626354	0.686926406	0.63951149	-0.043044592
1.676738533	0.019	0.657278398	0.657205313	0.701239142	0.680985856	0.63357094	-0.043960744
1.698955645	0.019	0.651414747	0.651347855	0.696214744	0.675122205	0.62770729	-0.044799996
1.721172758	0.019	0.645625384	0.645564836	0.691190345	0.669332842	0.621917927	-0.045564961
1.74338987	0.019	0.63990731	0.639853585	0.686165947	0.663614768	0.616199852	-0.046258638
1.765606982	0.019	0.63425773	0.634211588	0.681141549	0.657965188	0.610550272	-0.046883819
1.787824095	0.019	0.62867433	0.628636477	0.676117151	0.652381787	0.604966872	-0.047442822
1.810041207	0.019	0.623155072	0.623126018	0.671092753	0.64686253	0.599447614	-0.047937681
1.832258319	0.019	0.617697917	0.617678099	0.666068355	0.641405375	0.59399046	-0.048370438
1.854475431	0.019	0.61230079	0.612290726	0.661043957	0.636008248	0.588593332	-0.048743167
1.876692544	0.019	0.606961742	0.606962008	0.656019559	0.6306692	0.583254284	-0.049057817
1.898909656	0.019	0.601679054	0.601690154	0.650995161	0.625386512	0.577971596	-0.049316107
1.921126768	0.019	0.596451133	0.596473464	0.645970763	0.62015859	0.572743675	-0.04951963
1.943343881	0.019	0.591276329	0.591310323	0.640946365	0.614983787	0.567568872	-0.049670035
1.965560993	0.019	0.586152952	0.586199194	0.635921967	0.60986041	0.562445495	-0.049769014
1.987778105	0.019	0.581079516	0.581138615	0.630897569	0.604786974	0.557372058	-0.049818053
2.009995217	0.019	0.576054889	0.576127192	0.625873171	0.599762347	0.552347431	-0.049818282
