TITLE = "oxygen alpha expdata" 

  VARIABLES = exp_Tr	exp_alpha_5Mpa	exp_alpha_4.5MPa	exp_alpha_4MPa
0.388098318	0.762403097	0.76544542	0.768299046
0.420439845	0.785341042	0.788184156	0.791228242
0.452781371	0.806586852	0.809633762	0.812694287
0.485122898	0.826632127	0.829718158	0.832988621
0.517464424	0.845879717	0.849026747	0.852352153
0.549805951	0.864198679	0.867431014	0.870836181
0.582147477	0.881639955	0.88512787	0.888494622
0.614489004	0.898398237	0.901879045	0.905522997
0.64683053	0.914385451	0.917904633	0.921585833
0.679172057	0.929432345	0.933284035	0.937051086
0.711513583	0.943905139	0.947768979	0.951566746
0.74385511	0.957476615	0.961430537	0.965442646
0.776196636	0.970198676	0.974300563	0.978427022
0.808538163	0.982072602	0.986293275	0.990539127
0.84087969	0.992945243	0.997277666	1.001646444
0.873221216	1.002646934	1.007071407	1.011527961
0.905562743	1.01083048	1.015277987	1.01975009
0.937904269	1.01678143	1.021035438	1.025214738
0.970245796	1.018619193	1.021489505	0.998008892
1.002587322	0.99476656	0.980853283	0.969304758
1.034928849	0.964813424	0.955178341	0.945856827
1.067270375	0.941457289	0.933169068	0.925050635
1.099611902	0.920748416	0.913409424	0.905998794
1.131953428	0.901817216	0.895089195	0.888380426
1.164294955	0.884257547	0.877925108	0.871761
1.196636481	0.867751088	0.861890924	0.855995545
1.228978008	0.852130377	0.846619711	0.841073037
1.261319534	0.83729604	0.832113571	0.826867566
1.293661061	0.823221487	0.818082195	0.813242533
1.326002587	0.809561415	0.804900483	0.800118584
1.358344114	0.796380555	0.792038668	0.787496046
1.39068564	0.783945697	0.779674162	0.775318986
1.423027167	0.771748189	0.76766558	0.763500176
1.455368693	0.759967001	0.756073829	0.752049043
1.48771022	0.748554048	0.744787078	0.740939163
1.520051746	0.737393885	0.733770554	0.730089505
1.552393273	0.726580127	0.723123315	0.719582545
1.584734799	0.716005223	0.712683595	0.70922566
1.617076326	0.70569674	0.702513874	0.699189751
1.649417853	0.695653299	0.692530982	0.68932241
1.681759379	0.685791141	0.682753626	0.679751402
1.714100906	0.676102393	0.673275283	0.670261463
1.746442432	0.666629289	0.663885281	0.661001963
1.778783959	0.657411236	0.654660519	0.651918324
1.811125485	0.648302047	0.645729361	0.642999931
1.843467012	0.639340133	0.636907782	0.634312077
1.875808538	0.63060847	0.628157407	0.625681841
1.908150065	0.621901841	0.619653351	0.617191212
1.940491591	0.613399222	0.6112381	0.608877559
1.972833118	0.605132042	0.602981982	0.600724798
2.005174644	0.596939695	0.594742122	0.592654281
2.037516171	0.588719434	0.586658145	0.584748095
2.069857697	0.580771417	0.578854248	0.576811799
2.102199224	0.572922158	0.571025676	0.569078261
2.13454075	0.565090393	0.563402519	0.561516347
2.166882277	0.557506899	0.55577297	0.554045004
2.199223803	0.550028559	0.548317931	0.546526648
2.23156533	0.542446304	0.540971688	0.539074616
2.263906856	0.535115641	0.533620904	0.531792057
2.296248383	0.52776546	0.526372644	0.52476898
2.328589909	0.520741297	0.519325877	0.517718539
2.360931436	0.513695532	0.512269651	0.51064622
2.393272962	0.506697417	0.50523915	0.503926049
2.425614489	0.499539818	0.498251831	0.497150323
2.457956016	0.492789937	0.491645464	0.490239892
2.490297542	0.485935363	0.484726934	0.483526681
2.522639069	0.479256462	0.478140753	0.476912195
2.554980595	0.472748331	0.471466134	0.470257502
2.587322122	0.466057458	0.464992048	0.463883432
0.847347995	0.994992159	0.999345827	1.003732066
0.8538163	0.996982953	1.001353398	1.005762412
0.860284605	0.998925751	1.003317579	1.007747902
0.866752911	1.000813169	1.005224865	1.009670107
0.873221216	1.002646934	1.007071407	1.011527961
0.879689521	1.004422163	1.008855027	1.013329082
0.886157827	1.006128316	1.01057529	1.015055587
0.892626132	1.007771386	1.012226826	1.016706987
0.899094437	1.00933774	1.01379389	1.018273419
0.912031048	1.012228788	1.016671507	1.021120382
0.918499353	1.013542274	1.017954284	1.022370997
0.924967658	1.014740575	1.019125817	1.023488852
0.931435964	1.015831107	1.020160253	1.024450019
0.937904269	1.01678143	1.021035438	1.025214738
0.944372574	1.017582728	1.021732388	1.025743256
0.95084088	1.01820802	1.022200948	1.025960116
0.957309185	1.018626567	1.022391184	1.025741271
0.96377749	1.018782601	1.022209738	1.005325122
0.976714101	1.018018693	1.019860905	0.99146365
0.983182406	1.016792023	1.001031149	0.985452918
0.989650712	1.014485704	0.993439298	0.9797974
0.996119017	1.009336541	0.986859738	0.974419093
1.002587322	0.99476656	0.980853283	0.969304758
1.009055627	0.987556019	0.975237873	0.964294029
1.015523933	0.981251829	0.969924202	0.959492237
1.021992238	0.975462451	0.96481265	0.954864
1.028460543	0.970010702	0.959927573	0.950343779
1.041397154	0.959848356	0.950554983	0.941515359
1.047865459	0.955050391	0.946087522	0.937333605
1.054333765	0.950387278	0.941666837	0.933194547
1.06080207	0.945862183	0.937400044	0.929130878
1.067270375	0.941457289	0.933169068	0.925050635
1.07373868	0.937131214	0.929074535	0.921174477
1.080206986	0.932898949	0.925053456	0.917261063
1.086675291	0.928775216	0.921080469	0.913522338
1.093143596	0.924730206	0.917190892	0.909653923
