TITLE = "oxygen alpha prediction MODEL 2" 

  VARIABLES = Tr	model_uncorrected	model_corrected	bias	upper	lower

0.388146021	0.958603937	0.769100687	-0.189503251	0.779907988	0.758293385
0.392546735	0.957679027	0.770319809	-0.187359218	0.781127111	0.759512507
0.396947449	0.956754117	0.771912273	-0.184841844	0.782719575	0.761104972
0.401348163	0.955829207	0.773842963	-0.181986245	0.784650264	0.763035661
0.405748877	0.954904297	0.776074938	-0.178829359	0.78688224	0.765267636
0.410149591	0.953979387	0.778570136	-0.175409252	0.789377438	0.767762834
0.414550305	0.953054478	0.781290068	-0.17176441	0.792097369	0.770482766
0.418951019	0.952129568	0.784196508	-0.167933059	0.79500381	0.773389206
0.423351733	0.951204658	0.787252151	-0.163952507	0.798059453	0.776444849
0.427752447	0.950279748	0.790421217	-0.159858531	0.801228519	0.779613915
0.432153161	0.949354838	0.793670006	-0.155684832	0.804477308	0.782862704
0.436553875	0.948429928	0.796967374	-0.151462554	0.807774676	0.786160072
0.44095459	0.947505018	0.800285132	-0.147219886	0.811092434	0.78947783
0.445355304	0.946580108	0.803598352	-0.142981756	0.814405653	0.79279105
0.449756018	0.945655198	0.806885586	-0.138769612	0.817692887	0.796078284
0.454156732	0.944730288	0.810128985	-0.134601303	0.820936287	0.799321684
0.458557446	0.943805378	0.813314333	-0.130491045	0.824121635	0.802507031
0.46295816	0.942880468	0.816430978	-0.12644949	0.82723828	0.805623677
0.467358874	0.941955558	0.819471696	-0.122483862	0.830278998	0.808664394
0.471759588	0.941030648	0.822432467	-0.118598181	0.833239769	0.811625165
0.476160302	0.940105738	0.825312197	-0.114793542	0.836119498	0.814504895
0.480561016	0.939180828	0.828112378	-0.111068451	0.83891968	0.817305076
0.48496173	0.938255918	0.830836719	-0.1074192	0.841644021	0.820029417
0.489362444	0.937331009	0.833490741	-0.103840268	0.844298042	0.822683439
0.493763159	0.936406099	0.836081364	-0.100324735	0.846888665	0.825274062
0.498163873	0.935481189	0.838616496	-0.096864692	0.849423798	0.827809194
0.502564587	0.934556279	0.841104632	-0.093451646	0.851911934	0.830297331
0.506965301	0.933631369	0.843554477	-0.090076892	0.854361779	0.832747175
0.511366015	0.932706459	0.845974604	-0.086731855	0.856781906	0.835167302
0.515766729	0.931781549	0.848373155	-0.083408394	0.859180457	0.837565853
0.520167443	0.930856639	0.850757587	-0.080099052	0.861564889	0.839950285
0.524568157	0.929931729	0.853134474	-0.076797255	0.863941776	0.842327173
0.528968871	0.929006819	0.855509359	-0.07349746	0.866316661	0.844702058
0.533369585	0.928081909	0.857886662	-0.070195247	0.868693964	0.847079361
0.537770299	0.927156999	0.860269641	-0.066887358	0.871076943	0.849462339
0.542171013	0.926232089	0.862660399	-0.06357169	0.873467701	0.851853098
0.546571727	0.925307179	0.865059939	-0.060247241	0.87586724	0.854252637
0.550972442	0.924382269	0.867468247	-0.056914022	0.878275549	0.856660945
0.555373156	0.923457359	0.869884418	-0.053572942	0.88069172	0.859077116
0.55977387	0.92253245	0.872306791	-0.050225658	0.883114093	0.861499489
0.564174584	0.92160754	0.874733109	-0.046874431	0.885540411	0.863925807
0.568575298	0.92068263	0.877160676	-0.043521954	0.887967977	0.866353374
0.572976012	0.91975772	0.879586521	-0.040171199	0.890393823	0.868779219
0.577376726	0.91883281	0.882007551	-0.036825259	0.892814852	0.871200249
0.58177744	0.9179079	0.884420687	-0.033487213	0.895227989	0.873613385
0.586178154	0.91698299	0.88682299	-0.03016	0.897630292	0.876015688
0.590578868	0.91605808	0.889211758	-0.026846322	0.90001906	0.878404456
0.594979582	0.91513317	0.891584602	-0.023548568	0.902391904	0.8807773
0.599380296	0.91420826	0.893939498	-0.020268762	0.9047468	0.883132196
0.603781011	0.91328335	0.896274813	-0.017008537	0.907082115	0.885467511
0.608181725	0.91235844	0.898589311	-0.013769129	0.909396613	0.887782009
0.612582439	0.91143353	0.900882133	-0.010551397	0.911689435	0.890074832
0.616983153	0.91050862	0.90315277	-0.007355851	0.913960071	0.892345468
0.621383867	0.90958371	0.905401008	-0.004182703	0.91620831	0.894593706
0.625784581	0.9086588	0.907626881	-0.001031919	0.918434183	0.896819579
0.630185295	0.90773389	0.909830608	0.002096717	0.920637909	0.899023306
0.634586009	0.906808981	0.912012532	0.005203551	0.922819834	0.90120523
0.638986723	0.905884071	0.914173069	0.008288998	0.92498037	0.903365767
0.643387437	0.904959161	0.916312655	0.011353494	0.927119957	0.905505353
0.647788151	0.904034251	0.918431714	0.014397463	0.929239016	0.907624412
0.652188865	0.903109341	0.920530629	0.017421288	0.93133793	0.909723327
0.65658958	0.902184431	0.92260973	0.020425299	0.933417032	0.911802428
0.660990294	0.901259521	0.924669301	0.02340978	0.935476603	0.913861999
0.665391008	0.900334611	0.926709589	0.026374978	0.93751689	0.915902287
0.669791722	0.899409701	0.928730833	0.029321132	0.939538134	0.917923531
0.674192436	0.898484791	0.930733299	0.032248508	0.941540601	0.919925998
0.67859315	0.897559881	0.932717321	0.03515744	0.943524623	0.92191002
0.682993864	0.896634971	0.934683342	0.038048371	0.945490644	0.92387604
