TITLE = "oxygen alpha" 

  VARIABLES = temp	PR_liq_alpha_01MPa	PR_liq_alpha_1MPa	PR_liq_alpha_2MPa	PR_liq_alpha_4MPa	PR_liq_alpha_5MPa	PR_liq_alpha_7MPa	PR_liq_alpha_8MPa	PR_liq_alpha_10MPa
60	0.790907151	0.785657918	0.779826538	0.768299046	0.762403097	0.751142074	0.745371979	0.734166068
61	0.795838058	0.790519961	0.784612387	0.772932062	0.767159475	0.755749892	0.75011308	0.738764893
62	0.800724727	0.795337699	0.789353867	0.777713911	0.771867227	0.760309009	0.754597643	0.743101956
63	0.805388204	0.799929876	0.794053203	0.782258155	0.776334745	0.764821681	0.759035735	0.747599313
64	0.810015863	0.804667595	0.798712518	0.786762268	0.780953922	0.769093009	0.763429488	0.751843409
65	0.81460966	0.809187915	0.803151757	0.791228242	0.785341042	0.773521078	0.767583296	0.756045135
66	0.819171462	0.813676184	0.807558888	0.795657976	0.789691876	0.777715744	0.771896304	0.760206395
67	0.823703051	0.818134168	0.811935659	0.799869988	0.79400822	0.782066884	0.77617075	0.764329004
68	0.82803501	0.822563555	0.816459817	0.804234495	0.798107831	0.786192074	0.780216587	0.768414693
69	0.832513115	0.826794441	0.820604726	0.808388511	0.802362146	0.790285983	0.784231098	0.772465114
70	0.836798621	0.831173292	0.824900144	0.812694287	0.806586852	0.794350141	0.788403739	0.776481843
71	0.841064055	0.835360475	0.829171454	0.816796392	0.810605175	0.798386011	0.792358186	0.780275026
72	0.845310765	0.839694595	0.833251631	0.820875599	0.814600517	0.802394992	0.796285677	0.784230617
73	0.849540044	0.843843519	0.837480686	0.824933214	0.81874868	0.806378424	0.800187537	0.788156814
74	0.853753134	0.847976147	0.841524903	0.828970488	0.82270003	0.810337593	0.804065031	0.791868952
75	0.857793439	0.852093654	0.84555386	0.832988621	0.826632127	0.814097457	0.807919373	0.795741972
76	0.861979479	0.856038784	0.849568667	0.836822286	0.830546106	0.81801346	0.811751728	0.799406854
77	0.865998594	0.860131172	0.85357039	0.840807286	0.834443055	0.821735942	0.815563212	0.803050664
78	0.870009561	0.86405689	0.857560057	0.844613486	0.838158377	0.825613212	0.819181165	0.806674439
79	0.874013332	0.868128249	0.86153866	0.848569517	0.842026061	0.829302458	0.822955736	0.81045657
80	0.878010828	0.872038391	0.865353133	0.852352153	0.845879717	0.83297739	0.826542131	0.814041569
81	0.881855938	0.875942975	0.869314122	0.856125233	0.84955971	0.836638902	0.830283658	0.817435309
82	0.885845229	0.879695069	0.873116179	0.85973351	0.853230818	0.840287859	0.833842109	0.820988514
83	0.889687264	0.883592716	0.876914116	0.863491646	0.85689384	0.843762382	0.837388674	0.82452629
84	0.89352978	0.887342877	0.880561529	0.867242663	0.860549545	0.847390283	0.840924137	0.828049458
85	0.897373491	0.891094011	0.884355143	0.870836181	0.864198679	0.850848526	0.844449251	0.831391003
86	0.901080717	0.894846792	0.888003015	0.874427316	0.86768965	0.85445838	0.84780404	0.834722564
87	0.904793882	0.898601874	0.891652938	0.878016717	0.871178666	0.857903152	0.851312148	0.838209492
88	0.908513576	0.902222298	0.895305523	0.881605017	0.874815409	0.861342964	0.85465439	0.841521532
89	0.912240379	0.905849571	0.898822538	0.885048183	0.878153237	0.864625223	0.857992063	0.844663864
90	0.915843255	0.909484233	0.902483816	0.888494622	0.881639955	0.868058448	0.861325738	0.847961903
