TITLE = "oxygen alpha prediction exponential Optimal theta 0.1273314 " 

  VARIABLES = Tr	model_uncorrected	model_corrected	bias	upper	lower
0.388098318	1.298761236	0.762556882	-0.536204354	0.818264033	0.706849731
0.390299743	1.297151333	0.763780183	-0.53337115	0.819320633	0.708239734
0.392501169	1.295549423	0.765012194	-0.530537229	0.820392074	0.709632315
0.394702594	1.293955408	0.76625269	-0.527702717	0.821478001	0.71102738
0.396904019	1.292369191	0.767501448	-0.524867743	0.822578059	0.712424837
0.399105444	1.290790678	0.768758246	-0.522032431	0.823691897	0.713824596
0.40130687	1.289219775	0.770022865	-0.51919691	0.824819164	0.715226567
0.403508295	1.287656393	0.771295088	-0.516361305	0.825959511	0.716630664
0.40570972	1.28610044	0.772574697	-0.513525742	0.827112593	0.718036802
0.407911145	1.284551828	0.77386148	-0.510690348	0.828278065	0.719444895
0.410112571	1.283010471	0.775155222	-0.507855249	0.829455584	0.720854861
0.412313996	1.281476284	0.776455714	-0.50502057	0.83064481	0.722266617
0.414515421	1.279949182	0.777762745	-0.502186437	0.831845407	0.723680083
0.416716846	1.278429083	0.779076107	-0.499352975	0.833057037	0.725095178
0.418918271	1.276915906	0.780395595	-0.496520311	0.834279369	0.726511822
0.421119697	1.275409572	0.781721004	-0.493688567	0.835512072	0.727929936
0.423321122	1.273910001	0.78305213	-0.490857871	0.836754819	0.729349442
0.425522547	1.272417117	0.784388772	-0.488028345	0.838007283	0.730770261
0.427723972	1.270930845	0.785730729	-0.485200115	0.839269142	0.732192317
0.429925398	1.269451108	0.787077804	-0.482373305	0.840540077	0.73361553
0.432126823	1.267977835	0.788429797	-0.479548038	0.841819771	0.735039823
0.434328248	1.266510952	0.789786514	-0.476724438	0.84310791	0.736465119
0.436529673	1.265050389	0.791147761	-0.473902628	0.844404182	0.73789134
0.438731098	1.263596076	0.792513344	-0.471082732	0.84570828	0.739318408
0.440932524	1.262147943	0.793883072	-0.468264872	0.847019897	0.740746246
0.443133949	1.260705924	0.795256754	-0.465449171	0.848338733	0.742174775
0.445335374	1.259269952	0.796634202	-0.46263575	0.849664487	0.743603916
0.447536799	1.25783996	0.798015228	-0.459824732	0.850996864	0.745033591
0.449738225	1.256415885	0.799399646	-0.457016239	0.852335572	0.74646372
0.45193965	1.254997662	0.800787271	-0.454210391	0.853680319	0.747894223
0.454141075	1.253585229	0.80217792	-0.451407309	0.85503082	0.74932502
0.4563425	1.252178525	0.803571411	-0.448607114	0.856386792	0.75075603
0.458543926	1.250777489	0.804967563	-0.445809926	0.857747954	0.752187172
0.460745351	1.249382061	0.806366196	-0.443015865	0.859114029	0.753618363
0.462946776	1.247992181	0.807767132	-0.440225049	0.860484744	0.75504952
0.465148201	1.246607793	0.809170194	-0.437437599	0.861859829	0.75648056
0.467349626	1.245228839	0.810575206	-0.434653633	0.863239015	0.757911398
0.469551052	1.243855263	0.811981994	-0.431873269	0.864622039	0.75934195
0.471752477	1.24248701	0.813390385	-0.429096625	0.866008641	0.760772129
0.473953902	1.241124024	0.814800206	-0.426323817	0.867398563	0.76220185
0.476155327	1.239766252	0.816211287	-0.423554964	0.86879155	0.763631024
0.478356753	1.238413641	0.817623459	-0.420790182	0.870187352	0.765059565
0.480558178	1.237066139	0.819036552	-0.418029587	0.871585722	0.766487382
0.482759603	1.235723694	0.8204504	-0.415273294	0.872986413	0.767914387
0.484961028	1.234386256	0.821864838	-0.412521418	0.874389186	0.769340489
0.487162454	1.233053774	0.823279699	-0.409774075	0.875793801	0.770765597
0.489363879	1.2317262	0.824694822	-0.407031379	0.877200025	0.772189618
0.491565304	1.230403485	0.826110043	-0.404293443	0.878607624	0.773612461
0.493766729	1.229085581	0.827525201	-0.40156038	0.880016371	0.775034032
0.495968154	1.227772441	0.828940138	-0.398832303	0.88142604	0.776454236
0.49816958	1.226464018	0.830354693	-0.396109325	0.882836407	0.777872978
0.500371005	1.225160267	0.831768709	-0.393391558	0.884247255	0.779290164
0.50257243	1.223861142	0.833182031	-0.390679111	0.885658365	0.780705696
0.504773855	1.222566599	0.834594502	-0.387972097	0.887069526	0.782119477
0.506975281	1.221276593	0.836005968	-0.385270625	0.888480526	0.783531411
0.509176706	1.219991082	0.837416278	-0.382574804	0.889891158	0.784941398
0.511378131	1.218710023	0.838825279	-0.379884744	0.891301217	0.78634934
0.513579556	1.217433373	0.84023282	-0.377200553	0.892710503	0.787755136
0.515780981	1.216161091	0.841638752	-0.374522339	0.894118815	0.789158688
0.517982407	1.214893136	0.843042926	-0.37185021	0.895525959	0.790559894
0.520183832	1.213629468	0.844445197	-0.369184271	0.896931741	0.791958653
0.522385257	1.212370046	0.845845417	-0.366524629	0.898335971	0.793354863
0.524586682	1.211114831	0.847243442	-0.363871389	0.899738461	0.794748423
0.526788108	1.209863785	0.848639128	-0.361224657	0.901139027	0.796139229
0.528989533	1.208616869	0.850032333	-0.358584536	0.902537487	0.797527179
0.531190958	1.207374045	0.851422914	-0.355951131	0.90393366	0.798912169
0.533392383	1.206135276	0.852810733	-0.353324543	0.905327371	0.800294095
0.535593809	1.204900526	0.854195649	-0.350704876	0.906718446	0.801672853
0.537795234	1.203669757	0.855577526	-0.348092232	0.908106712	0.803048339
0.539996659	1.202442934	0.856956224	-0.34548671	0.909492	0.804420449
0.542198084	1.201220022	0.858331611	-0.342888412	0.910874145	0.805789076
0.544399509	1.200000986	0.859703549	-0.340297437	0.912252981	0.807154117
0.546600935	1.198785791	0.861071906	-0.337713884	0.913628348	0.808515465
0.54880236	1.197574403	0.862436551	-0.335137852	0.915000087	0.809873015
0.551003785	1.196366788	0.86379735	-0.332569438	0.916368039	0.811226661
0.55320521	1.195162915	0.865154175	-0.33000874	0.917732052	0.812576298
0.555406636	1.193962749	0.866506896	-0.327455853	0.919091973	0.81392182
0.557608061	1.192766258	0.867855386	-0.324910872	0.920447651	0.815263121
0.559809486	1.191573411	0.869199518	-0.322373894	0.92179894	0.816600095
0.562010911	1.190384177	0.870539165	-0.319845011	0.923145695	0.817932636
0.564212337	1.189198523	0.871874205	-0.317324318	0.924487772	0.819260638
0.566413762	1.188016419	0.873204513	-0.314811906	0.92582503	0.820583996
0.568615187	1.186837836	0.874529967	-0.312307869	0.927157331	0.821902603
0.570816612	1.185662742	0.875850446	-0.309812296	0.928484537	0.823216356
0.573018037	1.184491109	0.877165831	-0.307325278	0.929806515	0.824525147
0.575219463	1.183322907	0.878476002	-0.304846905	0.931123132	0.825828871
0.577420888	1.182158108	0.879780842	-0.302377266	0.932434258	0.827127425
0.579622313	1.180996683	0.881080233	-0.299916449	0.933739764	0.828420703
0.581823738	1.179838603	0.882374062	-0.297464541	0.935039524	0.8297086
0.584025164	1.178683841	0.883662213	-0.295021628	0.936333413	0.830991013
0.586226589	1.17753237	0.884944573	-0.292587797	0.937621309	0.832267837
0.588428014	1.176384162	0.88622103	-0.290163132	0.938903092	0.833538969
0.590629439	1.175239191	0.887491474	-0.287747717	0.940178642	0.834804306
0.592830864	1.17409743	0.888755794	-0.285341636	0.941447843	0.836063745
0.59503229	1.172958853	0.890013882	-0.282944971	0.94271058	0.837317184
0.597233715	1.171823434	0.89126563	-0.280557804	0.943966739	0.83856452
0.59943514	1.170691148	0.892510932	-0.278180216	0.94521621	0.839805653
0.601636565	1.169561969	0.893749682	-0.275812286	0.946458883	0.841040482
0.603837991	1.168435872	0.894981778	-0.273454095	0.94769465	0.842268905
0.606039416	1.167312833	0.896207114	-0.271105719	0.948923405	0.843490824
0.608240841	1.166192828	0.89742559	-0.268767238	0.950145042	0.844706138
0.610442266	1.165075832	0.898637105	-0.266438727	0.951359461	0.845914749
0.612643692	1.163961822	0.89984156	-0.264120262	0.952566559	0.84711656
0.614845117	1.162850774	0.901038855	-0.261811919	0.953766238	0.848311471
0.617046542	1.161742664	0.902228893	-0.259513771	0.954958399	0.849499387
0.619247967	1.160637471	0.903411579	-0.257225892	0.956142946	0.850680212
0.621449392	1.15953517	0.904586817	-0.254948353	0.957319785	0.851853849
0.623650818	1.158435741	0.905754513	-0.252681227	0.958488822	0.853020204
0.625852243	1.15733916	0.906914575	-0.250424584	0.959649967	0.854179184
0.628053668	1.156245405	0.908066911	-0.248178494	0.960803128	0.855330693
0.630255093	1.155154456	0.90921143	-0.245943026	0.961948218	0.856474641
0.632456519	1.15406629	0.910348043	-0.243718247	0.96308515	0.857610935
0.634657944	1.152980886	0.911476661	-0.241504225	0.964213839	0.858739484
0.636859369	1.151898224	0.912597199	-0.239301025	0.965334199	0.859860198
0.639060794	1.150818282	0.913709568	-0.237108714	0.966446149	0.860972988
0.64126222	1.149741041	0.914813686	-0.234927355	0.967549607	0.862077765
0.643463645	1.148666479	0.915909468	-0.232757011	0.968644495	0.863174442
0.64566507	1.147594578	0.916996832	-0.230597746	0.969730732	0.864262931
0.647866495	1.146525316	0.918075695	-0.228449621	0.970808243	0.865343148
0.65006792	1.145458675	0.919145979	-0.226312696	0.971876952	0.866415006
0.652269346	1.144394635	0.920207603	-0.224187032	0.972936784	0.867478423
0.654470771	1.143333178	0.921260491	-0.222072687	0.973987667	0.868533315
0.656672196	1.142274283	0.922304564	-0.219969719	0.975029528	0.869579599
0.658873621	1.141217932	0.923339747	-0.217878185	0.976062299	0.870617196
0.661075047	1.140164107	0.924365967	-0.215798141	0.977085909	0.871646024
0.663276472	1.13911279	0.925383148	-0.213729642	0.978100291	0.872666005
0.665477897	1.138063961	0.92639122	-0.211672742	0.979105379	0.87367706
0.667679322	1.137017604	0.92739011	-0.209627494	0.980101107	0.874679113
0.669880748	1.135973701	0.928379749	-0.207593952	0.981087412	0.875672087
0.672082173	1.134932234	0.929360068	-0.205572165	0.98206423	0.876655907
0.674283598	1.133893185	0.930331	-0.203562185	0.983031501	0.877630499
0.676485023	1.132856538	0.931292477	-0.201564061	0.983989164	0.87859579
0.678686448	1.131822275	0.932244434	-0.199577841	0.984937159	0.87955171
0.680887874	1.13079038	0.933186808	-0.197603572	0.98587543	0.880498185
0.683089299	1.129760836	0.934119534	-0.195641302	0.986803919	0.881435148
0.685290724	1.128733626	0.93504255	-0.193691076	0.987722571	0.88236253
0.687492149	1.127708735	0.935955797	-0.191752938	0.988631331	0.883280262
0.689693575	1.126686145	0.936859213	-0.189826932	0.989530147	0.88418828
0.691895	1.125665842	0.937752741	-0.187913101	0.990418966	0.885086517
0.694096425	1.124647809	0.938636323	-0.186011486	0.991297737	0.885974909
0.69629785	1.123632031	0.939509902	-0.184122129	0.99216641	0.886853394
0.698499275	1.122618492	0.940373424	-0.182245068	0.993024937	0.887721911
0.700700701	1.121607177	0.941226834	-0.180380344	0.99387327	0.888580397
0.702902126	1.120598071	0.942070079	-0.178527993	0.994711362	0.889428795
0.705103551	1.119591159	0.942903107	-0.176688052	0.995539169	0.890267045
0.707304976	1.118586426	0.943725868	-0.174860558	0.996356645	0.891095091
0.709506402	1.117583857	0.944538312	-0.173045544	0.997163748	0.891912876
0.711707827	1.116583437	0.945340391	-0.171243047	0.997960435	0.892720347
0.713909252	1.115585154	0.946132057	-0.169453097	0.998746665	0.893517449
0.716110677	1.114588991	0.946913264	-0.167675727	0.999522398	0.89430413
0.718312103	1.113594935	0.947683967	-0.165910968	1.000287595	0.89508034
0.720513528	1.112602973	0.948444122	-0.16415885	1.001042217	0.895846027
0.722714953	1.111613089	0.949193687	-0.162419403	1.001786228	0.896601145
0.724916378	1.110625272	0.949932618	-0.160692653	1.002519592	0.897345644
0.727117803	1.109639506	0.950660877	-0.158978629	1.003242274	0.898079479
0.729319229	1.108655779	0.951378423	-0.157277356	1.00395424	0.898802605
0.731520654	1.107674077	0.952085217	-0.15558886	1.004655457	0.899514978
0.733722079	1.106694388	0.952781224	-0.153913164	1.005345893	0.900216555
0.735923504	1.105716698	0.953466405	-0.152250292	1.006025516	0.900907295
0.73812493	1.104740994	0.954140728	-0.150600266	1.006694298	0.901587157
0.740326355	1.103767264	0.954804156	-0.148963107	1.007352209	0.902256104
0.74252778	1.102795494	0.955456659	-0.147338836	1.00799922	0.902914097
0.744729205	1.101825673	0.956098203	-0.145727471	1.008635306	0.903561099
0.746930631	1.100857789	0.956728758	-0.144129031	1.009260439	0.904197076
0.749132056	1.099891828	0.957348294	-0.142543533	1.009874595	0.904821994
0.751333481	1.098927778	0.957956784	-0.140970994	1.01047775	0.905435818
0.753534906	1.097965629	0.9585542	-0.139411429	1.01106988	0.906038519
0.755736331	1.097005367	0.959140515	-0.137864852	1.011650963	0.906630066
0.757937757	1.096046981	0.959715704	-0.136331277	1.012220978	0.90721043
0.760139182	1.095090459	0.960279743	-0.134810716	1.012779905	0.907779582
0.762340607	1.09413579	0.960832609	-0.13330318	1.013327723	0.908337496
0.764542032	1.093182962	0.961374281	-0.131808681	1.013864415	0.908884147
0.766743458	1.092231964	0.961904736	-0.130327227	1.014389963	0.90941951
0.768944883	1.091282784	0.962423956	-0.128858828	1.01490435	0.909943562
0.771146308	1.090335412	0.962931921	-0.127403491	1.01540756	0.910456282
0.773347733	1.089389837	0.963428615	-0.125961222	1.01589958	0.910957649
0.775549158	1.088446047	0.963914019	-0.124532028	1.016380394	0.911447644
0.777750584	1.087504031	0.964388119	-0.123115912	1.01684999	0.911926248
0.779952009	1.08656378	0.9648509	-0.121712879	1.017308356	0.912393445
0.782153434	1.085625282	0.965302349	-0.120322933	1.01775548	0.912849218
