TITLE = "oxygen alpha prediction MODEL 1" 

  VARIABLES = Tr	model_uncorrected	model_corrected	bias	upper	lower
0.388098318	0.927873931	0.765181244	-0.162692687	0.821005293	0.709357195
0.390299743	0.927464808	0.766370832	-0.161093976	0.822055243	0.710686421
0.392501169	0.927055684	0.767566509	-0.159489175	0.823116015	0.712017004
0.394702594	0.926646561	0.76876817	-0.157878391	0.824187415	0.713348925
0.396904019	0.926237437	0.769975707	-0.15626173	0.825269247	0.714682167
0.399105444	0.925828314	0.771189014	-0.1546393	0.826361313	0.716016716
0.40130687	0.92541919	0.772407983	-0.153011207	0.827463415	0.717352552
0.403508295	0.925010067	0.773632506	-0.151377561	0.828575354	0.718689658
0.40570972	0.924600943	0.774862473	-0.14973847	0.82969693	0.720028016
0.407911145	0.92419182	0.776097775	-0.148094045	0.830827941	0.721367609
0.410112571	0.923782696	0.777338301	-0.146444395	0.831968186	0.722708416
0.412313996	0.923373573	0.778583941	-0.144789632	0.833117463	0.724050418
0.414515421	0.922964449	0.779834582	-0.143129867	0.834275569	0.725393595
0.416716846	0.922555326	0.781090113	-0.141465212	0.835442301	0.726737926
0.418918271	0.922146202	0.782350422	-0.13979578	0.836617455	0.728083389
0.421119697	0.921737079	0.783615394	-0.138121685	0.837800827	0.729429961
0.423321122	0.921327955	0.784884916	-0.136443039	0.838992213	0.730777619
0.425522547	0.920918832	0.786158874	-0.134759958	0.84019141	0.732126338
0.427723972	0.920509708	0.787437152	-0.133072556	0.841398213	0.733476092
0.429925398	0.920100585	0.788719636	-0.131380949	0.842612418	0.734826854
0.432126823	0.919691461	0.790006209	-0.129685252	0.84383382	0.736178598
0.434328248	0.919282338	0.791296755	-0.127985582	0.845062217	0.737531293
0.436529673	0.918873214	0.792591158	-0.126282056	0.846297405	0.73888491
0.438731098	0.918464091	0.793889299	-0.124574792	0.84753918	0.740239418
0.440932524	0.918054967	0.795191061	-0.122863906	0.84878734	0.741594782
0.443133949	0.917645844	0.796496326	-0.121149518	0.850041682	0.742950971
0.445335374	0.91723672	0.797804975	-0.119431745	0.851302004	0.744307947
0.447536799	0.916827597	0.79911689	-0.117710707	0.852568105	0.745665674
0.449738225	0.916418473	0.800431949	-0.115986524	0.853839784	0.747024115
0.45193965	0.91600935	0.801750035	-0.114259315	0.855116841	0.748383228
0.454141075	0.915600226	0.803071026	-0.1125292	0.856399077	0.749742974
0.4563425	0.915191103	0.804394802	-0.110796301	0.857686294	0.75110331
0.458543926	0.914781979	0.805721242	-0.109060738	0.858978292	0.752464191
0.460745351	0.914372856	0.807050224	-0.107322632	0.860274876	0.753825572
0.462946776	0.913963732	0.808381628	-0.105582105	0.861575849	0.755187406
0.465148201	0.913554609	0.80971533	-0.103839278	0.862881017	0.756549643
0.467349626	0.913145485	0.81105121	-0.102094275	0.864190185	0.757912234
0.469551052	0.912736362	0.812389143	-0.100347218	0.865503159	0.759275127
0.471752477	0.912327238	0.813729009	-0.098598229	0.866819749	0.760638269
0.473953902	0.911918115	0.815070683	-0.096847432	0.868139762	0.762001604
0.476155327	0.911508991	0.816414042	-0.095094949	0.869463009	0.763365075
0.478356753	0.911099868	0.817758963	-0.093340904	0.870789302	0.764728625
0.480558178	0.910690744	0.819105323	-0.091585421	0.872118451	0.766092195
0.482759603	0.91028162	0.820452996	-0.089828624	0.873450271	0.767455721
0.484961028	0.909872497	0.82180186	-0.088070637	0.874784576	0.768819143
0.487162454	0.909463373	0.823151789	-0.086311584	0.876121183	0.770182395
0.489363879	0.90905425	0.82450266	-0.08455159	0.877459908	0.771545412
0.491565304	0.908645126	0.825854348	-0.082790779	0.878800569	0.772908126
0.493766729	0.908236003	0.827206727	-0.081029276	0.880142987	0.774270468
0.495968154	0.907826879	0.828559674	-0.079267205	0.881486981	0.775632367
0.49816958	0.907417756	0.829913064	-0.077504692	0.882832375	0.776993753
0.500371005	0.907008632	0.831266771	-0.075741862	0.884178991	0.77835455
0.50257243	0.906599509	0.83262067	-0.073978839	0.885526655	0.779714685
0.504773855	0.906190385	0.833974636	-0.072215749	0.886875191	0.781074081
0.506975281	0.905781262	0.835328544	-0.070452718	0.888224428	0.78243266
0.509176706	0.905372138	0.836682269	-0.068689869	0.889574195	0.783790344
