TITLE = "oxygen alpha prediction Soave Optimal theta 0.1273314 " 

  VARIABLES = Tr	model_uncorrected	model_corrected	bias	upper	lower
0.388098318	1.311917432	0.762173776	-0.549743656	0.817938107	0.706409445
0.390299743	1.310359292	0.763459487	-0.546899805	0.819056544	0.707862429
0.392501169	1.308806462	0.764751702	-0.544054759	0.820187642	0.709315763
0.394702594	1.307258897	0.76605025	-0.541208647	0.821331096	0.710769405
0.396904019	1.305716554	0.767354958	-0.538361595	0.822486602	0.712223315
0.399105444	1.304179388	0.768665656	-0.535513732	0.823653859	0.713677454
0.40130687	1.302647358	0.769982174	-0.532665184	0.824832565	0.715131783
0.403508295	1.301120421	0.771304341	-0.52981608	0.82602242	0.716586263
0.40570972	1.299598536	0.77263199	-0.526966546	0.827223122	0.718040858
0.407911145	1.298081661	0.773964952	-0.524116709	0.828434374	0.719495529
0.410112571	1.296569755	0.775303059	-0.521266696	0.829655878	0.72095024
0.412313996	1.29506278	0.776646145	-0.518416635	0.830887337	0.722404953
0.414515421	1.293560694	0.777994043	-0.515566651	0.832128457	0.72385963
0.416716846	1.292063461	0.779346589	-0.512716872	0.833378944	0.725314235
0.418918271	1.29057104	0.780703617	-0.509867423	0.834638505	0.72676873
0.421119697	1.289083395	0.782064964	-0.507018431	0.835906852	0.728223077
0.423321122	1.287600488	0.783430466	-0.504170022	0.837183694	0.729677238
0.425522547	1.286122282	0.78479996	-0.501322322	0.838468746	0.731131174
0.427723972	1.28464874	0.786173284	-0.498475455	0.839761722	0.732584847
0.429925398	1.283179827	0.787550278	-0.495629549	0.84106234	0.734038216
0.432126823	1.281715506	0.78893078	-0.492784727	0.842370318	0.735491241
0.434328248	1.280255744	0.79031463	-0.489941115	0.843685379	0.73694388
0.436529673	1.278800505	0.791701669	-0.487098837	0.845007244	0.738396093
0.438731098	1.277349756	0.793091738	-0.484258017	0.846335641	0.739847835
0.440932524	1.275903461	0.79448468	-0.481418781	0.847670297	0.741299063
0.443133949	1.274461589	0.795880337	-0.478581252	0.849010942	0.742749733
0.445335374	1.273024107	0.797278554	-0.475745553	0.850357309	0.744199798
0.447536799	1.27159098	0.798679173	-0.472911808	0.851709133	0.745649212
0.449738225	1.270162179	0.800082039	-0.47008014	0.853066153	0.747097926
0.45193965	1.26873767	0.801486999	-0.467250671	0.854428107	0.748545892
0.454141075	1.267317423	0.802893899	-0.464423525	0.855794739	0.749993059
0.4563425	1.265901407	0.804302585	-0.461598822	0.857165794	0.751439376
0.458543926	1.26448959	0.805712905	-0.458776686	0.85854102	0.75288479
0.460745351	1.263081944	0.807124708	-0.455957236	0.859920168	0.754329247
0.462946776	1.261678437	0.808537842	-0.453140596	0.861302991	0.755772692
0.465148201	1.260279041	0.809952157	-0.450326884	0.862689245	0.75721507
0.467349626	1.258883727	0.811367505	-0.447516222	0.864078688	0.758656321
0.469551052	1.257492464	0.812783735	-0.444708729	0.865471083	0.760096387
0.471752477	1.256105226	0.8142007	-0.441904526	0.866866193	0.761535208
0.473953902	1.254721984	0.815618253	-0.439103731	0.868263784	0.762972722
0.476155327	1.25334271	0.817036247	-0.436306463	0.869663628	0.764408867
0.478356753	1.251967377	0.818454536	-0.43351284	0.871065495	0.765843577
0.480558178	1.250595957	0.819872975	-0.430722981	0.872469162	0.767276789
0.482759603	1.249228423	0.82129142	-0.427937003	0.873874405	0.768708435
0.484961028	1.24786475	0.822709727	-0.425155024	0.875281006	0.770138447
0.487162454	1.246504911	0.824127752	-0.422377159	0.876688748	0.771566757
0.489363879	1.245148879	0.825545354	-0.419603525	0.878097416	0.772993293
0.491565304	1.24379663	0.826962392	-0.416834237	0.879506801	0.774417984
0.493766729	1.242448137	0.828378725	-0.414069412	0.880916693	0.775840757
0.495968154	1.241103376	0.829794212	-0.411309164	0.882326886	0.777261539
0.49816958	1.239762322	0.831208715	-0.408553607	0.883737177	0.778680254
0.500371005	1.23842495	0.832622096	-0.405802855	0.885147366	0.780096826
0.50257243	1.237091237	0.834034216	-0.403057021	0.886557255	0.781511177
0.504773855	1.235761157	0.835444939	-0.400316218	0.887966649	0.782923229
0.506975281	1.234434688	0.836854129	-0.397580559	0.889375355	0.784332904
0.509176706	1.233111805	0.838261651	-0.394850154	0.890783183	0.785740119
0.511378131	1.231792486	0.83966737	-0.392125116	0.892189946	0.787144793
0.513579556	1.230476708	0.841071152	-0.389405556	0.893595459	0.788546845
0.515780981	1.229164448	0.842472866	-0.386691582	0.89499954	0.789946191
0.517982407	1.227855682	0.843872377	-0.383983305	0.896402009	0.791342745
0.520183832	1.22655039	0.845269557	-0.381280834	0.897802689	0.792736424
0.522385257	1.225248549	0.846664273	-0.378584277	0.899201404	0.794127141
0.524586682	1.223950138	0.848056396	-0.375893742	0.900597983	0.795514809
0.526788108	1.222655134	0.849445798	-0.373209336	0.901992255	0.796899341
0.528989533	1.221363516	0.85083235	-0.370531166	0.903384053	0.798280647
0.531190958	1.220075264	0.852215926	-0.367859338	0.904773212	0.79965864
0.533392383	1.218790356	0.853596399	-0.365193958	0.906159568	0.801033229
0.535593809	1.217508772	0.854973643	-0.362535129	0.907542962	0.802404324
0.537795234	1.216230491	0.856347534	-0.359882957	0.908923234	0.803771834
0.539996659	1.214955493	0.857717948	-0.357237545	0.910300229	0.805135667
0.542198084	1.213683758	0.859084762	-0.354598995	0.911673793	0.806495731
