TITLE = "Decane T rho sat" 

  VARIABLES = T_sat	rho_liq_sat	rho_vap_sat
350	685.88	0.17326
355	681.91	0.21514
360	677.92	0.26512
365	673.92	0.32436
370	669.9	0.39413
375	665.85	0.47579
380	661.79	0.57083
385	657.7	0.68084
390	653.58	0.80752
395	649.44	0.9527
400	645.26	1.1183
405	641.06	1.3065
410	636.82	1.5193
415	632.54	1.7592
420	628.22	2.0286
425	623.87	2.3302
430	619.47	2.6667
435	615.02	3.0411
440	610.53	3.4564
445	605.98	3.9161
450	601.37	4.4237
455	596.71	4.9829
460	591.98	5.5978
465	587.18	6.2727
470	582.31	7.0123
475	577.37	7.8215
480	572.33	8.7058
485	567.21	9.6712
490	561.99	10.724
495	556.67	11.871
500	551.23	13.121
505	545.68	14.481
510	539.99	15.963
515	534.15	17.575
520	528.16	19.332
525	521.99	21.245
530	515.63	23.333
535	509.07	25.612
540	502.26	28.106
545	495.19	30.838
550	487.83	33.84
555	480.13	37.149
560	472.05	40.81
565	463.53	44.88
570	454.49	49.43
575	444.84	54.556
580	434.46	60.382
585	423.18	67.083
590	410.77	74.912
595	396.9	84.251
600	381.01	95.729
605	362.11	110.5
610	337.97	131.1
615	300.49	166.3
