 TITLE = "Density VS Temperature for Oxygen" 

VARIABLES =  T	rho_NIST_0.1Mpa	rho_Soave_0.1Mpa	rho_new_0.1Mpa	rho_NIST_1Mpa	rho_Soave_1Mpa	rho_new_1Mpa	rho_NIST_3Mpa	rho_Soave_3Mpa	rho_new_3Mpa	rho_NIST_5Mpa	rho_Soave_5Mpa	rho_new_5Mpa	rho_NIST_7Mpa	rho_Soave_7Mpa	rho_new_7Mpa	rho_NIST_10Mpa	rho_Soave_10Mpa	rho_new_10Mpa	
60	1282.120673	1435.077686	1284.67736	1283.205185	1435.879226	1285.81578	1285.592387	1437.822311	1287.407935	1287.948966	1439.713726	1289.211301	1290.275921	1441.555851	1292.540389	1293.712838	1444.231431	1295.982649
65	1259.815847	1414.015193	1259.263984	1260.999865	1414.98466	1258.449314	1263.602668	1417.289173	1261.925102	1266.167576	1419.527119	1264.639552	1268.695979	1421.701868	1267.044098	1272.422953	1424.852255	1270.481235
70	1237.090041	1391.728506	1239.147714	1238.390366	1392.893662	1238.112369	1241.244294	1395.617987	1241.778144	1244.05074	1398.256512	1244.656499	1246.81169	1400.814027	1247.305806	1250.8718	1404.507929	1251.110529
75	1214.029291	1368.109432	1211.196347	1215.46418	1369.504006	1217.660401	1218.607532	1372.71859	1219.408583	1221.690943	1375.822322	1222.262934	1224.71728	1378.822057	1225.605718	1229.155477	1383.140138	1229.933041
80	1190.58626	1343.028612	1186.693048	1192.177285	1344.694109	1193.982375	1195.654948	1348.484951	1195.498935	1199.056401	1352.131957	1198.734437	1202.38582	1355.645022	1202.339186	1207.253096	1360.682686	1207.113007
85	1166.656939	1316.329614	1197.029179	1168.430666	1318.317865	1168.604771	1172.297422	1322.791348	1172.173004	1176.066458	1327.077012	1175.983236	1179.743924	1331.189307	1179.659687	1185.100341	1337.060308	1184.887327
90.078125	4.412587201	4.40540831	4.389557168	1119.018058	1260.112133	1114.77125	1123.888048	1266.389174	1123.589144	1128.591735	1272.336735	1128.48306	1133.143057	1277.987114	1133.306195	1139.710356	1285.964848	1139.846813
95.078125	4.160535126	4.15752411	4.156734481	1093.012735	1227.783543	1083.303396	1098.543516	1235.271444	1097.535298	1103.852221	1242.314089	1103.530807	1108.960504	1248.96132	1108.91244	1116.286536	1258.280051	1116.235534
100.078125	3.937834813	3.937018573	3.938138312	1065.84861	1192.849683	1056.834821	1072.195697	1201.848748	1071.300001	1078.23993	1210.23478	1078.233986	1084.015936	1218.086903	1083.980363	1092.238101	1229.001254	1092.231318
105.078125	3.738857914	3.739456498	3.738306509	1037.223963	1154.82476	1037.272346	1044.604613	1165.752069	1045.036257	1051.561055	1175.814697	1051.764604	1058.150724	1185.142832	1058.148565	1067.444973	1197.974664	1067.497888
110.078125	3.559802412	3.56133564	3.559592852	1006.722507	1113.02766	1017.175908	1015.453974	1126.48808	1016.994516	1023.570218	1138.689222	1023.430091	1031.171152	1149.85547	1031.121501	1041.767491	1165.018774	1041.767512
115.078125	3.397722133	3.399848635	3.398161238	38.24643237	38.40174542	37.69902052	984.3043135	1083.368856	984.1882999	993.9429193	1098.37608	993.6460094	1002.831759	1111.87886	1002.668885	1015.038261	1129.917144	1015.000263
120.078125	3.250241321	3.252715491	3.25034459	35.77665966	36.03922271	35.6277948	950.5049361	1035.379362	947.4304586	962.2284699	1054.212315	962.6778159	972.8091541	1070.764263	972.5162403	987.0507215	1092.408718	987.0263458
125.078125	3.11541465	3.118063059	3.115077019	33.71512089	34.01412665	33.7280634	913.0085375	980.8978824	912.9418878	927.7628951	1005.239199	928.1713341	940.6583738	1025.910829	940.4188593	957.5424917	1052.174696	957.5090512
130.078125	2.991633495	2.994336623	2.991371405	31.94247118	32.24939715	31.97048688	869.9117672	917.0001394	878.4036352	889.489951	949.9703343	887.6815068	905.7348985	976.4811115	905.5707993	926.1701901	1008.820789	926.0997688
135.078125	2.877556207	2.880233901	2.877490952	30.3904483	30.69155022	30.38163548	816.9725823	837.1766226	817.0874646	845.5365767	885.8543943	844.1267877	867.0429154	921.2457508	866.4027176	892.4699178	961.8536171	892.3859743
140.078125	2.772054735	2.77465504	2.772012751	29.01360876	29.29986527	29.00674497	117.0553579	120.416616	118.4676052	791.9633865	807.7275119	797.2681869	822.9072491	858.2708628	821.8468319	855.7933344	910.6513858	855.7055513
145.078125	2.674173347	2.67666419	2.67408314	27.7794565	28.04961727	27.78016897	105.7480611	108.9933808	105.9351383	717.2574568	701.0796798	720.6568208	770.158398	784.2106317	770.2382436	815.2028519	854.4354536	815.0679787
150.078125	2.583096489	2.585459627	2.582993015	26.663785	26.91648456	26.66379301	97.57554582	100.5160888	97.40488041	284.9530324	297.0320542	302.2917946	701.6342911	692.4622913	702.2323893	769.303793	792.2746064	769.1278712
155.078125	2.498123575	2.500350245	2.498034483	25.64804234	25.88309318	25.64591172	91.15566578	93.78744462	91.1023687	207.3643082	217.5221086	208.7389696	595.6143143	568.3696064	591.5900648	716.0109781	723.243753	715.8581622
160.078125	2.418649058	2.420736888	2.41857296	24.71768866	24.93557451	24.71613237	85.87531499	88.22801598	85.90993007	179.9660837	188.1608767	179.5622531	411.9188878	411.3479223	413.228595	652.496819	647.132461	652.291256
165.078125	2.34414654	2.346097375	2.344073271	23.86111376	24.06268451	23.86047606	81.400349	83.50767766	81.40548275	162.6782088	169.5369752	162.5498867	305.9497439	316.9988464	305.9606525	577.0103662	566.5048655	576.6639993
