TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
220	0.060992422	0.174985318	4.580396108	1.807329715	3.387109432	0.237619585	2.885222424	0.44705453	2.65308011	0.323965748	2.22111788	0.340676227
230	0.024251986	0.203138593	5.488506639	1.857756308	3.93125106	0.248649127	3.301641322	0.000984478	3.007722973	0.083609599	2.486382809	0.184618201
240	0.089088191	0.215372355	1.645139817	0.381665478	4.665806402	0.454834546	3.854630584	0.08549818	3.487242254	0.19180305	2.829579052	0.000899926
250	0.135632833	0.214947066	0.888745183	0.021573745	5.646880071	0.67030061	4.573188858	0.215653216	4.105723731	0.099355785	3.276497219	0.045434554
260	0.171419537	0.21064317	0.360465828	0.19300207	6.989574786	0.550401829	5.51708023	0.705363659	4.894013831	0.686671675	3.837726471	0.144911681
270	0.198213872	0.205029175	0.020772063	0.242982463	8.937973585	0.432025478	6.760814063	1.019446575	5.908105885	1.260037574	4.504403669	0.523462847
280	0.219595369	0.201710647	0.299754473	0.238649483	12.24156427	3.263622169	8.479996528	0.606105767	7.216198851	1.369909552	5.28946368	0.843658022
290	0.239956446	0.204269097	0.502420974	0.217094389	1.9960257	0.297035254	11.10581138	1.344722069	8.938531881	0.414621727	6.141200688	0.756508908
300	0.252201082	0.204180892	0.655365852	0.204596773	1.834319738	0.578836932	17.82754567	6.540246148	11.09932575	2.340732755	6.764113291	0.08943452
310	0.258224985	0.201675797	0.763463528	0.197192124	3.401263082	0.296806612	5.93821365	2.047832878	16.51135629	9.674152258	5.277478546	1.422030676
320	0.269860559	0.207081383	0.848373508	0.203457693	4.185851299	0.086885488	7.419398036	0.60343173	10.93556217	1.186675789	14.16055797	3.743961646
330	0.272442536	0.204699045	0.906720517	0.207274261	4.61343947	0.033233712	7.823482347	0.004940298	10.42485987	0.055020247	19.47125327	1.806397369
340	0.277796557	0.205851808	0.947315635	0.207878331	4.83518984	0.07889009	7.901755801	0.171568152	10.04602571	0.279365151	16.28950931	0.612127709
350	0.281774185	0.206342648	0.979027018	0.208875818	4.938850314	0.164114113	7.83787741	0.101706036	9.696403517	0.240490154	14.506784	0.197957857
360	0.281786185	0.203755053	0.996179937	0.203051211	4.967881804	0.234333793	7.711282196	0.060205385	9.365873297	0.048554503	13.34354678	0.106787377
370	0.283790862	0.204200638	1.009795928	0.201631874	4.948689139	0.263571309	7.536870013	0.194664175	9.040981291	0.141910324	12.48275644	0.145193139
380	0.281690679	0.20157681	1.014066408	0.199218487	4.897096477	0.252573702	7.352492293	0.272717556	8.731371749	0.264647479	11.79270063	0.203516144
390	0.284919168	0.205100264	1.012407962	0.198523105	4.825320326	0.221127626	7.14909466	0.275472598	8.431190774	0.299100119	11.20186744	0.226637718
400	0.282519117	0.203489875	1.010915716	0.203723265	4.737864183	0.188365388	6.95308359	0.248171887	8.154277749	0.282341142	10.68578584	0.218801915
410	0.28681345	0.208729728	1.002918146	0.20574997	4.642593056	0.171643769	6.755452786	0.210563114	7.879162053	0.232353978	10.22444294	0.196804672
420	0.280640563	0.203455631	0.990621455	0.20463304	4.542101233	0.173447265	6.558349394	0.184203753	7.617776905	0.191098323	9.807092419	0.180731858
430	0.278631824	0.202229817	0.977980997	0.203074666	4.439077886	0.188018249	6.36767213	0.179753586	7.37654713	0.179003743	9.431502946	0.185160557
440	0.281059059	0.205395774	0.970670701	0.206550944	4.334022477	0.204270192	6.181485936	0.188902936	7.134723987	0.175624589	9.073763858	0.191353165
450	0.280448156	0.205609779	0.959089392	0.206091153	4.229922364	0.215647859	6.002198067	0.202874647	6.916276802	0.193792693	8.752724714	0.211856111
460	0.278037953	0.204206379	0.942417078	0.201568682	4.126176365	0.217420231	5.829302245	0.212316462	6.698484467	0.202221259	8.442802499	0.21755559
470	0.275834343	0.203210885	0.929584029	0.202183113	4.024172844	0.212058564	5.663013976	0.214186376	6.493825963	0.207253017	8.157117501	0.218945869
480	0.276609004	0.205338769	0.913019244	0.200223914	3.924996957	0.204734963	5.502755578	0.20994765	6.299902372	0.206981275	7.88613301	0.210646724
490	0.274623411	0.204764621	0.903750808	0.206065969	3.826935977	0.1979577	5.349793926	0.205265005	6.115230152	0.203865362	7.637565456	0.206194554
