TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
350	5.997039508	1.784144141	5.969142144	1.678025727	5.942115066	0.733964426	5.917809716	1.44778016	5.877539131	1.226921797	5.820225436	0.706624186
360	5.747353623	1.659693119	5.712103295	1.55631872	5.676818832	0.724448353	5.645200527	1.333578171	5.592849991	1.119048417	5.509218498	0.618677289
370	5.52015307	1.442073105	5.476841366	1.343796457	5.433940095	0.772242204	5.393031746	1.133629602	5.326559278	0.931306763	5.214189476	0.462389188
380	5.320336798	1.17037058	5.266504909	1.081081616	5.212096966	0.901395547	5.162450953	0.889946115	5.07934036	0.705442866	4.935096346	0.27828664
390	5.146148288	0.904034986	5.080334645	0.825552471	5.014372941	1.109607322	4.954833711	0.655534605	4.852005342	0.493077347	4.671914792	0.114325219
400	5.002000544	0.700498981	4.923716999	0.631943508	4.842806855	1.377775716	4.770360169	0.487216673	4.645528342	0.347061188	4.424641325	0.017626199
410	4.89005116	0.612865163	4.795272163	0.554928633	4.698358397	1.677376229	4.612419566	0.430269692	4.462553903	0.309676698	4.194765351	0.023960737
420	4.811655836	0.678209214	4.698537972	0.626948954	4.583904664	1.974790887	4.480342234	0.517126807	4.301523479	0.410583577	3.983884157	0.152652237
430	4.772061453	0.907313485	4.637828639	0.8576739	4.501384798	2.240166959	4.378327653	0.753781409	4.167061831	0.65240997	3.789177638	0.409161975
440	4.774642312	1.291488433	4.613748864	1.239649706	4.453372447	2.449600837	4.308100889	1.128827357	4.058082107	1.024884684	3.615347849	0.774840834
450	1.002839531	0.155753656	4.632572774	1.743625923	4.441658231	2.589069471	4.270376295	1.617082516	3.978375549	1.498781939	3.461173854	1.225764376
460	0.794221898	0.329146879	4.698883154	2.333184921	4.472140717	2.650652267	4.271265784	2.179205309	3.929048112	2.039924024	3.326959009	1.73030535
470	0.623623189	0.469556099	4.815762933	2.97080443	4.548830903	2.639648037	4.311450629	2.778784414	3.911590448	2.611162437	3.214635983	2.253432097
480	0.484122743	0.573839462	4.991741703	3.614876973	4.673969863	2.574159117	4.395797023	3.376024984	3.929593092	3.17408514	3.126256267	2.761267858
490	0.368698547	0.643739615	5.233474798	4.23036766	4.85662483	2.474205374	4.52719278	3.936540921	3.983972422	3.696092279	3.060702429	3.22628532
500	0.273462934	0.681406311	5.551671437	4.784109585	5.100119598	2.372103471	4.713445432	4.424927088	4.079586573	4.1441923	3.018443672	3.62312469
510	0.195548223	0.690491421	5.955969519	5.251933038	5.416122865	2.29296101	4.9559637	4.817582674	4.217048863	4.494200771	3.003325061	3.927080415
520	0.130560809	0.677826161	6.464261276	5.610514853	5.810586772	2.265243471	5.265496671	5.08597098	4.401193654	4.721888721	3.014216604	4.123421963
530	0.075620896	0.64961256	7.096653676	5.848126018	6.297400477	2.302560519	5.645787348	5.215436128	4.63621588	4.808787866	3.051574066	4.200963533
540	0.032789062	0.607392004	7.881095691	5.966373034	6.894396648	2.407045195	6.110270177	5.188264343	4.923946191	4.745077857	3.119286508	4.150850155
550	0.002768705	0.559523695	8.862875213	5.985911159	7.616943914	2.579532866	6.667786814	5.00197638	5.272933432	4.52098225	3.215921146	3.976903166
560	0.030640207	0.508647018	10.11003062	5.978627379	8.498671166	2.805506441	7.331900489	4.662564887	5.6824224	4.146106716	3.343355865	3.68718294
