TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
350	5.997039508	0.336762815	5.969142144	0.250375944	5.942115066	0.155290621	5.917809716	0.062377551	5.877539131	0.118338742	5.820225436	0.546467321
360	5.747353623	0.589908848	5.712103295	0.502902133	5.676818832	0.408005111	5.645200527	0.315019726	5.592849991	0.133408782	5.509218498	0.292201894
370	5.52015307	0.797626691	5.476841366	0.710410978	5.433940095	0.614762314	5.393031746	0.523659068	5.326559278	0.343284443	5.214189476	0.07638034
380	5.320336798	0.959704087	5.266504909	0.874457691	5.212096966	0.781852504	5.162450953	0.691826725	5.07934036	0.51522998	4.935096346	0.105589332
390	5.146148288	1.084749593	5.080334645	1.002407229	5.014372941	0.912388493	4.954833711	0.824322311	4.852005342	0.654436515	4.671914792	0.259449284
400	5.002000544	1.176355616	4.923716999	1.096549388	4.842806855	1.011970348	4.770360169	0.928503806	4.645528342	0.767073763	4.424641325	0.391800876
410	4.89005116	1.241780609	4.795272163	1.167511696	4.698358397	1.088366796	4.612419566	1.009250077	4.462553903	0.858308887	4.194765351	0.508149819
420	4.811655836	1.289969975	4.698537972	1.221374718	4.583904664	1.147860326	4.480342234	1.076177177	4.301523479	0.938007456	3.983884157	0.613869806
430	4.772061453	1.326068927	4.637828639	1.263558143	4.501384798	1.197732157	4.378327653	1.133623533	4.167061831	1.009204834	3.789177638	0.718409398
440	4.774642312	1.357069227	4.613748864	1.303054861	4.453372447	1.244042318	4.308100889	1.187865835	4.058082107	1.080100654	3.615347849	0.822282111
450	1.002839531	0.048071011	4.632572774	1.342018364	4.441658231	1.292649177	4.270376295	1.245069774	3.978375549	1.152400771	3.461173854	0.930739095
460	0.794221898	0.111231186	4.698883154	1.383273101	4.472140717	1.343674004	4.271265784	1.30414255	3.929048112	1.228922956	3.326959009	1.045682385
470	0.623623189	0.166060045	4.815762933	1.430023115	4.548830903	1.397677752	4.311450629	1.367976377	3.911590448	1.310148376	3.214635983	1.165426543
480	0.484122743	0.21231016	4.991741703	1.478624851	4.673969863	1.455579613	4.395797023	1.433250081	3.929593092	1.392361875	3.126256267	1.286292047
490	0.368698547	0.251376685	5.233474798	1.526847194	4.85662483	1.509768068	4.52719278	1.497103688	3.983972422	1.472782596	3.060702429	1.40618728
500	0.273462934	0.282766332	5.551671437	1.568396323	5.100119598	1.557946808	4.713445432	1.550124199	4.079586573	1.542798929	3.018443672	1.519888365
510	0.195548223	0.306006936	5.955969519	1.599781461	5.416122865	1.58883805	4.9559637	1.588837672	4.217048863	1.59692479	3.003325061	1.617483077
520	0.130560809	0.323018249	6.464261276	1.612491091	5.810586772	1.598252245	5.265496671	1.599537763	4.401193654	1.624212248	3.014216604	1.693480801
530	0.075620896	0.334895403	7.096653676	1.603197528	6.297400477	1.575973429	5.645787348	1.576482819	4.63621588	1.613788315	3.051574066	1.740347129
540	0.032789062	0.338334652	7.881095691	1.574544188	6.894396648	1.512292529	6.110270177	1.504976411	4.923946191	1.557133375	3.119286508	1.746973028
550	0.002768705	0.337396712	8.862875213	1.53876411	7.616943914	1.40885547	6.667786814	1.377997909	5.272933432	1.438836864	3.215921146	1.708292863
560	0.030640207	0.331212204	10.11003062	1.544945822	8.498671166	1.263043343	7.331900489	1.188069249	5.6824224	1.254178083	3.343355865	1.616665713
570	0.054271038	0.323029183	2.279589491	6.05882612	9.577480484	1.097368622	8.12100419	0.929976286	6.162492363	0.988066285	3.501414147	1.467951724
580	0.071314098	0.310456643	1.153330142	5.154611884	10.91882773	0.966693858	9.058681193	0.605128021	6.71775915	0.632975167	3.693245755	1.25628898
590	0.086506693	0.298312936	0.429300292	4.502094981	12.64025239	1.022247415	10.1761672	0.227385554	7.352697645	0.18372505	3.917848982	0.982351663
600	0.095074669	0.281936571	0.058248561	3.99137984	14.99506979	1.759989953	11.52107388	0.17016904	8.077300719	0.368299654	4.175423507	0.648037181
610	0.102814063	0.267270653	0.393700774	3.575338192	18.85262534	5.941057401	13.16065588	0.504486987	8.89438674	1.021372513	4.465353682	0.25876484
620	0.109183808	0.253887485	0.624748279	3.229391542	3.981780406	188.5783556	15.18611076	0.570303938	9.813565645	1.779102366	4.789996773	0.180520874
630	0.113934629	0.241610029	0.787158594	2.945529948	1.03330522	25.13715998	17.60355527	0.246788103	10.8328497	2.632175196	5.146616971	0.657173255
640	0.113415156	0.226798847	0.89328505	2.706972452	0.156005609	11.98562465	19.11358274	4.387160058	11.94084262	3.564243985	5.535099087	1.159539
650	0.115259966	0.217049444	0.961248971	2.511462867	0.788437866	8.56000639	12.2760677	18.41370903	13.09878574	4.5381941	5.953839352	1.673564454
660	0.112627332	0.205398683	1.003591583	2.356156733	1.15616387	6.910820317	4.851424002	21.19573185	14.22008033	5.480656066	6.397396215	2.18152674
670	0.113945931	0.200107322	1.019208088	2.227594177	1.373271531	5.952855577	2.017383892	14.61748371	15.1472228	6.259531716	6.860549469	2.667603626
680	0.10874147	0.190461297	1.024205868	2.131870974	1.498220908	5.344981737	0.690678926	10.82446389	15.63985411	6.661006659	7.336229303	3.116992739
690	0.106039548	0.185219438	1.012718398	2.054320105	1.563471941	4.940155882	0.050283486	8.890329576	15.43777966	6.43514102	7.820185186	3.521848979
700	0.10345595	0.181689197	0.989769273	1.992407724	1.586606099	4.659956452	0.494493665	7.80636928	14.38212987	5.40883219	8.295389793	3.865608522
710	0.098626129	0.177179581	0.964143622	1.948294905	1.580535612	4.459645606	0.777835084	7.155514757	12.60550107	3.698060342	8.755050666	4.147169001
720	0.093376085	0.173188558	0.928811752	1.908968274	1.553600083	4.309886443	0.956459514	6.732843123	10.52463043	1.719178074	9.187329752	4.364468531
730	0.089788441	0.171479126	0.894008253	1.879595556	1.513142673	4.191991714	1.072457314	6.443254958	8.545462143	0.118085178	9.575430616	4.513603324
740	0.085908479	0.169793724	0.852607679	1.848544717	1.460773186	4.088816384	1.136291016	6.217126377	6.870661967	1.613299377	9.910360959	4.600998564
750	0.079795049	0.165918356	0.810649174	1.818202212	1.403133067	3.993508625	1.16550649	6.023349549	5.526903539	2.745214559	10.17928785	4.629714373
