TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
60	11.9318061	1.650354829	11.90536034	1.383954918	11.84759059	0.836795261	11.79470455	0.340238361	11.72952706	0.098443152	11.64270059	0.691950597
65	12.24124407	2.027270744	12.21846725	1.721549594	12.16993692	1.095889509	12.11634911	0.54066556	12.0668329	0.037411938	11.9885434	0.627007671
70	12.49927299	2.340513008	12.48254033	1.991628548	12.44827728	1.280833817	12.39823678	0.662530402	12.35995408	0.099170022	12.28697047	0.631280315
75	12.69435186	2.606388859	12.67742417	2.217311346	12.65456727	1.420743267	12.62275366	0.725354865	12.59180358	0.105571729	12.5308957	0.695107674
80	12.80267192	2.856556494	12.7985438	2.412466257	12.785391	1.526686183	12.76972571	0.75398664	12.75238816	0.071875325	12.71201902	0.805198531
85	12.82502908	3.106504913	12.83876568	2.597673163	12.84495454	1.606624637	12.8447301	0.753466131	12.84894385	0.000598757	12.83012082	0.953327352
90	12.75899412	3.380491098	12.77754339	2.809951476	12.8158609	1.690836732	12.84222511	0.741316612	12.85862343	0.076862266	12.87429856	1.119894333
95	0.429052391	0.824529635	12.61868647	3.071277869	12.68615871	1.808580881	12.74383704	0.748969131	12.79472359	0.159134045	12.84148006	1.290744662
100	0.3070542	0.616524337	12.3399041	3.434482171	12.45903471	1.98054478	12.54684866	0.796970857	12.62862744	0.205648475	12.72683735	1.448747557
105	0.213492349	0.455129578	11.92927585	3.956705136	12.10040205	2.266357536	12.25430248	0.904342791	12.37799405	0.214706352	12.53352095	1.582587607
110	0.140759042	0.329276618	11.34965653	4.740426935	11.60682024	2.709063536	11.82070818	1.137942378	12.00472016	0.132149724	12.2414152	1.658448298
115	0.080457922	0.227825876	10.57151915	5.929621525	10.93867937	3.400790095	11.25265274	1.526384474	11.51545456	0.060237761	11.83619231	1.645731815
120	0.034553942	0.150520226	0.40722013	3.123234626	10.07468444	4.451546077	10.5167805	2.14642515	10.88669968	0.413444278	11.3308833	1.536237594
125	0.000833335	0.091679016	0.73293656	1.916772559	8.940415667	6.092116251	9.569312788	3.107413908	10.07891346	1.002239686	10.68343929	1.268256391
130	0.027276104	0.048243986	0.887221279	1.113896343	7.447001731	8.766916703	8.361933234	4.569645107	9.073121909	1.898554028	9.892847374	0.812632373
135	0.048212646	0.01554275	0.962360391	0.561048862	5.426097208	13.78644484	6.811128633	6.833711762	7.822449744	3.227456797	8.934158001	0.111590833
140	0.067538406	0.011353294	0.992267922	0.180364133	2.489126587	8.965212855	4.781050231	10.56638283	6.263710251	5.183686286	7.785152615	0.899719475
145	0.080736589	0.028800421	0.992285606	0.07532812	2.867432094	3.615556455	2.006743716	18.03032814	4.310305399	8.10320134	6.422166736	2.300435591
150	0.08767381	0.037398437	0.981133817	0.248172367	3.077490006	1.352623604	2.233247748	13.48947976	1.839789197	12.65041905	4.825475754	4.181080026
155	0.096573006	0.045984329	0.953810182	0.350934065	3.022755361	0.228713176	4.305503106	20.12893686	1.287240302	20.18324021	3.000131238	6.615496887
160	0.099824544	0.047472187	0.923463709	0.410176276	2.895822131	0.359549417	4.920041403	5.261346241	4.54518362	29.1466262	1.025544465	9.559320825
165	0.104814376	0.049679159	0.88703354	0.4332574	2.748722317	0.657430357	4.565533077	2.028779304	0.104061078	20.04243322	0.805489456	12.53514103
170	0.109483732	0.050908613	0.852016124	0.435699731	2.597656951	0.785229105	4.227155837	0.726925042	3.6341333	8.793301003	1.801814012	14.2201699
175	0.109403469	0.04703072	0.813808302	0.419187085	2.450460323	0.811978826	3.922906686	0.142884595	4.117377511	4.64880766	1.242409029	13.27922743
180	0.111095061	0.044803081	0.778615175	0.394766442	2.310437776	0.779196704	3.649468018	0.108079752	4.089178753	2.824651365	0.306726061	10.56342502
185	0.114158913	0.044016324	0.740475848	0.360261275	2.177608283	0.71174265	3.406682545	0.193546086	3.934370593	1.922427758	1.590061707	7.991498368
190	0.109954065	0.036182248	0.706891795	0.3260235	2.055074738	0.629207563	3.189207305	0.193014923	3.748807115	1.446320778	2.334339851	6.167875984
195	0.110617947	0.033538162	0.675328856	0.29169814	1.941409914	0.541321675	2.992001159	0.148527194	3.554963117	1.191949713	2.721364216	4.946810453
200	0.110186103	0.030199412	0.641086273	0.254199616	1.834401089	0.453399983	2.809554703	0.082286224	3.37047126	1.049816424	2.902931793	4.120812069
205	0.108557361	0.026112241	0.61210162	0.22256996	1.735445629	0.371793549	2.650273658	0.019191685	3.197553349	0.966979917	2.966859709	3.543262939
210	0.10669657	0.022264088	0.583482518	0.192697904	1.64470855	0.299850006	2.506057321	0.03840198	3.028234146	0.921838513	2.965303881	3.118490186
215	0.106631465	0.020684421	0.557295583	0.16710643	1.559982904	0.237292061	2.365143318	0.095798764	2.876293751	0.883837912	2.92408353	2.791002198
220	0.105740281	0.018741059	0.531942064	0.144431707	1.481622954	0.185441894	2.241399496	0.135933517	2.737222065	0.847005178	2.862552	2.522384806
225	0.107777161	0.020159605	0.507177382	0.124475716	1.407773583	0.14277303	2.126589428	0.165044432	2.603091254	0.813018464	2.783552606	2.297223254
230	0.105609708	0.017779122	0.484067237	0.108207306	1.340588323	0.111243609	2.020238915	0.182961499	2.481455071	0.771341444	2.704427299	2.091229547
235	0.104319185	0.016634993	0.458921978	0.091757178	1.27614185	0.086482464	1.923539264	0.188652211	2.36701838	0.725598375	2.622136451	1.902697199
240	0.097575152	0.010356719	0.441081573	0.084169576	1.217000101	0.070319713	1.832816146	0.186340294	2.258829091	0.676343613	2.536387942	1.729478964
245	0.098143128	0.01165116	0.422747426	0.077371849	1.1622622	0.06104009	1.749345857	0.17569869	2.165939731	0.615098533	2.454249663	1.563756117
250	0.094388481	0.008846244	0.402671403	0.069797793	1.11089212	0.05674287	1.67148522	0.159410128	2.071778879	0.558697826	2.374477803	1.406522942
255	0.094031209	0.009609295	0.386813659	0.067065296	1.063516148	0.057175752	1.598449974	0.139358821	1.990708465	0.494088965	2.300498935	1.254787168
260	0.092332324	0.009162134	0.36889352	0.062605961	1.017938971	0.059339296	1.531038704	0.115834832	1.907277376	0.437317501	2.226010389	1.115190243
265	0.091441755	0.009613376	0.356378453	0.063581309	0.975329007	0.063640919	1.468620977	0.090435266	1.836475647	0.374678848	2.1507507	0.988637277
270	0.0870206	0.006592552	0.343935404	0.064425225	0.935813474	0.069557217	1.409877678	0.065301184	1.759940168	0.32493773	2.086510676	0.864269262
275	0.089023499	0.010016056	0.3262896	0.059665406	0.898193112	0.075362165	1.353760583	0.042148762	1.699443801	0.267416525	2.017087932	0.758230681
280	0.086625545	0.009042439	0.312691661	0.058356839	0.862053279	0.080225649	1.302074552	0.019706519	1.631128264	0.225940335	1.955889166	0.657726265
285	0.083294659	0.007116616	0.306134996	0.063358882	0.830163922	0.086598028	1.253761145	0.000651613	1.577974531	0.178197647	1.899508813	0.566058476
290	0.083022643	0.008212018	0.295180327	0.063173505	0.798768258	0.090568226	1.207338251	0.017301413	1.522825361	0.141064726	1.846736982	0.48417624
295	0.082658904	0.009169652	0.283163067	0.061077951	0.769488948	0.093670292	1.165211587	0.032618212	1.471935362	0.108241584	1.791002504	0.418060824
300	0.079054992	0.006836567	0.273982852	0.060948309	0.742057851	0.095657065	1.124723075	0.044113724	1.423561822	0.081116034	1.742121485	0.357475657
305	0.076991124	0.005986259	0.264197276	0.05936476	0.716685478	0.096838281	1.085341616	0.05151892	1.376909873	0.060003287	1.689195246	0.312283826
310	0.08177038	0.01191795	0.250389407	0.052956439	0.691382671	0.095403606	1.048777327	0.056879152	1.334342445	0.04199191	1.645399915	0.268637451
315	0.074656845	0.005911015	0.245497923	0.054695428	0.667138609	0.092553032	1.01585983	0.061441701	1.29232995	0.029898643	1.602078786	0.233993321
320	0.077461363	0.009765181	0.238645264	0.053798698	0.64538427	0.089962087	0.983076176	0.062198841	1.253683959	0.02023524	1.55908664	0.207421564
325	0.0713209	0.004635586	0.226873185	0.047394545	0.62518138	0.086971208	0.952181505	0.061384002	1.217304528	0.013350983	1.517181234	0.187091769
330	0.070642694	0.004925786	0.224367386	0.049728945	0.605832957	0.08316714	0.923791824	0.060106516	1.182593891	0.009106822	1.477981173	0.170346731
335	0.073461127	0.008677935	0.211603261	0.041397328	0.586876746	0.078364838	0.89549478	0.056457849	1.14943473	0.006919134	1.443929641	0.15376674
340	0.068973597	0.005102662	0.203323741	0.037198761	0.568079464	0.072591934	0.868599293	0.052187787	1.116914316	0.007040055	1.409462696	0.141889924
345	0.072762235	0.009777904	0.197420644	0.035104274	0.552415328	0.069045112	0.844828976	0.049416098	1.087037495	0.006901109	1.378130165	0.130382726
350	0.065058006	0.00295225	0.191797083	0.033086945	0.534172015	0.062247735	0.82086131	0.045205101	1.058427829	0.007352367	1.345126581	0.123249649
355	0.071193802	0.009947064	0.193589531	0.038328217	0.519786994	0.058781834	0.798969741	0.042111446	1.031281189	0.0077712	1.315024731	0.115374133
360	0.061913599	0.001527642	0.18240464	0.030511172	0.503793338	0.053346256	0.776198978	0.037443413	1.004779759	0.008622844	1.28370752	0.110323031
365	0.063332233	0.003795179	0.174752009	0.026152909	0.490064652	0.049901963	0.755345008	0.034157797	0.981059363	0.007532285	1.256705469	0.102268588
370	0.064652107	0.005959974	0.168964596	0.02361123	0.476441223	0.046369968	0.735724781	0.031701551	0.957125666	0.007283317	1.230535143	0.094383053
375	0.064304219	0.00645427	0.173132769	0.03097681	0.464040557	0.043902351	0.718762065	0.031560956	0.934241839	0.006517957	1.201792629	0.089866888
380	0.060720148	0.003709991	0.166233975	0.027259436	0.454180808	0.043823318	0.700186602	0.029520401	0.912545273	0.00505733	1.177133729	0.08208035
385	0.061340123	0.005161871	0.156239498	0.020412737	0.441689336	0.040968697	0.683695736	0.02923764	0.892381275	0.002571281	1.154743525	0.072819402
390	0.059878496	0.004526029	0.155709288	0.022967451	0.431399431	0.040119957	0.667230688	0.028621194	0.871376869	0.001468347	1.131895081	0.06484494
395	0.059032066	0.004495503	0.151226866	0.021508189	0.418216025	0.036155267	0.650825936	0.027634597	0.853119921	0.001718212	1.110083052	0.056794428
400	0.058586411	0.004853489	0.147482622	0.020698651	0.410795289	0.037641419	0.636744286	0.028440199	0.835550718	0.00483474	1.088967812	0.049148418
