 TITLE = "Density VS Temperature for Oxygen" 

VARIABLES =  T	rho_NIST_0.1Mpa	rho_Soave_0.1Mpa	rho_new_0.1Mpa	rho_NIST_1Mpa	rho_Soave_1Mpa	rho_new_1Mpa	rho_NIST_3Mpa	rho_Soave_3Mpa	rho_new_3Mpa	rho_NIST_5Mpa	rho_Soave_5Mpa	rho_new_5Mpa	rho_NIST_7Mpa	rho_Soave_7Mpa	rho_new_7Mpa	rho_NIST_10Mpa	rho_Soave_10Mpa	rho_new_10Mpa	
60	1282.1	1435.077686	1263.516615	1283.2	1435.969584	1267.933014	1285.6	1437.912625	1277.166988	1287.9	1439.804	1285.697803	1290.3	1441.646088	1293.622503	1293.7	1444.321618	1304.539144
65	1259.8	1414.015193	1232.014107	1261	1415.074872	1237.123935	1263.6	1417.379323	1247.740617	1266.2	1419.617212	1257.475686	1268.7	1421.791909	1266.462765	1272.4	1424.942226	1278.763679
70	1237.1	1391.728506	1205.961231	1238.4	1392.983779	1211.633394	1241.2	1395.708018	1223.359804	1244.1	1398.346464	1234.050203	1246.8	1400.903908	1243.872611	1250.9	1404.597714	1257.253166
75	1214	1368.109432	1182.0589	1215.5	1369.594091	1188.26102	1218.6	1372.808557	1201.022347	1221.7	1375.912181	1212.593156	1224.7	1378.911818	1223.178308	1229.2	1383.22977	1237.536129
80	1190.6	1343.028612	1157.434889	1192.2	1344.784239	1164.2474	1195.7	1348.57492	1178.185311	1199.1	1352.221781	1190.742073	1202.4	1355.734715	1202.171094	1207.3	1360.772206	1217.597128
85	1166.7	1316.329614	1130.810867	1168.4	1318.408138	1138.386776	1172.3	1322.881402	1153.772685	1176.1	1327.166871	1167.520668	1179.7	1331.278991	1179.95438	1185.1	1337.149762	1196.633894
90	1142.1	1287.820472	1102.379062	1144.1	1290.287874	1110.895711	1148.4	1295.577347	1128.030935	1152.6	1300.619487	1143.186591	1156.7	1305.435697	1156.787541	1162.6	1312.276595	1174.899896
95	4.1642	4.1463334	4.129633928	1119	1260.203102	1082.575335	1123.9	1266.479738	1101.737682	1128.6	1272.426945	1118.48238	1133.1	1278.077013	1133.37559	1139.7	1286.054348	1153.046104
100	3.9411	3.928998687	3.916656768	1093	1227.875152	1053.820727	1098.5	1235.362496	1075.297926	1103.9	1242.404662	1093.80202	1109	1249.051478	1110.094729	1116.3	1258.369685	1131.419726
105	3.7418	3.733811543	3.724795721	1065.8	1192.942222	1023.997855	1072.2	1201.940511	1048.219648	1078.2	1210.325889	1068.733778	1084	1218.177455	1086.584962	1092.2	1229.091116	1109.711951
110	3.5625	3.557485459	3.550963145	1037.2	1154.918637	991.5712036	1044.6	1165.844844	1019.3027	1051.6	1175.906567	1042.269256	1058.2	1185.233949	1061.964091	1067.4	1198.064866	1087.168339
115	3.4001	3.39736435	3.39268943	1006.7	1113.123483	954.9914969	1015.5	1126.582289	987.5150074	1023.6	1138.782153	1013.623226	1031.2	1149.947367	1035.589062	1041.8	1165.109452	1063.273179
120	3.2524	3.251276168	3.248010766	38.246	38.40174541	37.13544432	984.3	1083.465119	953.0529395	993.94	1098.470488	983.1659426	1002.8	1111.971824	1007.882496	1015	1130.008465	1038.457272
125	3.1174	3.117425978	3.11532063	35.777	36.03922271	35.2141978	950.5	1035.478651	917.5764649	962.23	1054.308798	952.5406452	972.81	1070.858678	980.3777608	987.05	1092.500887	1014.08521
130	2.9935	2.99431651	2.993215894	33.715	34.01412665	33.51519458	913.01	981.0018705	882.4217333	927.76	1005.338672	923.0550803	940.66	1026.007229	954.2537542	957.54	1052.267971	991.1642072
135	2.8793	2.880688187	2.880400639	31.942	32.24939716	31.98897637	869.91	917.1121622	844.7091338	889.49	950.0743081	892.7410951	905.73	976.5802741	927.8951996	926.17	1008.915491	968.357577
140	2.7736	2.775473245	2.775689842	30.39	30.69155022	30.58601263	816.97	837.3054175	792.6641939	845.54	885.9656921	854.2342121	867.04	921.3488734	895.5279187	892.47	961.9501515	941.0915056
145	2.6756	2.677760188	2.678085707	29.014	29.30190175	29.27055553	117.06	120.416616	119.405309	791.96	807.8526075	794.0505545	822.91	858.3799342	848.0629652	855.79	910.7502607	902.8123028
150	2.5845	2.58676593	2.586840755	27.779	28.05154916	28.03015106	105.75	109.0044457	108.4723889	717.26	701.2418072	684.1895649	770.16	784.3293205	774.3445425	815.2	854.5372783	847.4838024
155	2.4994	2.501813746	2.501434463	26.664	26.91832395	26.87145581	97.576	100.5254838	99.56106343	284.95	297.2185311	263.2789995	701.63	692.5983359	658.7753244	769.3	792.3800096	772.0546253
160	2.4199	2.422315654	2.421468192	25.648	25.88484997	25.80570116	91.156	93.79571562	92.38153409	207.36	217.5621979	203.6827855	595.61	568.5384318	477.3406664	716.01	723.3530009	678.7923235
165	2.3453	2.347758212	2.346552865	24.718	24.93725695	24.83581323	85.875	88.23546529	86.6059158	179.97	188.1865899	177.3182271	411.92	411.4913516	334.8027902	652.5	647.2441813	578.0258294
170	2.2752	2.277690974	2.276261537	23.861	24.06429957	23.95338659	81.4	83.51449276	81.87273603	162.68	169.5567371	160.6550728	305.95	317.0686308	275.6968383	577.01	566.613353	487.3257199
175	2.2093	2.211717051	2.210155942	23.069	23.25673744	23.14418655	77.526	79.42574387	77.86459125	150.06	155.9467138	148.533423	259.04	269.7056547	242.6458347	495.45	489.2944845	417.8192271
180	2.1471	2.149485322	2.147838674	22.333	22.50688813	22.39534701	74.118	75.83045027	74.36393974	140.16	145.2750944	138.9366786	230.6	240.0296462	220.0303703	423.27	424.5682794	367.2752407
185	2.0883	2.090683981	2.088979281	21.648	21.80829821	21.69865126	71.083	72.6309093	71.2527788	132.04	136.5381836	130.9892771	210.58	218.8649976	202.9808207	369.11	374.9790768	330.0087277
190	2.0328	2.035035146	2.033302158	21.007	21.15549676	21.04923892	68.351	69.75566413	68.470095	125.18	129.1722497	124.2732915	195.29	202.6110454	189.5255358	329.85	337.54982	301.8558555
195	1.9801	1.982290346	1.980560305	20.406	20.54380761	20.44286336	65.872	67.15084554	65.96850157	119.26	122.8282606	118.5151835	183.02	189.5262935	178.5826555	300.49	308.6674273	279.9676782
