TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
60	11.9318061	1.157595324	11.90536034	0.907493606	11.84759059	0.392824153	11.79470455	0.075508886	11.72952706	0.489339086	11.64270059	1.050704402
65	12.24124407	1.38322777	12.21846725	1.100144983	12.16993692	0.51920628	12.11634911	0.002470242	12.0668329	0.467265817	11.9885434	1.088652204
70	12.49927299	1.541470928	12.48254033	1.222468242	12.44827728	0.570127215	12.39823678	0.001621198	12.35995408	0.518813013	12.28697047	1.194599392
75	12.69435186	1.684818409	12.67742417	1.332610515	12.65456727	0.607296224	12.62275366	0.028205652	12.59180358	0.596814718	12.5308957	1.332982342
80	12.80267192	1.861582402	12.7985438	1.460230235	12.785391	0.656153005	12.76972571	0.048913544	12.75238816	0.673868786	12.71201902	1.479684405
85	12.82502908	2.092220685	12.83876568	1.630537724	12.84495454	0.728420475	12.8447301	0.052333247	12.84894385	0.744849082	12.83012082	1.624406178
90	12.75899412	2.388005852	12.77754339	1.868077883	12.8158609	0.842496546	12.84222511	0.032372013	12.85862343	0.78918262	12.87429856	1.757766915
95	0.429052391	0.795674324	12.61868647	2.141863071	12.68615871	0.979885705	12.74383704	0.001323491	12.79472359	0.846159248	12.84148006	1.902171858
100	0.3070542	0.590524171	12.3399041	2.406646165	12.45903471	1.075449475	12.54684866	0.015294013	12.62862744	0.944610196	12.72683735	2.101822224
105	0.213492349	0.427799408	11.92927585	2.625486642	12.10040205	1.112795481	12.25430248	0.12005129	12.37799405	1.139538278	12.53352095	2.393322354
110	0.140759042	0.298655242	11.34965653	2.883448529	11.60682024	1.134341834	11.82070818	0.241437426	12.00472016	1.365857941	12.2414152	2.729624047
115	0.080457922	0.194635858	10.57151915	3.367901241	10.93867937	1.297079219	11.25265274	0.282672715	11.51545456	1.538284895	11.83619231	3.016947611
120	0.034553942	0.115899573	0.40722013	2.632308803	10.07468444	1.694416052	10.5167805	0.162113019	10.88669968	1.593556402	11.3308833	3.231673254
125	0.000833335	0.054195159	0.73293656	1.399196567	8.940415667	2.24210448	9.569312788	0.010764427	10.07891346	1.630978529	10.68343929	3.449838376
130	0.027276104	0.003586958	0.887221279	0.512274755	7.447001731	2.617352212	8.361933234	0.065737873	9.073121909	1.925051618	9.892847374	3.904092755
135	0.048212646	0.039912271	0.962360391	0.169593422	5.426097208	2.624150956	6.811128633	0.566117365	7.822449744	2.61071519	8.934158001	4.685918597
140	0.067538406	0.075886454	0.992267922	0.652051805	2.489126587	2.850338545	4.781050231	1.109655286	6.263710251	3.349196417	7.785152615	5.497300213
145	0.080736589	0.094047721	0.992285606	0.898923143	2.867432094	2.118987484	2.006743716	0.506775642	4.310305399	3.229634945	6.422166736	5.622046881
150	0.08767381	0.092242437	0.981133817	0.925013751	3.077490006	2.709959115	2.233247748	3.944321428	1.839789197	0.899624517	4.825475754	4.196876556
155	0.096573006	0.082808528	0.953810182	0.795189874	3.022755361	2.129270509	4.305503106	6.800025809	1.287240302	5.614439708	3.000131238	0.621704102
160	0.099824544	0.065852574	0.923463709	0.627301051	2.895822131	1.405355559	4.920041403	1.541499772	4.54518362	19.24106947	1.025544465	4.93836905
165	0.104814376	0.055050659	0.88703354	0.495553344	2.748722317	0.936050347	4.565533077	1.226936215	0.104061078	18.11759997	0.805489456	10.92297655
170	0.109483732	0.050029746	0.852016124	0.42566456	2.597656951	0.742822651	4.227155837	0.834926238	3.6341333	9.024216965	1.801814012	14.49642476
175	0.109403469	0.044206965	0.813808302	0.387374884	2.450460323	0.683495128	3.922906686	0.444467681	4.117377511	5.235180937	1.242409029	14.11297359
180	0.111095061	0.041232125	0.778615175	0.355018765	2.310437776	0.624675316	3.649468018	0.233259056	4.089178753	3.443487807	0.306726061	11.50737978
185	0.114158913	0.039521323	0.740475848	0.310781046	2.177608283	0.52565342	3.406682545	0.198325057	3.934370593	2.596296465	1.590061707	9.039829329
190	0.109954065	0.031002258	0.706891795	0.26956943	2.055074738	0.422894357	3.189207305	0.225147923	3.748807115	2.137078062	2.334339851	7.239684973
195	0.110617947	0.028690996	0.675328856	0.239340381	1.941409914	0.354602754	2.992001159	0.218557632	3.554963117	1.780082372	2.721364216	5.850443592
200	0.110186103	0.026728998	0.641086273	0.217008394	1.834401089	0.323497546	2.809554703	0.166906567	3.37047126	1.439784004	2.902931793	4.713240769
205	0.108557361	0.024383947	0.61210162	0.204177902	1.735445629	0.308700244	2.650273658	0.099418533	3.197553349	1.149127017	2.966859709	3.816909304
210	0.10669657	0.021979753	0.583482518	0.189691304	1.64470855	0.289698435	2.506057321	0.057161056	3.028234146	0.950196424	2.965303881	3.160647498
215	0.106631465	0.021376782	0.557295583	0.174385145	1.559982904	0.261523108	2.365143318	0.05168355	2.876293751	0.818021539	2.92408353	2.694111572
220	0.105740281	0.020156681	0.531942064	0.159235925	1.481622954	0.234112917	2.241399496	0.048445193	2.737222065	0.717925462	2.862552	2.334010232
225	0.107777161	0.02225737	0.507177382	0.146309435	1.407773583	0.213768857	2.126589428	0.038812193	2.603091254	0.628519104	2.783552606	2.029992548
230	0.105609708	0.020516258	0.484067237	0.136575379	1.340588323	0.202598002	2.020238915	0.022052993	2.481455071	0.538015198	2.704427299	1.75545268
235	0.104319185	0.019833384	0.458921978	0.124777961	1.27614185	0.191910476	1.923539264	0.004464584	2.36701838	0.460334089	2.622136451	1.523098276
240	0.097575152	0.013750452	0.441081573	0.119088131	1.217000101	0.180946341	1.832816146	0.005541162	2.258829091	0.401639506	2.536387942	1.33832427
245	0.098143128	0.015010574	0.422747426	0.111827533	1.1622622	0.169444429	1.749345857	0.01113277	2.165939731	0.348997532	2.454249663	1.186539405
250	0.094388481	0.012039882	0.402671403	0.102459083	1.11089212	0.15886496	1.67148522	0.015603364	2.071778879	0.310567435	2.374477803	1.056134796
255	0.094031209	0.012576629	0.386813659	0.097332874	1.063516148	0.151284316	1.598449974	0.021114902	1.990708465	0.267468337	2.300498935	0.93586592
260	0.092332324	0.011857175	0.36889352	0.090030162	1.017938971	0.14417854	1.531038704	0.028190995	1.907277376	0.234647564	2.226010389	0.830822515
265	0.091441755	0.011983047	0.356378453	0.087642503	0.975329007	0.137733576	1.468620977	0.034846263	1.836475647	0.198932641	2.1507507	0.742727398
270	0.0870206	0.008593926	0.343935404	0.084706993	0.935813474	0.131749869	1.409877678	0.039479908	1.759940168	0.178373366	2.086510676	0.659666228
275	0.089023499	0.011639061	0.3262896	0.076081134	0.898193112	0.125509416	1.353760583	0.042061811	1.699443801	0.149917583	2.017087932	0.594576281
280	0.086625545	0.010310756	0.312691661	0.071163209	0.862053279	0.119209786	1.302074552	0.045564425	1.631128264	0.135082931	1.955889166	0.531419416
285	0.083294659	0.008071922	0.306134996	0.072990215	0.830163922	0.115821253	1.253761145	0.049446855	1.577974531	0.110413019	1.899508813	0.471997771
290	0.083022643	0.008899408	0.295180327	0.070093516	0.798768258	0.111502228	1.207338251	0.052168765	1.522825361	0.09272031	1.846736982	0.417199031
295	0.082658904	0.009634565	0.283163067	0.065751768	0.769488948	0.107770479	1.165211587	0.056049707	1.471935362	0.075810088	1.791002504	0.373198716
300	0.079054992	0.007127891	0.273982852	0.063873388	0.742057851	0.104458934	1.124723075	0.058709594	1.423561822	0.060946371	1.742121485	0.329613568
305	0.076991124	0.006155945	0.264197276	0.061066486	0.716685478	0.101946811	1.085341616	0.059973499	1.376909873	0.04833742	1.689195246	0.296190109
310	0.08177038	0.012015546	0.250389407	0.053934011	0.691382671	0.098331856	1.048777327	0.061716592	1.334342445	0.035326158	1.645399915	0.259452514
315	0.074656845	0.005979533	0.245497923	0.055381086	0.667138609	0.094602525	1.01585983	0.064821801	1.29232995	0.025247064	1.602078786	0.227590779
320	0.077461363	0.009842831	0.238645264	0.054574952	0.64538427	0.092277869	0.983076176	0.066012085	1.253683959	0.014993743	1.55908664	0.200214569
325	0.0713209	0.004759421	0.226873185	0.048631382	0.62518138	0.090654543	0.952181505	0.06744019	1.217304528	0.005035495	1.517181234	0.175669245
330	0.070642694	0.005129603	0.224367386	0.051762975	0.605832957	0.089214075	0.923791824	0.070035507	1.182593891	0.004512391	1.477981173	0.151655478
335	0.073461127	0.008983045	0.211603261	0.044439475	0.586876746	0.087395079	0.89549478	0.071266626	1.14943473	0.013374616	1.443929641	0.125937207
340	0.068973597	0.005510834	0.203323741	0.041265508	0.568079464	0.084645909	0.868599293	0.071932044	1.116914316	0.019993596	1.409462696	0.104845157
345	0.072762235	0.010277636	0.197420644	0.040079506	0.552415328	0.083771678	0.844828976	0.073511533	1.087037495	0.02606309	1.378130165	0.085241982
350	0.065058006	0.003536226	0.191797083	0.03889743	0.534172015	0.079424067	0.82086131	0.073280661	1.058427829	0.031028196	1.345126581	0.070726231
355	0.071193802	0.010623737	0.193589531	0.04505688	0.519786994	0.078647343	0.798969741	0.07455195	1.031281189	0.036545708	1.315024731	0.054762044
360	0.061913599	0.002308529	0.18240464	0.038271863	0.503793338	0.076234422	0.776198978	0.074787692	1.004779759	0.042361559	1.28370752	0.040629273
365	0.063332233	0.004664466	0.174752009	0.034787086	0.490064652	0.075340795	0.755345008	0.075630309	0.981059363	0.04905641	1.256705469	0.024950665
370	0.064652107	0.00685647	0.168964596	0.032510849	0.476441223	0.072565532	0.735724781	0.074375612	0.957125666	0.050913153	1.230535143	0.014903214
375	0.064304219	0.007296241	0.173132769	0.039331782	0.464040557	0.068469831	0.718762065	0.071554456	0.934241839	0.04799351	1.201792629	0.015453862
380	0.060720148	0.004452679	0.166233975	0.034625848	0.454180808	0.065465994	0.700186602	0.064727614	0.912545273	0.042907295	1.177133729	0.016630729
385	0.061340123	0.005831387	0.156239498	0.027050088	0.441689336	0.060454648	0.683695736	0.060917305	0.892381275	0.040568691	1.154743525	0.01397339
390	0.059878496	0.005168023	0.155709288	0.029329762	0.431399431	0.058784336	0.667230688	0.058948121	0.871376869	0.039813215	1.131895081	0.008549827
395	0.059032066	0.005033593	0.151226866	0.026838778	0.418216025	0.051781694	0.650825936	0.053012161	0.853119921	0.036250202	1.110083052	0.009717616
400	0.058586411	0.004931538	0.147482622	0.021471514	0.410795289	0.039905313	0.636744286	0.032114459	0.835550718	0.009832125	1.088967812	0.0423384
