 TITLE = "Density VS Temperature for Oxygen" 

VARIABLES =  T	rho_NIST_0.1Mpa	rho_Soave_0.1Mpa	rho_new_0.1Mpa	rho_NIST_1Mpa	rho_Soave_1Mpa	rho_new_1Mpa	rho_NIST_3Mpa	rho_Soave_3Mpa	rho_new_3Mpa	rho_NIST_5Mpa	rho_Soave_5Mpa	rho_new_5Mpa	rho_NIST_7Mpa	rho_Soave_7Mpa	rho_new_7Mpa	rho_NIST_10Mpa	rho_Soave_10Mpa	rho_new_10Mpa	
60	1282.1	1435.077686	1260.940801	1283.2	1435.969584	1265.44109	1285.6	1437.912625	1274.84216	1287.9	1439.804	1283.51807	1290.3	1441.646088	1291.570212	1293.7	1444.321618	1302.651765
65	1259.8	1414.015193	1234.260443	1261	1415.074872	1239.29126	1263.6	1417.379323	1249.75234	1266.2	1419.617212	1259.354093	1268.7	1421.791909	1268.225355	1272.4	1424.942226	1280.378046
70	1237.1	1391.728506	1208.145514	1238.4	1392.983779	1213.735672	1241.2	1395.708018	1225.302291	1244.1	1398.346464	1235.857459	1246.8	1400.903908	1245.563548	1250.9	1404.597714	1258.796685
75	1214	1368.109432	1182.358439	1215.5	1369.594091	1188.548581	1218.6	1372.808557	1201.286823	1221.7	1375.912181	1212.83834	1224.7	1378.911818	1223.407063	1229.2	1383.22977	1237.744264
80	1190.6	1343.028612	1156.589838	1192.2	1344.784239	1163.438577	1195.7	1348.57492	1177.445413	1199.1	1352.221781	1190.058946	1202.4	1355.734715	1201.535771	1207.3	1360.772206	1217.021162
85	1166.7	1316.329614	1130.456407	1168.4	1318.408138	1138.048787	1172.3	1322.881402	1153.465539	1176.1	1327.166871	1167.238485	1179.7	1331.278991	1179.692936	1185.1	1337.149762	1196.397882
90	1142.1	1287.820472	1103.491411	1144.1	1290.287874	1111.951345	1148.4	1295.577347	1128.982431	1152.6	1300.619487	1144.055585	1156.7	1305.435697	1157.589066	1162.6	1312.276595	1175.619892
95	4.1642	4.1463334	4.129864937	1119	1260.203102	1084.632401	1123.9	1266.479738	1103.573359	1128.6	1272.426945	1120.147134	1133.1	1278.077013	1134.903148	1139.7	1286.054348	1154.410617
100	3.9411	3.928998687	3.916802159	1093	1227.875152	1055.46111	1098.5	1235.362496	1076.743716	1103.9	1242.404662	1095.102239	1109	1249.051478	1111.280642	1116.3	1258.369685	1132.472369
105	3.7418	3.733811543	3.724769961	1065.8	1192.942222	1023.629437	1072.2	1201.940511	1047.900114	1078.2	1210.325889	1068.449376	1084	1218.177455	1086.327417	1092.2	1229.091116	1109.485022
110	3.5625	3.557485459	3.55076952	1037.2	1154.918637	988.0322918	1044.6	1165.844844	1016.301122	1051.6	1175.906567	1039.633398	1058.2	1185.233949	1059.598408	1067.4	1198.064866	1085.102277
115	3.4001	3.39736435	3.392353692	1006.7	1113.123483	947.0065001	1015.5	1126.582289	980.9649766	1023.6	1138.782153	1007.975929	1031.2	1149.947367	1030.578828	1041.8	1165.109452	1058.945234
120	3.2524	3.251276168	3.24750448	38.246	38.40174541	37.05148769	984.3	1083.465119	940.483432	993.94	1098.470488	972.6058219	1002.8	1111.971824	998.6539808	1015	1130.008465	1030.592812
125	3.1174	3.117425978	3.114541998	35.777	36.03922271	35.09123628	950.5	1035.478651	892.594435	962.23	1054.308798	932.3295312	972.81	1070.858678	963.0601121	987.05	1092.500887	999.5683247
130	2.9935	2.99431651	2.992055816	33.715	34.01412665	33.33944985	913.01	981.0018705	832.9671738	927.76	1005.338672	885.3646606	940.66	1026.007229	922.8010617	957.54	1052.267971	965.32128
135	2.8793	2.880688187	2.878852478	31.942	32.24939716	31.76278977	869.91	917.1121622	749.9803377	889.49	950.0743081	828.7048172	905.73	976.5802741	876.4979556	926.17	1008.915491	927.2035208
140	2.7736	2.775473245	2.773914895	30.39	30.69155022	30.33518734	816.97	837.3054175	743.7269005	845.54	885.9656921	756.1970066	867.04	921.3488734	822.0953664	892.47	961.9501515	884.4402736
145	2.6756	2.677760188	2.676370584	29.014	29.30190175	29.0358557	117.06	120.416616	112.8276296	791.96	807.8526075	649.1670132	822.91	858.3799342	756.2279459	855.79	910.7502607	836.1031023
150	2.5845	2.58676593	2.585466563	27.779	28.05154916	27.8479398	105.75	109.0044457	104.3196005	717.26	701.2418072	620.5053575	770.16	784.3293205	672.7315326	815.2	854.5372783	781.1158356
155	2.4994	2.501813746	2.500549332	26.664	26.91832395	26.75757306	97.576	100.5254838	97.35283083	284.95	297.2185311	227.5925944	701.63	692.5983359	560.0183317	769.3	792.3800096	718.4069825
160	2.4199	2.422315654	2.421048779	25.648	25.88484997	25.75320201	91.156	93.79571562	91.48375087	207.36	217.5621979	196.4500724	595.61	568.5384318	422.0097797	716.01	723.3530009	647.564307
165	2.3453	2.347758212	2.346465125	24.718	24.93725695	24.82509256	85.875	88.23546529	86.43956832	179.97	188.1865899	176.3188059	411.92	411.4913516	329.3612091	652.5	647.2441813	570.7082048
170	2.2752	2.277690974	2.276358273	23.861	24.06429957	23.96496231	81.4	83.51449276	82.03917649	162.68	169.5567371	161.4974383	305.95	317.0686308	279.0468956	577.01	566.613353	494.9581977
175	2.2093	2.211717051	2.21033905	23.069	23.25673744	23.16570227	77.526	79.42574387	78.1554947	150.06	155.9467138	149.8455874	259.04	269.7056547	246.9977286	495.45	489.2944845	429.6580677
180	2.1471	2.149485322	2.148061967	22.333	22.50688813	22.42116319	74.118	75.83045027	74.69552501	140.16	145.2750944	140.3114846	230.6	240.0296462	224.086354	423.27	424.5682794	378.5581909
185	2.0883	2.090683981	2.089219193	21.648	21.80829821	21.72598936	71.083	72.6309093	71.58892803	132.04	136.5381836	132.2955583	210.58	218.8649976	206.5317516	369.11	374.9790768	339.6125804
190	2.0328	2.035035146	2.033535513	21.007	21.15549676	21.07548776	68.351	69.75566413	68.78106966	125.18	129.1722497	125.4216161	195.29	202.6110454	192.4654802	329.85	337.54982	309.5052611
195	1.9801	1.982290346	1.980764089	20.406	20.54380761	20.46552392	65.872	67.15084554	66.22857941	119.26	122.8282606	119.4371335	183.02	189.5262935	180.8384936	300.49	308.6674273	285.6253293
200	1.9301	1.932226702	1.930682879	19.842	19.96920434	19.89243829	63.608	64.77482584	63.89639866	114.07	117.274859	114.1638639	172.82	178.6448484	171.0057073	277.64	285.6996998	266.1989774
205	1.8826	1.884643701	1.883091589	19.31	19.42819682	19.35297826	61.527	62.59476763	61.75575342	109.45	112.3507245	109.4710053	164.13	169.3781443	162.5428959	259.23	266.9209904	250.0447995
210	1.8374	1.839360443	1.83780908	18.808	18.91774139	18.84424262	59.604	60.58431208	59.7827226	105.3	107.9388784	105.2595627	156.6	161.3422147	155.1564009	243.97	251.2044519	236.3618195
215	1.7943	1.796213288	1.794671141	18.333	18.435169	18.36363562	57.82	58.72198211	57.95720227	101.55	103.951803	101.4527164	149.96	154.2732901	148.6345967	231.04	237.7958026	224.5916685
220	1.7532	1.755053839	1.753528568	17.883	17.9781272	17.90882872	56.158	56.99004982	56.26214046	98.123	100.3223284	97.98961796	144.04	147.9826947	142.8199737	219.88	226.1741793	214.3337803
225	1.7139	1.715747193	1.714245515	17.456	17.54453288	17.47772848	54.605	55.37371476	54.68296121	94.978	96.99779211	94.8212441	138.72	142.3310082	137.5921808	210.12	215.9688007	205.2930745
230	1.6764	1.678170441	1.676698049	17.05	17.13253346	17.06844935	53.148	53.86049588	53.20712375	92.076	93.93615518	91.90753637	133.89	137.2124202	132.8572509	201.46	206.9083392	197.247009
235	1.6405	1.642211356	1.640772897	16.664	16.74047476	16.67929042	51.779	52.43977349	51.82377976	89.384	91.10333634	89.21537511	129.48	132.5448154	128.5404952	193.71	198.7893405	190.0242853
240	1.6062	1.607767252	1.60636635	16.295	16.36687424	16.30871543	50.488	51.10243901	50.52350302	86.879	88.47133234	86.71710942	125.43	128.2632493	124.5816622	186.72	191.4559436	183.4907169
245	1.5732	1.574743988	1.573383296	15.943	16.01039862	15.95533539	49.268	49.84062334	49.29807323	84.538	86.016862	84.38946784	121.68	124.3155155	120.9315481	180.36	184.7864847	177.5396095
250	1.5416	1.543055093	1.541736374	15.607	15.66984493	15.61789334	48.113	48.64748353	48.1403007	82.344	83.72036779	82.21273532	118.21	120.6590498	117.5495633	174.54	178.6844136	172.0850549
255	1.5112	1.512621	1.511345216	15.285	15.34412447	15.29525093	47.017	47.51703339	47.04388232	80.282	81.56526761	80.17011995	114.97	117.2587175	114.4019459	169.18	173.0719841	167.0571511
260	1.482	1.483368365	1.482135783	14.977	15.03224918	14.98637649	45.976	46.44400762	46.00328183	78.338	79.5373851	78.24725731	111.95	114.085197	111.4604231	164.23	167.8857769	162.3985231
265	1.4539	1.455229472	1.454039769	14.681	14.73331992	14.69033437	44.985	45.42375175	45.01362887	76.501	77.62450973	76.43181612	109.11	111.1137786	108.7011879	159.64	163.0734584	158.0617395
270	1.4269	1.428141697	1.426994069	14.397	14.44651638	14.4062753	44.04	44.45213225	44.070633	74.762	75.81605275	74.71317953	106.45	108.3234563	106.1041038	155.35	158.5913943	154.0073577
275	1.4008	1.402047041	1.400940305	14.125	14.17108841	14.13342774	43.138	43.52546254	43.17050973	73.113	74.10277497	73.08218378	103.93	105.6962319	103.652074	151.35	154.4028626	150.2024179
280	1.3757	1.376891708	1.375824397	13.863	13.90634844	13.87109001	42.276	42.64044164	42.3099162	71.545	72.47656924	71.53090097	101.56	103.2165739	101.330535	147.59	150.4766968	146.6192618
285	1.3515	1.352625727	1.351596181	13.61	13.65166497	13.61862314	41.45	41.79410295	41.48589488	70.052	70.93028476	70.05245647	99.304	100.8709918	99.12704261	144.05	146.7862424	143.2345928
290	1.3281	1.329202624	1.328209064	13.367	13.40645675	13.3754444	40.659	40.98377119	40.69582414	68.629	69.45758417	68.64087379	97.168	98.64769895	97.03093023	140.71	143.3085436	140.0287156
295	1.3055	1.306579112	1.30561971	13.133	13.17018781	13.14102137	39.9	40.20702609	39.93737445	67.269	68.05282618	67.29094194	95.136	96.53634043	95.03302329	137.56	140.023703	136.9849155
300	1.2837	1.284714829	1.283787761	12.907	12.94236297	12.9148666	39.171	39.46167148	39.20846983	65.969	66.71096857	65.99810138	93.201	94.52777385	93.12539905	134.57	136.9143729	134.088945
305	1.2626	1.26357209	1.262675583	12.689	12.72252399	12.69653279	38.47	38.7457089	38.50725369	64.725	65.42748736	64.75834562	91.356	92.61388978	91.3011834	131.74	133.9653458	131.3285973
310	1.2421	1.24311567	1.242248033	12.479	12.51024609	12.48560843	37.796	38.05731499	37.83205875	63.532	64.19830921	63.56813646	89.592	90.78746408	89.55437861	129.04	131.1632241	128.6933502
315	1.2224	1.223312605	1.222472256	12.275	12.30513487	12.28171386	37.147	37.39482198	37.18138067	62.386	63.01975431	62.42433102	87.906	89.04203557	87.8797173	126.47	128.496149	126.1740686
320	1.2032	1.204132015	1.203317495	12.078	12.10682358	12.08449781	36.521	36.75670079	36.55385505	61.286	61.88848807	61.32411918	86.29	87.37180389	86.27253901	124.02	125.9535793	123.7627558
325	1.1847	1.185544939	1.184754918	11.888	11.91497068	11.89363426	35.917	36.1415464	35.94823745	60.228	60.80147988	60.26497036	84.74	85.77154386	84.72868638	121.68	123.5261061	121.4523467
330	1.1667	1.167524188	1.166757469	11.703	11.72925772	11.70881978	35.334	35.54806502	35.36338628	59.209	59.7559679	59.24458847	83.252	84.23653307	83.24441839	119.44	121.2053007	119.2365379
335	1.1492	1.150044215	1.149299727	11.525	11.54938728	11.52977104	34.771	34.97506291	34.79824824	58.228	58.7494287	58.26087428	81.822	82.76249049	81.81633863	117.29	118.9835851	117.109647
340	1.1323	1.133080988	1.132357777	11.352	11.37508131	11.3562228	34.227	34.42143656	34.25184604	57.282	57.77955105	57.31189421	80.447	81.34552406	80.44133649	115.23	116.8541239	115.0665002
345	1.1158	1.116611881	1.115909102	11.184	11.20607952	11.18792606	33.7	33.88616397	33.7232682	56.368	56.8442132	56.39585487	79.122	79.98208581	79.1165397	113.25	114.8107324	113.1023416
350	1.0999	1.100615573	1.099932472	11.021	11.04213796	11.02464651	33.191	33.36829703	33.21166065	55.486	55.94146311	55.5110825	77.845	78.66893314	77.83927655	111.35	112.8477984	111.2127615
355	1.0843	1.085071954	1.084407856	10.862	10.88302769	10.86616321	32.697	32.86695475	32.7162199	54.633	55.06950114	54.65600675	76.613	77.40309546	76.60704625	109.52	110.9602151	109.3936422
360	1.0693	1.069962042	1.069316335	10.709	10.72853371	10.71226744	32.219	32.38131718	32.23618763	53.809	54.22666491	53.82914793	75.424	76.18184509	75.41749631	107.76	109.1433232	107.6411159
365	1.0546	1.055267902	1.054640024	10.56	10.57845381	10.56276175	31.755	31.91062003	31.77084637	53.011	53.41141594	53.02910739	74.274	75.00267203	74.26840547	106.06	107.3928618	105.9515339
370	1.0403	1.040972576	1.040362002	10.415	10.43259766	10.41745911	31.305	31.45414992	31.31951612	52.238	52.62232791	52.25456026	73.163	73.86326185	73.15767131	104.42	105.7049248	104.3214452
375	1.0264	1.027060019	1.026466247	10.273	10.29078593	10.27618225	30.868	31.01124004	30.88155178	51.488	51.85807621	51.5042501	72.088	72.76147626	72.08330133	102.84	104.0759235	102.7475809
380	1.0129	1.013515034	1.012937578	10.136	10.15284948	10.13876302	30.443	30.58126626	30.45634113	50.762	51.11742872	50.77698515	71.047	71.69533604	71.04340692	101.31	102.5025542	101.2268444
385	0.99971	1.000323223	0.999761604	10.003	10.01862864	10.00504189	30.031	30.16364372	30.04330331	50.057	50.39923757	50.07163549	70.038	70.663006	70.03619913	99.829	100.9817689	99.75630512
390	0.98688	0.987470929	0.986924666	9.8726	9.887972555	9.874867485	29.63	29.75782365	29.64188754	49.373	49.70243181	49.38713114	69.061	69.66278158	69.05998594	98.397	99.5107508	98.33319452
395	0.97437	0.974945191	0.974413803	9.746	9.76073857	9.748096188	29.241	29.36329055	29.25157216	48.709	49.02601081	48.72246054	68.112	68.69307704	68.11317031	97.01	98.08689157	96.95490373
400	0.96217	0.962733701	0.962216699	9.6226	9.636791663	9.624591748	28.861	28.97955963	28.87186369	48.063	48.36903841	48.07666921	67.191	67.75241488	67.19424851	95.666	96.70777195	95.61898167
