TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
220	0.060992422	0.215540756	4.580396108	1.096371144	3.387109432	0.340091591	2.885222424	0.016012372	2.65308011	0.135074599	2.22111788	0.418262518
230	0.024251986	0.136771618	5.488506639	1.28333502	3.93125106	0.342094965	3.301641322	0.047768823	3.007722973	0.234497207	2.486382809	0.561315548
240	0.089088191	0.078438867	1.645139817	1.10191531	4.665806402	0.450726566	3.854630584	0.030746137	3.487242254	0.254026043	2.829579052	0.655690346
250	0.135632833	0.035299385	0.888745183	0.406473552	5.646880071	0.415547629	4.573188858	0.168078953	4.105723731	0.428015454	3.276497219	0.898337503
260	0.171419537	0.005255264	0.360465828	0.03578544	6.989574786	0.641535078	5.51708023	0.082932426	4.894013831	0.405607741	3.837726471	0.960616846
270	0.198213872	0.013711578	0.020772063	0.31017252	8.937973585	1.300664328	6.760814063	0.343397915	5.908105885	0.061872692	4.504403669	0.763210264
280	0.219595369	0.03206929	0.299754473	0.544695083	12.24156427	1.173917878	8.479996528	0.069649048	7.216198851	0.385376965	5.28946368	1.160365636
290	0.239956446	0.046662186	0.502420974	0.672679826	1.9960257	6.112978837	11.10581138	0.239103128	8.938531881	0.643835389	6.141200688	1.399374787
300	0.252201082	0.038009508	0.655365852	0.578340103	1.834319738	3.763768694	17.82754567	4.22011216	11.09932575	3.920955926	6.764113291	2.372974895
310	0.258224985	0.018357073	0.763463528	0.393178926	3.401263082	1.568549493	5.93821365	0.192081303	16.51135629	7.27857503	5.277478546	13.92838657
320	0.269860559	0.015409901	0.848373508	0.317061015	4.185851299	0.991069577	7.419398036	0.115639866	10.93556217	2.131623622	14.16055797	16.3513811
330	0.272442536	0.010424342	0.906720517	0.294812136	4.61343947	0.979523667	7.823482347	0.354431243	10.42485987	0.610285792	19.47125327	5.648507646
340	0.277796557	0.007198404	0.947315635	0.245246235	4.83518984	0.727786841	7.901755801	0.165375167	10.04602571	0.540748874	16.28950931	3.425519691
350	0.281774185	0.003980555	0.979027018	0.202988269	4.938850314	0.509548662	7.83787741	0.021890056	9.696403517	0.592687761	14.506784	2.613632231
360	0.281786185	3.2675E-05	0.996179937	0.181479785	4.967881804	0.466554183	7.711282196	0.052885349	9.365873297	0.381949074	13.34354678	1.83491912
370	0.283790862	0.001135756	1.009795928	0.165031837	4.948689139	0.418251509	7.536870013	0.074357383	9.040981291	0.268979894	12.48275644	1.376514569
380	0.281690679	0.006179928	1.014066408	0.141649131	4.897096477	0.338560226	7.352492293	0.03459084	8.731371749	0.259724315	11.79270063	1.15915718
390	0.284919168	0.004863302	1.012407962	0.123351449	4.825320326	0.293531872	7.14909466	0.023817067	8.431190774	0.221332566	11.20186744	0.960125696
400	0.282519117	0.008437897	1.010915716	0.112611061	4.737864183	0.263760497	6.95308359	0.037235058	8.154277749	0.166025815	10.68578584	0.78727513
410	0.28681345	0.005065027	1.002918146	0.098078191	4.642593056	0.229096918	6.755452786	0.030795277	7.879162053	0.148719877	10.22444294	0.676198774
