TITLE = "Decane T rho" 

  VARIABLES = T	Soave_error_01Mpa	new_error_01Mpa	Soave_error_1Mpa	new_error_1Mpa	Soave_error_2Mpa	new_error_2Mpa	Soave_error_3Mpa	new_error_3Mpa	Soave_error_5Mpa	new_error_5Mpa	Soave_error_10Mpa	new_error_10Mpa
60	11.9318061	0.181488522	11.90536034	0.240857433	11.84759059	0.04764827	11.79470455	0.369901097	11.72952706	0.091902498	11.64270059	0.030946028
65	12.24124407	0.333264551	12.21846725	0.10324013	12.16993692	0.305001699	12.11634911	0.038031983	12.0668329	0.13377215	11.9885434	0.045816977
70	12.49927299	0.621119521	12.48254033	0.566091925	12.44827728	0.255894291	12.39823678	0.152982616	12.35995408	0.16369175	12.28697047	0.078808327
75	12.69435186	0.228211137	12.67742417	0.812504479	12.65456727	0.029880341	12.62275366	0.25908799	12.59180358	0.153825781	12.5308957	0.055564875
80	12.80267192	1.032217973	12.7985438	0.579786579	12.785391	0.239784556	12.76972571	0.314579037	12.75238816	0.087789098	12.71201902	0.008359174
85	12.82502908	2.995602334	12.83876568	0.180062691	12.84495454	0.461612802	12.8447301	0.344346846	12.84894385	0.0345134	12.83012082	0.072100708
90	12.75899412	5.263772213	12.77754339	1.285031411	12.8158609	0.621314271	12.84222511	0.336199326	12.85862343	0.156790816	12.87429856	0.102826665
95	0.429052391	0.389291352	12.61868647	2.46574294	12.68615871	0.735750252	12.74383704	0.261755272	12.79472359	0.241539426	12.84148006	0.076500247
100	0.3070542	0.177192456	12.3399041	3.439175762	12.45903471	0.804061545	12.54684866	0.130847366	12.62862744	0.224494409	12.72683735	0.002965641
105	0.213492349	0.049326367	11.92927585	4.002383126	12.10040205	0.821584103	12.25430248	0.00361308	12.37799405	0.115047058	12.53352095	0.113263593
110	0.140759042	0.015434088	11.34965653	4.006825503	11.60682024	0.718350833	11.82070818	0.059024154	12.00472016	0.081578	12.2414152	0.198310781
115	0.080457922	0.041684077	10.57151915	3.362763359	10.93867937	0.454901036	11.25265274	0.064134795	11.51545456	0.276776071	11.83619231	0.212995142
120	0.034553942	0.042286895	0.40722013	1.526140439	10.07468444	0.035709615	10.5167805	0.421254814	10.88669968	0.384791832	11.3308833	0.161492703
125	0.000833335	0.032091762	0.73293656	0.774022326	8.940415667	0.368782266	9.569312788	0.964781935	10.07891346	0.343873317	10.68343929	0.035041689
130	0.027276104	0.019037471	0.887221279	0.349032508	7.447001731	0.419674786	8.361933234	1.53592013	9.073121909	0.119094479	9.892847374	0.102956694
135	0.048212646	0.008985346	0.962360391	0.108983554	5.426097208	0.508474074	6.811128633	1.847437543	7.822449744	0.231105316	8.934158001	0.192135726
140	0.067538406	0.005651931	0.992267922	0.009275524	2.489126587	3.845716948	4.781050231	1.484191998	6.263710251	0.563212924	7.785152615	0.180923412
145	0.080736589	0.003113651	0.992285606	0.044881704	2.867432094	0.23272136	2.006743716	0.213776069	4.310305399	0.657651728	6.422166736	0.063314806
150	0.08767381	0.000429706	0.981133817	0.040064485	3.077490006	0.634445737	2.233247748	4.981281709	1.839789197	0.228414737	4.825475754	0.102162881
155	0.096573006	0.001780499	0.953810182	0.011800904	3.022755361	0.421160322	4.305503106	4.667208393	1.287240302	1.04779398	3.000131238	0.203486312
160	0.099824544	0.00098472	0.923463709	0.010634681	2.895822131	0.12634657	4.920041403	0.680185754	4.54518362	2.977229584	1.025544465	0.121026775
165	0.104814376	0.003629868	0.88703354	0.022507662	2.748722317	0.080113311	4.565533077	0.599533724	0.104061078	0.131407608	0.805489456	0.158756351
170	0.109483732	0.006887723	0.852016124	0.017059859	2.597656951	0.166174206	4.227155837	0.329351428	3.6341333	1.520517379	1.801814012	0.407803584
175	0.109403469	0.005739643	0.813808302	0.005260302	2.450460323	0.156496187	3.922906686	0.134716106	4.117377511	0.955991811	1.242409029	0.306789667
180	0.111095061	0.006349199	0.778615175	0.010859887	2.310437776	0.096211916	3.649468018	0.029686963	4.089178753	0.409407396	0.306726061	0.010904319
185	0.114158913	0.008247271	0.740475848	0.018933581	2.177608283	0.028801848	3.406682545	0.010345868	3.934370593	0.05345238	1.590061707	0.098918037
190	0.109954065	0.002969625	0.706891795	0.023536277	2.055074738	0.021289271	3.189207305	0.016854571	3.748807115	0.117706549	2.334339851	0.08094761
195	0.110617947	0.002920972	0.675328856	0.022775733	1.941409914	0.043430128	2.992001159	0.012153817	3.554963117	0.159660335	2.721364216	0.059430063
200	0.110186103	0.002382898	0.641086273	0.014653558	1.834401089	0.040098856	2.809554703	0.009440139	3.37047126	0.121669424	2.902931793	0.058392717
205	0.108557361	0.001340828	0.61210162	0.0099899	1.735445629	0.023994224	2.650273658	0.001772669	3.197553349	0.054331141	2.966859709	0.061237
210	0.10669657	0.000664241	0.583482518	0.005841988	1.64470855	0.006741091	2.506057321	0.004891483	3.028234146	0.000964795	2.965303881	0.053534461
215	0.106631465	0.002161103	0.557295583	0.004787453	1.559982904	0.006098909	2.365143318	0.001695009	2.876293751	0.034419938	2.92408353	0.028871367
220	0.105740281	0.002974119	0.531942064	0.004738688	1.481622954	0.011109391	2.241399496	0.004368621	2.737222065	0.045621797	2.862552	0.001776112
225	0.107777161	0.006687818	0.507177382	0.004626836	1.407773583	0.010648641	2.126589428	0.006360802	2.603091254	0.033023186	2.783552606	0.032095226
230	0.105609708	0.006126706	0.484067237	0.004931663	1.340588323	0.004910194	2.020238915	0.00807561	2.481455071	0.015609808	2.704427299	0.040947376
235	0.104319185	0.006414674	0.458921978	0.001857555	1.27614185	0.00027206	1.923539264	0.011108405	2.36701838	0.001789628	2.622136451	0.032470088
240	0.097575152	0.001315728	0.441081573	0.004908941	1.217000101	0.00405103	1.832816146	0.012049499	2.258829091	0.014423774	2.536387942	0.014582804
245	0.098143128	0.003648655	0.422747426	0.006580666	1.1622622	0.006492827	1.749345857	0.012381999	2.165939731	0.012165405	2.454249663	0.008473484
250	0.094388481	0.001794236	0.402671403	0.005712017	1.11089212	0.006312798	1.67148522	0.011041522	2.071778879	0.0127779	2.374477803	0.025340277
255	0.094031209	0.003406569	0.386813659	0.008094226	1.063516148	0.00507536	1.598449974	0.008277629	1.990708465	0.00451919	2.300498935	0.033778338
260	0.092332324	0.003658009	0.36889352	0.007201465	1.017938971	0.001859914	1.531038704	0.006266918	1.907277376	0.00411646	2.226010389	0.02777029
265	0.091441755	0.004608798	0.356378453	0.010247713	0.975329007	0.000963928	1.468620977	0.00578895	1.836475647	0.002768434	2.1507507	0.011575101
270	0.0870206	0.001872768	0.343935404	0.011865062	0.935813474	0.002376186	1.409877678	0.006498239	1.759940168	0.001407863	2.086510676	0.002797635
275	0.089023499	0.005393735	0.3262896	0.006946105	0.898193112	0.003148897	1.353760583	0.007569306	1.699443801	0.005384531	2.017087932	0.009646587
