TITLE = "oxygen alpha expdata" 

  VARIABLES = exp_Tr	exp_alpha_1.5MPa	exp_alpha_0.1MPa	exp_alpha_2MPa
0.566618099	2.34445495	2.339220037	2.349446202
0.582807188	2.179886738	2.176046836	2.183792686
0.598996277	2.04640864	2.043432565	2.049668696
0.615185365	1.936220581	1.93376998	1.938535547
0.631374454	1.843445182	1.841630328	1.845145797
0.647563542	1.764290582	1.762886522	1.765600094
0.663752631	1.695994615	1.695099954	1.696937092
0.679941719	1.636499297	1.635840518	1.637093276
0.696130808	1.584039384	1.583628131	1.58439915
0.712319896	1.537378474	1.537225331	1.537583317
0.728508985	1.495642506	1.495675693	1.495580993
0.744698073	1.457986425	1.458158213	1.457723175
0.760887162	1.423688312	1.424037189	1.423333741
0.777076251	1.392256921	1.39275756	1.391761842
0.793265339	1.363253565	1.363840364	1.362685563
0.809454428	1.336242767	1.336878941	1.335588993
0.825643516	1.310908627	1.311581971	1.310239629
0.841832605	1.286904365	1.28754318	1.286210621
0.858021693	1.263892654	1.264510092	1.26325856
0.874210782	1.241648652	1.242120704	1.241138459
0.89039987	1.219804442	1.220067787	1.219445495
0.906588959	1.197979752	1.197832902	1.1979457
0.922778048	1.175656013	1.174875615	1.176171279
0.938967136	1.152141093	1.150161539	1.153569685
0.955156225	1.126058415	1.121454554	1.12925404
0.971345313	1.093715072	1.05312471	1.10136072
0.987534402	1.030911448	1.026699001	1.063377875
1.00372349	1.007143823	1.001466813	1.008059501
1.019912579	0.983506681	0.977436552	0.987457637
1.036101667	0.960656633	0.95454587	0.965573634
1.052290756	0.938715464	0.93274756	0.943977143
1.068479845	0.917681697	0.911919491	0.923017464
1.084668933	0.897526876	0.892012547	0.902807901
1.100858022	0.878215354	0.872952919	0.883350514
1.11704711	0.859696573	0.854693703	0.864618711
1.133236199	0.841889883	0.837218558	0.84660714
1.149425287	0.824773061	0.820387975	0.82927836
1.165614376	0.808371383	0.804235967	0.81260048
1.181803464	0.792495238	0.788707047	0.796510904
1.197992553	0.777263338	0.773684469	0.781028263
1.214181642	0.76255426	0.759293846	0.766044505
1.23037073	0.748350246	0.74537299	0.751644654
1.246559819	0.734624145	0.731902561	0.737651216
1.262748907	0.721372332	0.718873485	0.724172883
1.278937996	0.708570382	0.706310468	0.711109664
1.295127084	0.6961878	0.694174254	0.69848197
1.311316173	0.684111989	0.682353604	0.686228597
1.327505261	0.672435884	0.670936005	0.674343028
1.34369435	0.661117835	0.659836879	0.662831731
1.359883439	0.650168363	0.649065676	0.651647422
1.376072527	0.639440818	0.638597745	0.640770385
1.392261616	0.629088645	0.628370458	0.630134505
1.408450704	0.619007149	0.618459281	0.619817584
1.424639793	0.609175093	0.608928737	0.609882521
1.440828881	0.599540804	0.599435663	0.600050662
1.45701797	0.590318709	0.590375533	0.590525898
1.473207058	0.581115695	0.581336053	0.581293796
1.489396147	0.572263297	0.572711199	0.572314411
1.505585236	0.563624576	0.564245044	0.563389815
1.521774324	0.555198447	0.55586454	0.55481231
1.537963413	0.54696845	0.547725521	0.546344588
1.554152501	0.538707688	0.539732614	0.538135241
1.57034159	0.530945301	0.532037193	0.530037423
1.586530678	0.523029099	0.524517405	0.522187249
1.602719767	0.515494933	0.517020635	0.514398695
1.618908855	0.508051189	0.509668643	0.506964229
0.940586045	1.149676779	1.147540237	1.151237621
0.942204954	1.147196397	1.144861848	1.148897606
0.943823863	1.14468276	1.142132896	1.146508803
0.945442772	1.142120069	1.13937856	1.144117444
0.94706168	1.139552662	1.136567779	1.141704765
0.948680589	1.136925946	1.133690476	1.139273764
0.950299498	1.134283905	1.130738225	1.136807306
0.951918407	1.131575188	1.127738369	1.134329148
0.953537316	1.128843446	1.124650245	1.131803365
0.956775134	1.12321022	1.118167168	1.12666638
0.958394042	1.120290579	1.114773684	1.124045374
0.960012951	1.117325995	1.111234107	1.121396015
0.96163186	1.114260624	1.069352605	1.118687903
0.963250769	1.111124011	1.066647564	1.115945517
0.964869678	1.107898248	1.063937203	1.113157975
0.966488587	1.104569044	1.061227463	1.110299286
0.968107496	1.101097086	1.058523872	1.10739515
0.969726404	1.097492734	1.055819278	1.104406493
0.972964222	1.089721139	1.050433635	1.098223653
0.974583131	1.085469758	1.047752134	1.094995361
0.97620204	1.080890748	1.045088028	1.091663632
0.977820949	1.075877879	1.042425431	1.088206252
0.979439858	1.041673883	1.039777528	1.084620069
0.981058766	1.03971112	1.037135175	1.080867819
0.982677675	1.037624948	1.034514714	1.076910482
0.984296584	1.03544431	1.031898865	1.072722697
0.985915493	1.033202075	1.029298307	1.068238286
0.989153311	1.028590761	1.024119245	1.057968232
0.99077222	1.026242783	1.021552445	1.051786585
0.992391128	1.023877187	1.019002252	1.044264108
0.994010037	1.021498951	1.016457342	1.033580978
0.995628946	1.01911407	1.013931627	1.01432595
0.997247855	1.016725089	1.011410206	1.013881502
0.998866764	1.014328286	1.008905172	1.012815812
1.000485673	1.011932606	1.006413454	1.011417691
1.002104582	1.009541071	1.003930508	1.009818398
1.005342399	1.004757849	0.99901619	1.006211095
1.006961308	1.002369663	0.9965709	1.004282723
1.008580217	0.999989394	0.994139548	1.002283559
1.010199126	0.997617562	0.991712604	1.00024193
1.011818035	0.995243193	0.989297785	0.998156296
1.013436944	0.992885474	0.98690305	0.996053259
1.015055852	0.990528199	0.984516745	0.993945448
1.016674761	0.988178525	0.98214584	0.991794427
1.01829367	0.985842887	0.979797506	0.989630462

		
