T,P,NIST,PR,New,PR_rate,New_rate,
100,2759520,440.9298183,497.137948,441.731212,12.74763632,0.181750851,0.088872745
105,2759520,434.1250569,489.3220379,433.7670422,12.71453472,0.082468082,
110,2759520,427.1659749,481.1152482,426.6875854,12.62958112,0.111991468,
115,2759520,420.0300671,472.4821857,420.0454753,12.48770568,0.003668352,
120,2759520,412.6909976,463.3809396,413.3671377,12.28278355,0.163836872,
125,2759520,405.1172522,453.761242,406.308367,12.0073854,0.294017285,
130,2759520,397.2703363,443.5618754,398.7414046,11.65240263,0.370294026,
135,2759520,389.1022226,432.7069158,390.7543188,11.20648782,0.424591827,
140,2759520,380.5515621,421.1000936,382.5594739,10.65520041,0.527632017,
145,2759520,371.5377938,408.6159733,374.3256044,9.979652175,0.750343742,
150,2759520,361.9514975,395.0854243,365.9810528,9.154244994,1.113285989,
155,2759520,351.6375285,380.2700766,357.0596471,8.1426315,1.541962451,
160,2759520,340.3629191,363.8133825,346.6287873,6.889840862,1.840937385,
165,2759520,327.7481803,345.1350525,333.2364288,5.304948497,1.674532107,
170,2759520,313.0925954,323.1592195,314.6175566,3.215222683,0.487063987,
185,2759520,39.70570428,40.90113465,40.16956238,3.010727028,1.168240443,
190,2759520,37.13150893,38.24857003,37.41907722,3.008391349,0.774458952,
195,2759520,35.03752227,36.06728048,35.1816499,2.939015494,0.411352209,
200,2759520,33.27390432,34.21924597,33.32815648,2.841090243,0.163047162,
205,2759520,31.75269196,32.61991468,31.76399959,2.731178582,0.035611556,
210,2759520,30.4173595,31.21350181,30.41704116,2.617394523,0.001046596,
215,2759520,29.22925712,29.96116558,29.23269633,2.504026898,0.011766332,
220,2759520,28.16072454,28.83472896,28.17135745,2.393420029,0.037757942,
225,2759520,27.191257,27.81307953,27.20602054,2.28684731,0.054295176,
230,2759520,26.30521962,26.87997832,26.31938653,2.184960651,0.053855907,
235,2759520,25.49041123,26.02266121,25.50062286,2.088039975,0.040060651,
240,2759520,24.73712324,25.23091072,24.74240603,1.99613947,0.021355742,
245,2759520,24.03750116,24.49641952,24.03880262,1.909176651,0.005414285,
250,2759520,23.38509888,23.81234183,23.38418608,1.82698798,0.003903367,
255,2759520,22.7745596,23.17296958,22.77301039,1.749364153,0.00680236,
260,2759520,22.20138251,22.57349381,22.20005758,1.676072658,0.005967756,
265,2759520,21.66174899,22.00982561,21.66077614,1.606872197,0.004491088,
270,2759520,21.15239092,21.47845964,21.1514646,1.54152183,0.004379244,
275,2759520,20.67048934,20.97636848,20.66923101,1.479786655,0.006087595,
280,2759520,20.21359561,20.50091999,20.21179346,1.421441216,0.008915501,
