Tr,Pr,bias corrected model,Nist,bias uncorrected model, upper,lower,bias,PR_alpha,,,,,
0.607810363,0.6,2.868048328,2.871853326,3.366639682,2.884384623,2.851712033,-0.498591354,1.582826945,2.902903131,1.582826945,2.902903131,1.582826945,2.902903131
0.615407993,0.6,2.737451134,2.734705733,3.329502431,2.753787429,2.721114839,-0.592051297,1.568544449,2.767508272,1.568544449,2.767508272,1.568544449,2.767508272
0.623005622,0.6,2.618038521,2.613604173,3.29236518,2.634374816,2.601702226,-0.674326659,1.554413982,2.644120909,1.554413982,2.644120909,1.554413982,2.644120909
0.630603252,0.6,2.509653151,2.505878095,3.255227929,2.525989446,2.493316855,-0.745574779,1.540432772,2.532490033,1.540432772,2.532490033,1.540432772,2.532490033
0.638200881,0.6,2.411761814,2.409416848,3.218090678,2.428098109,2.395425519,-0.806328864,1.526598129,2.431965549,1.526598129,2.431965549,1.526598129,2.431965549
0.645798511,0.6,2.32355599,2.3225302,3.180953428,2.339892285,2.307219695,-0.857397438,1.512907443,2.341612537,1.512907443,2.341612537,1.512907443,2.341612537
0.65339614,0.6,2.244056254,2.243848561,3.143816177,2.260392549,2.227719959,-0.899759923,1.499358182,2.260328358,1.499358182,2.260328358,1.499358182,2.260328358
0.66099377,0.6,2.172210758,2.172250338,3.106678926,2.188547053,2.155874462,-0.934468168,1.485947886,2.186951594,1.485947886,2.186951594,1.485947886,2.186951594
0.668591399,0.6,2.106979736,2.106808166,3.069541675,2.123316031,2.090643441,-0.962561939,1.472674165,2.120353939,1.472674165,2.120353939,1.472674165,2.120353939
0.676189029,0.6,2.047400516,2.046748552,3.032404424,2.063736812,2.031064221,-0.985003908,1.459534698,2.059509088,1.459534698,2.059509088,1.459534698,2.059509088
0.683786659,0.6,1.992630361,1.991421162,2.995267173,2.008966656,1.976294066,-1.002636812,1.446527229,2.003535963,1.446527229,2.003535963,1.446527229,2.003535963
0.691384288,0.6,1.941967298,1.940275185,2.958129922,1.958303593,1.925631003,-1.016162625,1.433649564,1.951716901,1.433649564,1.951716901,1.433649564,1.951716901
0.698981918,0.6,1.894851539,1.892840925,2.920992671,1.911187834,1.878515244,-1.026141133,1.420899568,1.903494172,1.420899568,1.903494172,1.420899568,1.903494172
0.706579547,0.6,1.850851857,1.848715324,2.883855421,1.867188152,1.834515562,-1.033003563,1.408275166,1.858450164,1.408275166,1.858450164,1.408275166,1.858450164
0.714177177,0.6,1.809642234,1.807550479,2.84671817,1.825978529,1.793305939,-1.037075936,1.395774338,1.816277586,1.395774338,1.816277586,1.395774338,1.816277586
0.721774806,0.6,1.770974201,1.769044435,2.809580919,1.787310496,1.754637906,-1.038606718,1.383395117,1.776746038,1.383395117,1.776746038,1.383395117,1.776746038
0.729372436,0.6,1.73464966,1.73293376,2.772443668,1.750985955,1.718313365,-1.037794008,1.371135587,1.739670421,1.371135587,1.739670421,1.371135587,1.739670421
0.736970065,0.6,1.700497814,1.6989875,2.735306417,1.71683411,1.684161519,-1.034808603,1.358993883,1.70488523,1.358993883,1.70488523,1.358993883,1.70488523
0.744567695,0.6,1.668358364,1.667002228,2.698169166,1.684694659,1.652022069,-1.029810802,1.346968188,1.67222697,1.346968188,1.67222697,1.346968188,1.67222697
0.752165324,0.6,1.6380717,1.636797962,2.661031915,1.654407995,1.621735404,-1.022960216,1.335056731,1.641525185,1.335056731,1.641525185,1.335056731,1.641525185
0.759762954,0.6,1.609475543,1.608214764,2.623894665,1.625811838,1.593139248,-1.014419122,1.323257785,1.612601119,1.323257785,1.612601119,1.323257785,1.612601119
0.767360583,0.6,1.582406633,1.581109912,2.586757414,1.598742928,1.566070338,-1.004350781,1.311569666,1.58527201,1.311569666,1.58527201,1.311569666,1.58527201
0.774958213,0.6,1.556705591,1.55535551,2.549620163,1.573041887,1.540369296,-0.992914571,1.299990733,1.559358597,1.299990733,1.559358597,1.299990733,1.559358597
0.782555843,0.6,1.532223069,1.530836466,2.512482912,1.548559364,1.515886774,-0.980259843,1.288519384,1.53469345,1.288519384,1.53469345,1.288519384,1.53469345
0.790153472,0.6,1.508825569,1.507448774,2.475345661,1.525161864,1.492489274,-0.966520092,1.277154055,1.511128216,1.277154055,1.511128216,1.277154055,1.511128216
0.797751102,0.6,1.4863998,1.485098029,2.43820841,1.502736095,1.470063504,-0.951808611,1.265893222,1.488538571,1.265893222,1.488538571,1.265893222,1.488538571
0.805348731,0.6,1.464854934,1.463698149,2.401071159,1.48119123,1.448518639,-0.936216225,1.254735394,1.46682638,1.254735394,1.46682638,1.254735394,1.46682638
0.812946361,0.6,1.444122595,1.443170256,2.363933909,1.46045889,1.4277863,-0.919811313,1.243679119,1.445919176,1.243679119,1.445919176,1.243679119,1.445919176
0.82054399,0.6,1.424154693,1.423441679,2.326796658,1.440490988,1.407818397,-0.902641965,1.232722975,1.425767479,1.232722975,1.425767479,1.232722975,1.425767479
0.82814162,0.6,1.404919402,1.404445068,2.289659407,1.421255697,1.388583107,-0.884740005,1.221865574,1.406340597,1.221865574,1.406340597,1.221865574,1.406340597
0.835739249,0.6,1.386395602,1.386117581,2.252522156,1.402731897,1.370059307,-0.866126554,1.211105562,1.387621482,1.211105562,1.387621482,1.211105562,1.387621482
0.843336879,0.6,1.368566086,1.368400113,2.215384905,1.384902381,1.352229791,-0.846818819,1.200441613,1.369601035,1.200441613,1.369601035,1.200441613,1.369601035
0.850934508,0.6,1.351409859,1.351236566,2.178247654,1.367746155,1.335073564,-0.826837795,1.189872431,1.352272026,1.189872431,1.352272026,1.189872431,1.352272026
0.858532138,0.6,1.334893956,1.334573099,2.141110403,1.351230251,1.318557661,-0.806216448,1.179396751,1.335622704,1.179396751,1.335622704,1.179396751,1.335622704
0.866129768,0.6,1.31896534,1.318357349,2.103973153,1.335301636,1.302629045,-0.785007812,1.169013333,1.319630176,1.169013333,1.319630176,1.169013333,1.319630176
0.873727397,0.6,1.303543774,1.302537556,2.066835902,1.319880069,1.287207478,-0.763292128,1.158720968,1.304253836,1.158720968,1.304253836,1.158720968,1.304253836
0.881325027,0.6,1.288516715,1.287061534,2.029698651,1.30485301,1.27218042,-0.741181935,1.148518468,1.289429402,1.148518468,1.289429402,1.148518468,1.289429402
0.888922656,0.6,1.273737524,1.271875376,1.9925614,1.29007382,1.257401229,-0.718823875,1.138404676,1.27506444,1.138404676,1.27506444,1.138404676,1.27506444
0.896520286,0.6,1.259028145,1.256921728,1.955424149,1.27536444,1.242691849,-0.696396005,1.128378455,1.261036451,1.128378455,1.261036451,1.128378455,1.261036451
0.904117915,0.6,1.244187169,1.242137335,1.918286898,1.260523464,1.227850874,-0.674099729,1.118438696,1.247194589,1.118438696,1.247194589,1.118438696,1.247194589
0.911715545,0.6,1.229003584,1.227449359,1.881149647,1.24533988,1.212667289,-0.652146063,1.10858431,1.233365845,1.10858431,1.233365845,1.10858431,1.233365845
0.919313174,0.6,1.213275675,1.212769488,1.844012396,1.229611971,1.19693938,-0.630736721,1.098814232,1.219365969,1.098814232,1.219365969,1.098814232,1.219365969
0.926910804,0.6,1.196833626,1.197983861,1.806875146,1.213169921,1.180497331,-0.61004152,1.089127421,1.205014694,1.089127421,1.205014694,1.089127421,1.205014694
0.934508433,0.6,1.179563466,1.182934394,1.769737895,1.195899762,1.163227171,-0.590174428,1.079522853,1.190153958,1.079522853,1.190153958,1.079522853,1.190153958
0.942106063,0.6,1.16142932,1.167380424,1.732600644,1.177765615,1.145093025,-0.571171324,1.069999527,1.174667124,1.069999527,1.174667124,1.069999527,1.174667124
0.949703692,0.6,1.142490613,1.098166856,1.695463393,1.158826908,1.126154318,-0.55297278,1.060556464,1.158496608,1.060556464,1.158496608,1.060556464,1.158496608
0.957301322,0.6,1.122911112,1.088072866,1.658326142,1.139247407,1.106574817,-0.53541503,1.051192702,1.141657236,1.051192702,1.141657236,1.051192702,1.141657236
0.964898952,0.6,1.102957358,1.078083586,1.621188891,1.119293653,1.086621063,-0.518231533,1.041907299,1.124242895,1.041907299,1.124242895,1.041907299,1.124242895
0.972496581,0.6,1.082985304,1.068219663,1.58405164,1.099321599,1.066649009,-0.501066337,1.03269933,1.106424803,1.03269933,1.106424803,1.03269933,1.106424803
0.980094211,0.6,1.063415429,1.058491486,1.54691439,1.079751724,1.047079134,-0.48349896,1.02356789,1.088440766,1.02356789,1.088440766,1.02356789,1.088440766
0.98769184,0.6,1.044698282,1.048903991,1.509777139,1.061034578,1.028361987,-0.465078856,1.014512092,1.070576097,1.014512092,1.070576097,1.014512092,1.070576097
0.99528947,0.6,1.027273831,1.039459017,1.472639888,1.043610126,1.010937536,-0.445366057,1.005531064,1.053138087,1.005531064,1.053138087,1.005531064,1.053138087
1.002887099,0.6,1.011529115,1.030156559,1.435502637,1.02786541,0.99519282,-0.423973522,0.996623951,1.036426965,0.996623951,1.036426965,0.996623951,1.036426965
1.010484729,0.6,0.997759187,1.020995475,1.398365386,1.014095482,0.981422891,-0.4006062,0.987789915,1.020706905,0.987789915,1.020706905,0.987789915,1.020706905
1.018082358,0.6,0.986136128,1.011973912,1.361228135,1.002472424,0.969799833,-0.375092007,0.979028133,1.006180715,0.979028133,1.006180715,0.979028133,1.006180715
1.025679988,0.6,0.976690082,1.003089567,1.324090884,0.993026377,0.960353787,-0.347400803,0.970337798,0.992971442,0.970337798,0.992971442,0.970337798,0.992971442
1.033277617,0.6,0.969304764,0.994339851,1.286953634,0.985641059,0.952968468,-0.31764887,0.961718119,0.981113141,0.961718119,0.981113141,0.961718119,0.981113141
1.040875247,0.6,0.963728141,0.985722001,1.249816383,0.980064436,0.947391846,-0.286088241,0.953168316,0.970551824,0.953168316,0.970551824,0.953168316,0.970551824
1.048472876,0.6,0.959597025,0.97723315,1.212679132,0.97593332,0.94326073,-0.253082107,0.944687626,0.961156185,0.944687626,0.961156185,0.944687626,0.961156185
1.056070506,0.6,0.95647259,0.968870383,1.175541881,0.972808885,0.940136295,-0.219069291,0.936275299,0.952736383,0.936275299,0.952736383,0.936275299,0.952736383
1.063668136,0.6,0.953882545,0.960630768,1.13840463,0.97021884,0.937546249,-0.184522086,0.927930599,0.945068136,0.927930599,0.945068136,0.927930599,0.945068136
1.071265765,0.6,0.951364933,0.952511379,1.101267379,0.967701228,0.935028638,-0.149902447,0.919652802,0.937918786,0.919652802,0.937918786,0.919652802,0.937918786
1.078863395,0.6,0.948508567,0.944509318,1.064130128,0.964844862,0.932172271,-0.115621562,0.911441199,0.931071942,0.911441199,0.931071942,0.911441199,0.931071942
1.086461024,0.6,0.944985711,0.936621724,1.026992878,0.961322006,0.928649416,-0.082007167,0.903295091,0.924347691,0.903295091,0.924347691,0.903295091,0.924347691
1.094058654,0.6,0.94057384,0.928845783,0.989855627,0.956910135,0.924237545,-0.049281787,0.895213791,0.917616243,0.895213791,0.917616243,0.895213791,0.917616243
1.101656283,0.6,0.935164804,0.921178734,0.952718376,0.951501099,0.918828509,-0.017553572,0.887196628,0.910803898,0.887196628,0.910803898,0.887196628,0.910803898
1.109253913,0.6,0.928761381,0.913617872,0.915581125,0.945097676,0.912425086,0.013180256,0.879242937,0.903891396,0.879242937,0.903891396,0.879242937,0.903891396
1.116851542,0.6,0.921462679,0.906160556,0.878443874,0.937798974,0.905126383,0.043018804,0.871352067,0.896905686,0.871352067,0.896905686,0.871352067,0.896905686
1.124449172,0.6,0.913441009,0.898804203,0.841306623,0.929777304,0.897104713,0.072134385,0.86352338,0.889906917,0.86352338,0.889906917,0.86352338,0.889906917
1.132046801,0.6,0.904913562,0.891546297,0.804169372,0.921249857,0.888577267,0.100744189,0.855756246,0.88297281,0.855756246,0.88297281,0.855756246,0.88297281
1.139644431,0.6,0.896112382,0.884384383,0.767032122,0.912448677,0.879776087,0.12908026,0.848050046,0.876182583,0.848050046,0.876182583,0.848050046,0.876182583
1.14724206,0.6,0.887255845,0.877316072,0.729894871,0.90359214,0.87091955,0.157360975,0.840404171,0.86960225,0.840404171,0.86960225,0.840404171,0.86960225
1.15483969,0.6,0.878524176,0.870339039,0.69275762,0.894860471,0.86218788,0.185766556,0.832818024,0.863272554,0.832818024,0.863272554,0.832818024,0.863272554
1.16243732,0.6,0.870040627,0.86345102,0.655620369,0.886376922,0.853704332,0.214420258,0.825291017,0.85720012,0.825291017,0.85720012,0.825291017,0.85720012
1.170034949,0.6,0.861859016,0.856649816,0.618483118,0.878195311,0.845522721,0.243375898,0.817822569,0.851351761,0.817822569,0.851351761,0.817822569,0.851351761
1.177632579,0.6,0.853957414,0.849933286,0.581345867,0.870293709,0.837621119,0.272611547,0.810412112,0.845651408,0.810412112,0.845651408,0.810412112,0.845651408
1.185230208,0.6,0.846237203,0.843299352,0.544208616,0.862573498,0.829900908,0.302028586,0.803059086,0.839978849,0.803059086,0.839978849,0.803059086,0.839978849
1.192827838,0.6,0.838526289,0.836745995,0.507071365,0.854862585,0.822189994,0.331454924,0.795762938,0.834169453,0.795762938,0.834169453,0.795762938,0.834169453
1.200425467,0.6,0.830585257,0.830271251,0.469934115,0.846921552,0.814248962,0.360651142,0.788523128,0.828014291,0.788523128,0.828014291,0.788523128,0.828014291
1.208023097,0.6,0.822115363,0.823873216,0.432796864,0.838451658,0.805779068,0.389318499,0.781339119,,,,,
0.607810363,1,2.902903131,2.907213062,3.36842363,2.919239426,2.886566836,-0.465520498,1.582826945,,,,,
0.615407993,1,2.767508272,2.7659326,3.331286379,2.783844567,2.751171977,-0.563778106,1.568544449,,,,,
0.623005622,1,2.644120909,2.641345525,3.294149128,2.660457204,2.627784614,-0.650028219,1.554413982,,,,,
0.630603252,1,2.532490033,2.530647768,3.257011877,2.548826328,2.516153738,-0.724521844,1.540432772,,,,,
0.638200881,1,2.431965549,2.431628469,3.219874626,2.448301844,2.415629254,-0.787909077,1.526598129,,,,,
0.645798511,1,2.341612537,2.342520934,3.182737375,2.357948832,2.325276242,-0.841124838,1.512907443,,,,,
0.65339614,1,2.260328358,2.26189638,3.145600124,2.276664654,2.243992063,-0.885271766,1.499358182,,,,,
0.66099377,1,2.186951594,2.188586781,3.108462873,2.203287889,2.170615299,-0.921511279,1.485947886,,,,,
0.668591399,1,2.120353939,2.121627928,3.071325623,2.136690234,2.104017644,-0.950971683,1.472674165,,,,,
0.676189029,1,2.059509088,2.060216777,3.034188372,2.075845383,2.043172793,-0.974679284,1.459534698,,,,,
0.683786659,1,2.003535963,2.003679077,2.997051121,2.019872258,1.987199668,-0.993515158,1.446527229,,,,,
0.691384288,1,1.951716901,1.951444487,2.95991387,1.968053197,1.935380606,-1.008196969,1.433649564,,,,,
0.698981918,1,1.903494172,1.903027251,2.922776619,1.919830468,1.887157877,-1.019282447,1.420899568,,,,,
0.706579547,1,1.858450164,1.858011019,2.885639368,1.874786459,1.842113868,-1.027189205,1.408275166,,,,,
0.714177177,1,1.816277586,1.816036817,2.848502117,1.832613881,1.799941291,-1.032224531,1.395774338,,,,,
0.721774806,1,1.776746038,1.776793435,2.811364867,1.793082333,1.760409743,-1.034618828,1.383395117,,,,,
0.729372436,1,1.739670421,1.740009669,2.774227616,1.756006716,1.723334126,-1.034557195,1.371135587,,,,,
0.736970065,1,1.70488523,1.705448034,2.737090365,1.721221525,1.688548935,-1.032205135,1.358993883,,,,,
0.744567695,1,1.67222697,1.6728996,2.699953114,1.688563265,1.655890675,-1.027726144,1.346968188,,,,,
0.752165324,1,1.641525185,1.642179761,2.662815863,1.65786148,1.62518889,-1.021290678,1.335056731,,,,,
0.759762954,1,1.612601119,1.613124707,2.625678612,1.628937414,1.596264824,-1.013077494,1.323257785,,,,,
0.767360583,1,1.58527201,1.5855885,2.588541361,1.601608305,1.568935715,-1.003269352,1.311569666,,,,,
0.774958213,1,1.559358597,1.559440603,2.551404111,1.575694892,1.543022302,-0.992045513,1.299990733,,,,,
0.782555843,1,1.53469345,1.534563809,2.51426686,1.551029745,1.518357155,-0.97957341,1.288519384,,,,,
