Tr,Pr,bias corrected model,Nist,bias uncorrected model, upper,lower,bias,PR_alpha,,,,
0.566618099,0.047551117,2.489696618,2.497319748,2.63606635,2.500876395,2.47851684,-0.146369732,1.595066044,2.515469136,1.595066044,2.570626103,1.595066044
0.574839121,0.047551117,2.394616763,2.393798061,2.614990668,2.40579654,2.383436985,-0.220373905,1.580483197,2.416461499,1.580483197,2.464274542,1.580483197
0.583060142,0.047551117,2.306016636,2.301973785,2.593914986,2.317196413,2.294836859,-0.28789835,1.566070514,2.324655301,1.566070514,2.366407859,1.566070514
0.591281164,0.047551117,2.224142649,2.219978883,2.572839304,2.235322426,2.212962871,-0.348696655,1.551824409,2.240185151,1.551824409,2.277009602,1.551824409
0.599502186,0.047551117,2.149034984,2.146321337,2.551763622,2.160214761,2.137855207,-0.402728638,1.537741419,2.162966967,1.537741419,2.195813641,1.537741419
0.607723207,0.047551117,2.08055047,2.079794986,2.53068794,2.091730247,2.069370692,-0.45013747,1.523818201,2.092731398,1.523818201,2.122352549,1.523818201
0.615944229,0.047551117,2.01839075,2.019414103,2.509612258,2.029570528,2.007210973,-0.491221508,1.510051523,2.02906223,1.510051523,2.056010966,1.510051523
0.62416525,0.047551117,1.962133692,1.964365148,2.488536576,1.97331347,1.950953915,-0.526402884,1.496438262,1.971436978,1.496438262,1.996080024,1.496438262
0.632386272,0.047551117,1.911266014,1.913970648,2.467460894,1.922445792,1.900086237,-0.55619488,1.482975397,1.919267002,1.482975397,1.941809155,1.482975397
0.640607293,0.047551117,1.865215321,1.867661796,2.446385213,1.876395099,1.854035544,-0.581169891,1.469660003,1.871934765,1.469660003,1.892452099,1.469660003
0.648828315,0.047551117,1.823380012,1.8249574,2.425309531,1.83455979,1.812200235,-0.601929518,1.456489251,1.828826402,1.456489251,1.847304715,1.456489251
0.657049336,0.047551117,1.785155909,1.785447532,2.404233849,1.796335686,1.773976132,-0.61907794,1.443460401,1.789358272,1.443460401,1.805733069,1.443460401
0.665270358,0.047551117,1.749958834,1.748780699,2.383158167,1.761138612,1.738779057,-0.633199333,1.430570797,1.752996806,1.430570797,1.767191197,1.430570797
0.673491379,0.047551117,1.717242749,1.714653666,2.362082485,1.728422527,1.706062972,-0.644839736,1.417817867,1.719271561,1.417817867,1.731228873,1.417817867
0.681712401,0.047551117,1.686513396,1.682803327,2.341006803,1.697693173,1.675333618,-0.654493407,1.405199115,1.687781846,1.405199115,1.697490484,1.405199115
0.689933422,0.047551117,1.657337638,1.653000146,2.319931121,1.668517415,1.646157861,-0.662593483,1.392712121,1.658197762,1.392712121,1.665706707,1.392712121
0.698154444,0.047551117,1.629348894,1.625042826,2.298855439,1.640528671,1.618169116,-0.669506546,1.380354538,1.630256688,1.380354538,1.635681093,1.380354538
0.706375465,0.047551117,1.602249132,1.598753944,2.277779757,1.613428909,1.591069355,-0.675530625,1.368124086,1.603756422,1.368124086,1.607273784,1.368124086
0.714596487,0.047551117,1.575807954,1.573976344,2.256704076,1.586987731,1.564628176,-0.680896122,1.356018551,1.578546167,1.356018551,1.580384504,1.356018551
0.722817508,0.047551117,1.549859244,1.550570147,2.235628394,1.561039022,1.538679467,-0.685769149,1.344035786,1.554516427,1.344035786,1.554936685,1.344035786
0.73103853,0.047551117,1.524295848,1.535041547,2.214552712,1.535475626,1.513116071,-0.690256863,1.3321737,1.531588732,1.3321737,1.530864151,1.3321737
0.739259552,0.047551117,1.499062649,1.506211006,2.19347703,1.510242426,1.487882872,-0.694414381,1.320430263,1.509705846,1.320430263,1.508101252,1.320430263
0.747480573,0.047551117,1.474148408,1.478463438,2.172401348,1.485328186,1.462968631,-0.69825294,1.308803503,1.488822932,1.308803503,1.48657681,1.308803503
0.755701595,0.047551117,1.449576694,1.451741747,2.151325666,1.460756472,1.438396917,-0.701748972,1.297291499,1.468899908,1.297291499,1.466211729,1.297291499
0.763922616,0.047551117,1.42539624,1.425992815,2.130249984,1.436576017,1.414216463,-0.704853744,1.285892384,1.449895126,1.285892384,1.446919701,1.285892384
0.772143638,0.047551117,1.401671106,1.401167116,2.109174302,1.412850883,1.390491329,-0.707503196,1.27460434,1.43176034,1.27460434,1.428610152,1.27460434
0.780364659,0.047551117,1.378471074,1.377218388,2.08809862,1.389650852,1.367291297,-0.709627546,1.263425599,1.414436956,1.263425599,1.411192459,1.263425599
0.788585681,0.047551117,1.35586273,1.354103347,2.067022939,1.367042508,1.344682953,-0.711160208,1.252354436,1.397853497,1.252354436,1.3945804,1.252354436
0.796806702,0.047551117,1.333901714,1.331781433,2.045947257,1.345081491,1.322721936,-0.712045543,1.241389175,1.381924272,1.241389175,1.378696006,1.241389175
0.805027724,0.047551117,1.312626603,1.310214586,2.024871575,1.323806381,1.301446826,-0.712244971,1.230528181,1.366549246,1.230528181,1.363472126,1.230528181
0.813248745,0.047551117,1.292054818,1.28936705,2.003795893,1.303234595,1.28087504,-0.711741075,1.21976986,1.351615138,1.21976986,1.348853346,1.21976986
0.821469767,0.047551117,1.272180807,1.269205192,1.982720211,1.283360585,1.26100103,-0.710539404,1.209112659,1.336997759,1.209112659,1.334795162,1.209112659
0.829690788,0.047551117,1.25297664,1.249697345,1.961644529,1.264156417,1.241796862,-0.708667889,1.198555065,1.322565558,1.198555065,1.321261587,1.198555065
0.83791181,0.047551117,1.234394879,1.230813665,1.940568847,1.245574657,1.223215102,-0.706173968,1.1880956,1.308184269,1.1880956,1.308221586,1.1880956
0.846132831,0.047551117,1.216373454,1.212525997,1.919493165,1.227553232,1.205193677,-0.703119711,1.177732823,1.293722462,1.177732823,1.295644878,1.177732823
0.854353853,0.047551117,1.198842018,1.194807762,1.898417483,1.210021795,1.18766224,-0.699575466,1.16746533,1.279057684,1.16746533,1.283497694,1.16746533
0.862574875,0.047551117,1.181729133,1.177633842,1.877341801,1.192908911,1.170549356,-0.695612668,1.157291748,1.264082781,1.157291748,1.271739061,1.157291748
0.870795896,0.047551117,1.164969545,1.16098049,1.85626612,1.176149322,1.153789768,-0.691296575,1.147210737,1.248711927,1.147210737,1.2603181,1.147210737
0.879016918,0.047551117,1.148510751,1.144825232,1.835190438,1.159690528,1.137330973,-0.686679687,1.137220989,1.232885843,1.137220989,1.249172658,1.137220989
0.887237939,0.047551117,1.132318185,1.12914679,1.814114756,1.143497962,1.121138407,-0.681796571,1.127321228,1.216575732,1.127321228,1.238229448,1.127321228
0.895458961,0.047551117,1.116378439,1.113925001,1.793039074,1.127558216,1.105198661,-0.676660635,1.117510206,1.199785521,1.117510206,1.227405679,1.117510206
0.903679982,0.047551117,1.100700175,1.099140749,1.771963392,1.111879952,1.089520397,-0.671263217,1.107786702,1.182552138,1.107786702,1.216612005,1.107786702
0.911901004,0.047551117,1.085312623,1.0847759,1.75088771,1.0964924,1.074132845,-0.665575087,1.098149526,1.164943705,1.098149526,1.205756487,1.098149526
0.920122025,0.047551117,1.070261829,1.070813242,1.729812028,1.081441606,1.059082051,-0.6595502,1.088597513,1.147055738,1.088597513,1.194749189,1.088597513
0.928343047,0.047551117,1.055605053,1.057236427,1.708736346,1.06678483,1.044425275,-0.653131294,1.079129523,1.129005611,1.079129523,1.183506973,1.079129523
0.936564068,0.047551117,1.04140393,1.044029922,1.687660664,1.052583707,1.030224152,-0.646256735,1.069744444,1.110925694,1.069744444,1.171958084,1.069744444
0.94478509,0.047551117,1.027717127,1.031178958,1.666584983,1.038896904,1.016537349,-0.638867856,1.060441186,1.092955718,1.060441186,1.160046142,1.060441186
0.953006111,0.047551117,1.014593283,1.018669489,1.645509301,1.025773061,1.003413506,-0.630916017,1.051218683,1.075234947,1.051218683,1.147733247,1.051218683
0.961227133,0.047551117,1.002064974,1.006488147,1.624433619,1.013244751,0.990885196,-0.622368645,1.042075893,1.057894776,1.042075893,1.135001981,1.042075893
0.969448154,0.047551117,0.990144317,0.994622206,1.603357937,1.001324095,0.97896454,-0.61321362,1.033011795,1.041052268,1.033011795,1.121856203,1.033011795
