Tr,Pr,bias corrected model,Nist,bias uncorrected model, upper,lower,bias,PR_alpha,,
0.388146021,0.019829467,0.795754007,0.791001085,0.992648545,0.81933968,0.772168334,-0.196894537,1.331926812,0.785932404,1.331926812
0.420491522,0.019829467,0.813643169,0.814688479,0.985333612,0.837228843,0.790057496,-0.171690443,1.308033809,0.80490933,1.308033809
0.452837024,0.019829467,0.840224078,0.8368285,0.97801868,0.863809751,0.816638405,-0.137794602,1.285247562,0.835926762,1.285247562
0.485182526,0.019829467,0.853386737,0.8578822,0.970703747,0.87697241,0.829801064,-0.117317011,1.263451379,0.856997965,1.263451379
0.517528027,0.019829467,0.872240199,0.87802918,0.963388815,0.895825873,0.848654526,-0.091148615,1.24254774,0.863836701,1.24254774
0.549873529,0.019829467,0.943259195,0.897348397,0.956073882,0.966844868,0.919673522,-0.012814687,1.222454153,0.87408613,1.222454153
0.582219031,0.019829467,1.059556494,0.915882349,0.94875895,1.083142167,1.03597082,0.110797544,1.203100102,0.896270806,1.203100102
0.614564533,0.019829467,1.141945513,1.211464242,0.941444017,1.165531186,1.11835984,0.200501496,1.184424742,0.912430592,1.184424742
0.646910034,0.019829467,1.144853818,1.174202435,0.934129085,1.168439491,1.121268145,0.210724733,1.166375142,0.916997726,1.166375142
0.679255536,0.019829467,1.114759983,1.139886933,0.926814153,1.138345656,1.09117431,0.18794583,1.148904913,0.934635986,1.148904913
0.711601038,0.019829467,1.101219333,1.107577137,0.91949922,1.124805007,1.07763366,0.181720113,1.131973128,0.973024531,1.131973128
0.743946539,0.019829467,1.091033942,1.077271996,0.912184288,1.114619615,1.067448269,0.178849654,1.115543465,1.007442271,1.115543465
0.776292041,0.019829467,1.062359526,1.049002493,0.904869355,1.085945199,1.038773853,0.157490171,1.099583509,1.024372498,1.099583509
0.808637543,0.019829467,1.026167977,1.022710952,0.897554423,1.04975365,1.002582304,0.128613555,1.084064189,1.030149913,1.084064189
0.840983044,0.019829467,0.996447194,0.998273306,0.89023949,1.020032867,0.972861521,0.106207704,1.068959317,1.023711543,1.068959317
0.873328546,0.019829467,0.972733999,0.975532918,0.882924558,0.996319672,0.949148326,0.089809441,1.054245198,1.001573363,1.054245198
0.905674048,0.019829467,0.952730956,0.954324165,0.875609625,0.976316629,0.929145283,0.077121331,1.039900315,0.973142586,1.039900315
0.93801955,0.019829467,0.935041905,0.934486034,0.868294693,0.958627578,0.911456231,0.066747212,1.025905052,0.949111658,1.025905052
0.970365051,0.019829467,0.91685989,0.915868999,0.86097976,0.940445563,0.893274217,0.05588013,1.012241475,0.930330903,1.012241475
1.002710553,0.019829467,0.898002843,0.898337883,0.853664828,0.921588516,0.87441717,0.044338015,0.998893131,0.913386212,0.998893131
1.035056055,0.019829467,0.880766901,0.881772457,0.846349895,0.904352574,0.857181228,0.034417006,0.985844883,0.896210997,0.985844883
1.067401556,0.019829467,0.865700373,0.866066852,0.839034963,0.889286047,0.8421147,0.026665411,0.973082769,0.87869497,0.973082769
1.099747058,0.019829467,0.851453504,0.851128395,0.83172003,0.875039177,0.827867831,0.019733474,0.960593877,0.862179177,0.960593877
1.13209256,0.019829467,0.837183329,0.836876233,0.824405098,0.860769002,0.813597656,0.012778231,0.948366238,0.847473397,0.948366238
1.164438062,0.019829467,0.823191221,0.823239923,0.817090166,0.846776894,0.799605548,0.006101056,0.936388732,0.833713121,0.936388732
1.196783563,0.019829467,0.810005463,0.810158102,0.809775233,0.833591136,0.78641979,0.00023023,0.924651005,0.820019641,0.924651005
